codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
carr-lane-1-AquaMask,sequential-c,REFERENCE,-1/-1/-1/-1/-1/-1/,1/2/3/-1/-1/-1/,I/U/U/U/U/U/,32,38
carr-lane-1-AquaMask,sequential-c,PUZZLE,1/2/3/-1/-1/-1/,1/2/3/5/4/6/,C/C/C/I/U/U/,106,119
carr-lane-1-AquaMask,sequential-c,PUZZLE,1/2/3/5/4/6/,1/2/3/4/5/6/,C/C/C/I/U/U/,137,150
carr-lane-1-AquaMask,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,163,175
carr-lane-1-AquaMask,sequential-c,END,"    this.hare.swing arm() /
    this.volleyball.move(TypeExpression.DOWN, 0.6) /
    this.hare.look down() /
    this.hare.getRightHip().turn(TypeExpression.FORWARD, 0.25) /
    this.hare.kick(this.volleyball) /
    this.net.turn(TypeExpression.BACKWARD, 0.25) /",1,6,0,188
carr-lane-1-AquaMask,sequential-d,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/,-1/-1/-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/U/,10,27
carr-lane-1-AquaMask,sequential-d,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/,1/2/-1/3/-1/-1/-1/-1/,I/U/U/U/U/U/U/U/,35,38
carr-lane-1-AquaMask,sequential-d,REFERENCE,1/2/-1/3/-1/-1/-1/-1/,1/2/-1/3/-1/-1/-1/-1/,C/C/I/U/U/U/U/U/,81,87
carr-lane-1-AquaMask,sequential-d,PUZZLE,1/2/-1/3/-1/-1/-1/-1/,1/2/4/3/7/5/6/8/,C/C/I/U/U/U/U/U/,93,100
carr-lane-1-AquaMask,sequential-d,PUZZLE,1/2/4/3/7/5/6/8/,1/2/3/4/7/5/6/8/,C/C/I/U/U/U/U/U/,140,150
carr-lane-1-AquaMask,sequential-d,PUZZLE,1/2/3/4/7/5/6/8/,1/2/3/7/6/4/5/8/,C/C/C/C/I/U/U/U/,159,173
carr-lane-1-AquaMask,sequential-d,PUZZLE,1/2/3/7/6/4/5/8/,1/2/3/7/6/4/5/8/,C/C/C/I/U/U/U/U/,181,-1
carr-lane-1-AquaMask,sequential-d,PUZZLE,1/2/3/7/6/4/5/8/,1/2/3/7/6/5/4/8/,C/C/C/I/U/U/U/U/,181,194
carr-lane-1-AquaMask,sequential-d,PUZZLE,1/2/3/7/6/5/4/8/,1/2/3/4/6/5/-1/7/,C/C/C/I/U/U/U/U/,205,216
carr-lane-1-AquaMask,sequential-d,REFERENCE,1/2/3/4/6/5/-1/7/,1/2/3/4/6/5/-1/7/,C/C/C/C/I/U/U/U/,257,-1
carr-lane-1-AquaMask,sequential-d,PUZZLE,1/2/3/4/6/5/-1/7/,1/2/3/4/6/5/-1/7/,C/C/C/C/I/U/U/U/,274,-1
carr-lane-1-AquaMask,sequential-d,REFERENCE,1/2/3/4/6/5/-1/7/,1/2/3/4/6/5/7/8/,C/C/C/C/I/U/U/U/,289,291
carr-lane-1-AquaMask,sequential-d,PUZZLE,1/2/3/4/6/5/7/8/,1/2/3/4/6/5/7/8/,C/C/C/C/I/U/U/U/,296,307
carr-lane-1-AquaMask,sequential-d,REFERENCE,1/2/3/4/6/5/7/8/,1/2/3/7/4/5/6/8/,C/C/C/C/I/U/U/U/,315,324
carr-lane-1-AquaMask,sequential-d,PUZZLE,1/2/3/7/4/5/6/8/,1/2/3/7/4/5/6/8/,C/C/C/I/U/U/U/U/,336,346
carr-lane-1-AquaMask,sequential-d,REFERENCE,1/2/3/7/4/5/6/8/,1/2/3/7/6/4/5/8/,C/C/C/I/U/U/U/U/,349,358
carr-lane-1-AquaMask,sequential-d,PUZZLE,1/2/3/7/6/4/5/8/,1/2/3/7/6/5/4/8/,C/C/C/I/U/U/U/U/,389,402
carr-lane-1-AquaMask,sequential-d,PUZZLE,1/2/3/7/6/5/4/8/,1/2/3/7/6/5/4/8/,C/C/C/I/U/U/U/U/,417,-1
carr-lane-1-AquaMask,sequential-d,PUZZLE,1/2/3/7/6/5/4/8/,1/2/3/7/6/5/4/8/,C/C/C/I/U/U/U/U/,417,-1
carr-lane-1-AquaMask,sequential-d,PUZZLE,1/2/3/7/6/5/4/8/,1/2/3/7/4/5/6/8/,C/C/C/I/U/U/U/U/,417,433
carr-lane-1-AquaMask,sequential-d,PUZZLE,1/2/3/7/4/5/6/8/,1/2/3/6/5/4/7/8/,C/C/C/I/U/U/U/U/,446,459
carr-lane-1-AquaMask,sequential-d,PUZZLE,1/2/3/6/5/4/7/8/,1/2/3/6/4/5/7/8/,C/C/C/I/U/U/U/U/,479,496
carr-lane-1-AquaMask,sequential-d,PUZZLE,1/2/3/6/4/5/7/8/,1/2/3/5/4/6/7/8/,C/C/C/I/U/U/U/U/,507,518
carr-lane-1-AquaMask,sequential-d,PUZZLE,1/2/3/5/4/6/7/8/,1/2/3/5/4/6/7/8/,C/C/C/I/U/U/U/U/,526,-1
carr-lane-1-AquaMask,sequential-d,REFERENCE,1/2/3/5/4/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/I/U/U/U/U/,539,552
carr-lane-1-AquaMask,sequential-d,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,593,604
carr-lane-1-AquaMask,sequential-d,END,"    this.monkey.walk(1.5) /
    this.monkey.jump and spin() /
    this.monkey.walk up to(this.treasureChest) /
    this.monkey.raise arms() /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.0125) /
    this.monkey.bang on(this.treasureChest) /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
    this.treasureMonkey.raise arms() /",5,8,0,611
carr-lane-1-AquaMask,dotogether-a,PUZZLE,1/2/3/4/6/7/5/8/,1/2/3/4/6/7/5/8/,C/C/C/C/C/C/C/C/,85,94
carr-lane-1-AquaMask,dotogether-a,END,"    this.penguin.say(Everyone, I'd like you to meet Derek.) /
    this.DerekTheYeti.say(Hello.) /
    this.DerekTheYeti.moveToward(this.babyPenguin2, 0.5) /
    do together / {
      this.babyPenguin1.jump back() /
      this.babyPenguin2.jump back() /
      this.babyPenguin3.jump back() /
    }
    this.penguin.say(He's harmless and very kind!) /",1,8,0,98
carr-lane-1-AquaMask,dotogether-b,REFERENCE,1/2/3/-1/-1/-1/,1/2/3/4/5/6/,C/C/C/I/U/U/,55,64
carr-lane-1-AquaMask,dotogether-b,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,81,87
carr-lane-1-AquaMask,dotogether-b,END,"    this.troll.say(Ahhhhhh) /
    do together / {
      this.troll.sneeze and raise arms() /
      this.boat.move(TypeExpression.BACKWARD, 5.0) /
    }
    this.manatee.move(TypeExpression.UP, 0.5) /
    this.manatee.say(Bless you!) /",1,6,0,92
carr-lane-1-AquaMask,dotogether-o,PUZZLE,2/1/3/4/5/6/,1/2/3/4/5/6/,I/U/U/U/U/U/,31,36
carr-lane-1-AquaMask,dotogether-o,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,44,50
carr-lane-1-AquaMask,dotogether-o,END,"    this.hare.getRightShoulder().turn(TypeExpression.RIGHT, 0.125) /
    do together / {
      this.hare.hit(this.volleyball) /
      this.volleyball.fly away() /
    }
    this.hare.getHead().turn(TypeExpression.BACKWARD, 0.125) /
    this.hare.say(Aww man..) /",1,6,0,54
carr-lane-1-AquaMask,dotogether-m,REFERENCE,1/3/-1/-1/-1/-1/-1/2/,1/2/3/4/5/6/8/7/,C/I/U/U/U/U/U/U/,35,46
carr-lane-1-AquaMask,dotogether-m,PUZZLE,1/2/3/4/5/6/8/7/,1/2/3/4/5/6/8/7/,C/C/C/C/C/C/C/C/,82,90
