codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
carr-lane-1-BlueberryCactus,sequential-d,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/U/,39,60
carr-lane-1-BlueberryCactus,sequential-d,REFERENCE,1/-1/-1/-1/-1/-1/-1/-1/,1/2/-1/-1/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/,76,96
carr-lane-1-BlueberryCactus,sequential-d,REFERENCE,1/2/-1/-1/-1/-1/-1/-1/,1/2/3/-1/-1/-1/-1/-1/,C/C/I/U/U/U/U/U/,106,124
carr-lane-1-BlueberryCactus,sequential-d,REFERENCE,1/2/3/-1/-1/-1/-1/-1/,1/2/3/4/7/6/5/8/,C/C/C/I/U/U/U/U/,140,156
carr-lane-1-BlueberryCactus,sequential-d,PUZZLE,1/2/3/4/7/6/5/8/,1/2/3/4/7/5/6/8/,C/C/C/C/I/U/U/U/,240,258
carr-lane-1-BlueberryCactus,sequential-d,PUZZLE,1/2/3/4/7/5/6/8/,1/2/3/4/7/5/6/8/,C/C/C/C/I/U/U/U/,298,-1
carr-lane-1-BlueberryCactus,sequential-d,REFERENCE,1/2/3/4/7/5/6/8/,1/2/3/4/7/6/5/8/,C/C/C/C/I/U/U/U/,319,339
carr-lane-1-BlueberryCactus,sequential-d,PUZZLE,1/2/3/4/7/6/5/8/,1/2/3/4/7/6/5/8/,C/C/C/C/I/U/U/U/,371,392
carr-lane-1-BlueberryCactus,sequential-d,REFERENCE,1/2/3/4/7/6/5/8/,1/2/3/4/6/-1/5/7/,C/C/C/C/I/U/U/U/,414,440
carr-lane-1-BlueberryCactus,sequential-d,REFERENCE,1/2/3/4/6/-1/5/7/,1/2/3/4/6/-1/5/7/,C/C/C/C/I/U/U/U/,481,-1
carr-lane-1-BlueberryCactus,sequential-d,PUZZLE,1/2/3/4/6/-1/5/7/,1/2/3/4/7/5/6/8/,C/C/C/C/I/U/U/U/,491,516
carr-lane-1-BlueberryCactus,sequential-d,PUZZLE,1/2/3/4/7/5/6/8/,1/2/3/4/7/5/6/8/,C/C/C/C/I/U/U/U/,529,-1
carr-lane-1-BlueberryCactus,sequential-d,PUZZLE,1/2/3/4/7/5/6/8/,1/2/3/4/7/5/6/8/,C/C/C/C/I/U/U/U/,565,-1
