codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
carr-lane-1-CandyCrayon,sequential-d,PUZZLE,1/2/-1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/-1/-1/,C/C/I/U/U/U/U/U/,55,64
carr-lane-1-CandyCrayon,sequential-d,REFERENCE,1/-1/-1/-1/-1/-1/-1/-1/,1/2/-1/-1/-1/-1/3/-1/,C/I/U/U/U/U/U/U/,72,89
carr-lane-1-CandyCrayon,sequential-d,PUZZLE,1/2/-1/-1/-1/-1/3/-1/,1/2/-1/-1/-1/-1/-1/-1/,C/C/I/U/U/U/U/U/,101,111
carr-lane-1-CandyCrayon,sequential-d,REFERENCE,1/2/-1/-1/-1/-1/-1/-1/,1/2/-1/-1/-1/-1/-1/-1/,C/C/I/U/U/U/U/U/,132,-1
carr-lane-1-CandyCrayon,sequential-d,PUZZLE,1/2/-1/-1/-1/-1/-1/-1/,1/2/-1/-1/-1/-1/-1/-1/,C/C/I/U/U/U/U/U/,137,147
carr-lane-1-CandyCrayon,sequential-d,PUZZLE,1/2/-1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/-1/-1/,C/C/I/U/U/U/U/U/,153,163
carr-lane-1-CandyCrayon,sequential-d,PUZZLE,1/-1/-1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/,171,178
carr-lane-1-CandyCrayon,sequential-d,PUZZLE,1/-1/-1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/,247,253
carr-lane-1-CandyCrayon,sequential-d,REFERENCE,1/-1/-1/-1/-1/-1/-1/-1/,1/3/-1/2/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/,257,266
carr-lane-1-CandyCrayon,sequential-d,PUZZLE,1/3/-1/2/-1/-1/-1/-1/,1/2/-1/3/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/,283,291
carr-lane-1-CandyCrayon,sequential-d,PUZZLE,1/2/-1/3/-1/-1/-1/-1/,1/2/3/-1/-1/-1/-1/-1/,C/C/I/U/U/U/U/U/,297,307
carr-lane-1-CandyCrayon,sequential-d,PUZZLE,1/2/3/-1/-1/-1/-1/-1/,1/2/3/-1/-1/-1/-1/-1/,C/C/C/I/U/U/U/U/,324,335
carr-lane-1-CandyCrayon,sequential-d,REFERENCE,1/2/3/-1/-1/-1/-1/-1/,1/2/3/-1/-1/4/5/-1/,C/C/C/I/U/U/U/U/,337,349
carr-lane-1-CandyCrayon,sequential-d,PUZZLE,1/2/3/-1/-1/4/5/-1/,1/2/3/4/-1/5/6/-1/,C/C/C/I/U/U/U/U/,373,386
carr-lane-1-CandyCrayon,sequential-d,PUZZLE,1/2/3/4/-1/5/6/-1/,1/2/3/4/-1/5/6/-1/,C/C/C/C/I/U/U/U/,394,-1
carr-lane-1-CandyCrayon,sequential-d,REFERENCE,1/2/3/4/-1/5/6/-1/,1/2/3/4/5/6/-1/-1/,C/C/C/C/I/U/U/U/,409,422
carr-lane-1-CandyCrayon,sequential-d,PUZZLE,1/2/3/4/5/6/-1/-1/,1/2/3/4/5/6/-1/-1/,C/C/C/C/C/C/I/U/,444,-1
carr-lane-1-CandyCrayon,sequential-d,REFERENCE,1/2/3/4/5/6/-1/-1/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/I/U/,460,478
carr-lane-1-CandyCrayon,sequential-d,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,486,503
carr-lane-1-CandyCrayon,sequential-d,END,"    this.monkey.walk(1.5) /
    this.monkey.jump and spin() /
    this.monkey.walk up to(this.treasureChest) /
    this.monkey.raise arms() /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.0125) /
    this.monkey.bang on(this.treasureChest) /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
    this.treasureMonkey.raise arms() /",6,8,0,510
carr-lane-1-CandyCrayon,sequential-g,REFERENCE,-1/-1/-1/-1/-1/-1/-1/,1/2/3/4/5/7/6/,I/U/U/U/U/U/U/,32,40
carr-lane-1-CandyCrayon,sequential-g,PUZZLE,1/2/3/4/5/7/6/,1/2/3/4/5/6/7/,C/C/C/C/C/I/U/,99,115
carr-lane-1-CandyCrayon,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,120,135
carr-lane-1-CandyCrayon,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",4,7,0,141
carr-lane-1-CandyCrayon,dotogether-o,REFERENCE,-1/-1/-1/-1/-1/-1/,-1/-1/1/-1/-1/-1/,I/U/U/U/U/U/,9,20
