codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
carr-lane-1-CinnamonCupcake,sequential-d,REFERENCE,1/-1/-1/-1/-1/-1/-1/2/,1/3/-1/-1/-1/-1/-1/2/,C/I/U/U/U/U/U/U/,48,57
carr-lane-1-CinnamonCupcake,sequential-d,PUZZLE,1/3/-1/-1/-1/-1/-1/2/,1/3/-1/2/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/,74,85
carr-lane-1-CinnamonCupcake,sequential-d,PUZZLE,1/3/-1/2/-1/-1/-1/-1/,1/3/-1/2/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/,95,102
carr-lane-1-CinnamonCupcake,sequential-d,PUZZLE,1/3/-1/2/-1/-1/-1/-1/,1/2/-1/3/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/,123,131
carr-lane-1-CinnamonCupcake,sequential-d,PUZZLE,1/2/-1/3/-1/-1/-1/-1/,1/2/3/4/7/5/6/8/,C/C/I/U/U/U/U/U/,140,153
carr-lane-1-CinnamonCupcake,sequential-d,PUZZLE,1/2/3/4/7/5/6/8/,1/2/3/4/6/-1/5/7/,C/C/C/C/I/U/U/U/,197,211
carr-lane-1-CinnamonCupcake,sequential-d,PUZZLE,1/2/3/4/6/-1/5/7/,1/2/3/5/6/-1/4/7/,C/C/C/C/I/U/U/U/,222,241
carr-lane-1-CinnamonCupcake,sequential-d,PUZZLE,1/2/3/5/6/-1/4/7/,1/2/3/4/6/5/7/8/,C/C/C/I/U/U/U/U/,263,276
carr-lane-1-CinnamonCupcake,sequential-d,PUZZLE,1/2/3/4/6/5/7/8/,1/2/3/4/6/5/7/8/,C/C/C/C/I/U/U/U/,311,325
carr-lane-1-CinnamonCupcake,sequential-d,REFERENCE,1/2/3/4/6/5/7/8/,1/2/3/4/7/6/5/8/,C/C/C/C/I/U/U/U/,327,343
carr-lane-1-CinnamonCupcake,sequential-d,PUZZLE,1/2/3/4/7/6/5/8/,1/2/3/4/5/6/7/8/,C/C/C/C/I/U/U/U/,357,370
carr-lane-1-CinnamonCupcake,sequential-d,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,386,404
carr-lane-1-CinnamonCupcake,sequential-d,END,"    this.monkey.walk(1.5) /
    this.monkey.jump and spin() /
    this.monkey.walk up to(this.treasureChest) /
    this.monkey.raise arms() /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.0125) /
    this.monkey.bang on(this.treasureChest) /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
    this.treasureMonkey.raise arms() /",6,8,0,413
carr-lane-1-CinnamonCupcake,sequential-c,PUZZLE,1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/,C/I/U/U/U/U/,28,39
carr-lane-1-CinnamonCupcake,sequential-c,REFERENCE,1/-1/-1/-1/-1/-1/,2/1/-1/-1/-1/-1/,C/I/U/U/U/U/,40,47
carr-lane-1-CinnamonCupcake,sequential-c,PUZZLE,2/1/-1/-1/-1/-1/,1/2/-1/-1/-1/-1/,I/U/U/U/U/U/,56,60
carr-lane-1-CinnamonCupcake,sequential-c,PUZZLE,1/2/-1/-1/-1/-1/,1/2/3/-1/4/-1/,C/C/I/U/U/U/,63,68
carr-lane-1-CinnamonCupcake,sequential-c,PUZZLE,1/2/3/-1/4/-1/,1/2/3/4/5/6/,C/C/C/I/U/U/,85,93
carr-lane-1-CinnamonCupcake,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,107,118
carr-lane-1-CinnamonCupcake,sequential-c,END,"    this.hare.swing arm() /
    this.volleyball.move(TypeExpression.DOWN, 0.6) /
    this.hare.look down() /
    this.hare.getRightHip().turn(TypeExpression.FORWARD, 0.25) /
    this.hare.kick(this.volleyball) /
    this.net.turn(TypeExpression.BACKWARD, 0.25) /",2,6,0,126
carr-lane-1-CinnamonCupcake,dotogether-a,REFERENCE,1/3/2/-1/4/5/6/7/,1/3/2/4/5/7/6/8/,C/I/U/U/U/U/U/U/,42,51
carr-lane-1-CinnamonCupcake,dotogether-a,PUZZLE,1/3/2/4/5/7/6/8/,1/2/3/4/5/7/6/8/,C/I/U/U/U/U/U/U/,72,77
carr-lane-1-CinnamonCupcake,dotogether-a,PUZZLE,1/2/3/4/5/7/6/8/,1/2/3/4/5/7/6/8/,C/C/C/C/C/C/C/C/,91,100
carr-lane-1-CinnamonCupcake,dotogether-a,END,"    this.penguin.say(Everyone, I'd like you to meet Derek.) /
    this.DerekTheYeti.say(Hello.) /
    this.DerekTheYeti.moveToward(this.babyPenguin2, 0.5) /
    do together / {
      this.babyPenguin1.jump back() /
      this.babyPenguin2.jump back() /
      this.babyPenguin3.jump back() /
    }
    this.penguin.say(He's harmless and very kind!) /",1,8,0,103
carr-lane-1-CinnamonCupcake,dotogether-o,PUZZLE,1/-1/2/3/4/5/,1/-1/2/3/4/5/,C/I/U/U/U/U/,53,58
carr-lane-1-CinnamonCupcake,dotogether-o,REFERENCE,1/-1/2/3/4/5/,1/-1/2/3/4/5/,C/I/U/U/U/U/,60,66
carr-lane-1-CinnamonCupcake,dotogether-o,PUZZLE,1/-1/2/3/4/5/,1/-1/2/3/4/5/,C/I/U/U/U/U/,88,94
carr-lane-1-CinnamonCupcake,dotogether-o,PUZZLE,1/-1/2/3/4/5/,1/-1/2/3/4/5/,C/I/U/U/U/U/,101,106
carr-lane-1-CinnamonCupcake,dotogether-o,REFERENCE,1/-1/2/3/4/5/,1/-1/2/3/4/5/,C/I/U/U/U/U/,109,115
carr-lane-1-CinnamonCupcake,dotogether-o,PUZZLE,1/-1/2/3/4/5/,2/-1/1/3/4/5/,C/I/U/U/U/U/,125,130
carr-lane-1-CinnamonCupcake,dotogether-o,PUZZLE,2/-1/1/3/4/5/,3/-1/1/2/4/5/,I/U/U/U/U/U/,136,139
carr-lane-1-CinnamonCupcake,dotogether-o,REFERENCE,3/-1/1/2/4/5/,1/2/3/4/5/6/,I/U/U/U/U/U/,145,151
carr-lane-1-CinnamonCupcake,dotogether-o,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/I/U/U/,167,179
carr-lane-1-CinnamonCupcake,dotogether-o,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,183,191
carr-lane-1-CinnamonCupcake,dotogether-o,END,"    this.hare.getRightShoulder().turn(TypeExpression.RIGHT, 0.125) /
    do together / {
      this.hare.hit(this.volleyball) /
      this.volleyball.fly away() /
    }
    this.hare.getHead().turn(TypeExpression.BACKWARD, 0.125) /
    this.hare.say(Aww man..) /",3,6,0,196
carr-lane-1-CinnamonCupcake,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,63,80
carr-lane-1-CinnamonCupcake,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",1,7,0,83
carr-lane-1-CinnamonCupcake,dotogether-m,PUZZLE,1/2/3/4/5/6/8/7/,1/2/3/4/8/5/7/6/,C/C/C/C/I/U/U/U/,73,85
carr-lane-1-CinnamonCupcake,dotogether-m,PUZZLE,1/2/3/4/8/5/7/6/,1/2/3/4/5/6/8/7/,C/C/C/C/I/U/U/U/,92,103
carr-lane-1-CinnamonCupcake,dotogether-m,PUZZLE,1/2/3/4/5/6/8/7/,1/2/3/4/5/6/8/7/,C/C/C/C/C/C/C/C/,119,130
carr-lane-1-CinnamonCupcake,dotogether-m,END,"    this.hare.say(1...2...3...JUMP!) /
    do together / {
      this.pig.jump() /
      this.hare.jump() /
    }
    this.caiman.snap jaws() /
    do together / {
      this.pig.say(UH OH!) /
      this.hare.say(UH OH!) /
    }",1,8,0,133
carr-lane-1-CinnamonCupcake,dotogether-n,PUZZLE,-1/-1/-1/-1/-1/-1/,1/2/3/4/5/6/,I/U/U/U/U/U/,21,25
carr-lane-1-CinnamonCupcake,dotogether-n,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,50,61
carr-lane-1-CinnamonCupcake,dotogether-n,END,"    this.playingCard.say(Alice was just here I promise!!) /
    this.queenOfHearts.say(We BETTER find her!) /
    do together / {
      this.queenOfHearts.walk forward() /
      this.playingCard.walk forward() /
    }
    this.alice.sneak away() /",1,6,0,65
carr-lane-1-CinnamonCupcake,dotogether-b,PUZZLE,1/-1/2/-1/-1/-1/,1/2/4/3/5/6/,C/I/U/U/U/U/,29,35
carr-lane-1-CinnamonCupcake,dotogether-b,PUZZLE,1/2/4/3/5/6/,1/2/4/3/5/6/,C/C/C/C/C/C/,63,71
carr-lane-1-CinnamonCupcake,dotogether-b,END,"    this.troll.say(Ahhhhhh) /
    do together / {
      this.troll.sneeze and raise arms() /
      this.boat.move(TypeExpression.BACKWARD, 5.0) /
    }
    this.manatee.move(TypeExpression.UP, 0.5) /
    this.manatee.say(Bless you!) /",1,6,0,73
carr-lane-1-CinnamonCupcake,dotogether-d,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/,1/-1/-1/2/-1/-1/3/-1/,I/U/U/U/U/U/U/U/,20,24
carr-lane-1-CinnamonCupcake,dotogether-d,REFERENCE,1/-1/-1/2/-1/-1/3/-1/,1/-1/-1/2/-1/5/3/4/,C/I/U/U/U/U/U/U/,59,69
carr-lane-1-CinnamonCupcake,dotogether-d,PUZZLE,1/-1/-1/2/-1/5/3/4/,1/-1/-1/2/-1/5/3/4/,C/I/U/U/U/U/U/U/,79,87
carr-lane-1-CinnamonCupcake,dotogether-d,REFERENCE,1/-1/-1/2/-1/5/3/4/,1/-1/-1/2/-1/5/3/4/,C/I/U/U/U/U/U/U/,91,99
carr-lane-1-CinnamonCupcake,dotogether-d,REFERENCE,1/-1/-1/2/-1/5/3/4/,1/-1/-1/2/-1/5/4/3/,C/I/U/U/U/U/U/U/,112,117
carr-lane-1-CinnamonCupcake,dotogether-d,PUZZLE,1/-1/-1/2/-1/5/4/3/,1/-1/2/3/-1/6/5/4/,C/I/U/U/U/U/U/U/,123,128
carr-lane-1-CinnamonCupcake,dotogether-d,PUZZLE,1/-1/2/3/-1/6/5/4/,1/-1/2/3/-1/6/5/4/,C/I/U/U/U/U/U/U/,146,153
carr-lane-1-CinnamonCupcake,dotogether-d,REFERENCE,1/-1/2/3/-1/6/5/4/,1/2/3/4/-1/6/5/7/,C/I/U/U/U/U/U/U/,156,161
carr-lane-1-CinnamonCupcake,dotogether-d,PUZZLE,1/2/3/4/-1/6/5/7/,1/2/3/4/-1/7/5/6/,C/C/C/C/I/U/U/U/,177,186
carr-lane-1-CinnamonCupcake,dotogether-d,PUZZLE,1/2/3/4/-1/7/5/6/,1/2/3/4/5/7/6/8/,C/C/C/C/I/U/U/U/,191,201
carr-lane-1-CinnamonCupcake,dotogether-d,PUZZLE,1/2/3/4/5/7/6/8/,1/2/3/4/5/7/6/8/,C/C/C/C/C/C/C/I/,219,228
carr-lane-1-CinnamonCupcake,dotogether-d,PUZZLE,1/2/3/4/5/7/6/8/,1/2/3/4/5/7/6/8/,C/C/C/C/C/C/C/C/,231,240
carr-lane-1-CinnamonCupcake,dotogether-d,END,"    this.mandril.think(A treasure chest!) /
    do together / {
      this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
      this.treasureChest.say(Hello!) /
    }
    do together / {
      this.mandril.turn(TypeExpression.LEFT, 0.5) /
      this.mandril.walk(10.0) /
      this.mandril.say(Ahhhhhh!) /
    }",3,8,0,245
carr-lane-1-CinnamonCupcake,dotogether-e,REFERENCE,1/6/2/3/-1/7/8/4/5/,1/6/2/3/-1/7/8/4/5/,C/I/U/U/U/U/U/U/U/,49,58
carr-lane-1-CinnamonCupcake,dotogether-e,REFERENCE,1/6/2/3/-1/7/8/4/5/,1/7/3/4/2/8/9/5/6/,C/I/U/U/U/U/U/U/U/,67,76
carr-lane-1-CinnamonCupcake,dotogether-e,PUZZLE,1/7/3/4/2/8/9/5/6/,1/7/3/4/2/8/9/6/5/,C/C/C/C/I/U/U/U/U/,88,100
carr-lane-1-CinnamonCupcake,dotogether-e,PUZZLE,1/7/3/4/2/8/9/6/5/,1/7/3/4/2/8/9/6/5/,C/C/C/C/I/U/U/U/U/,105,117
carr-lane-1-CinnamonCupcake,dotogether-e,REFERENCE,1/7/3/4/2/8/9/6/5/,1/5/3/4/2/7/9/8/6/,C/C/C/C/I/U/U/U/U/,120,130
carr-lane-1-CinnamonCupcake,dotogether-e,PUZZLE,1/5/3/4/2/7/9/8/6/,1/5/3/4/2/7/9/8/6/,C/C/C/C/C/C/C/C/C/,136,148
carr-lane-1-CinnamonCupcake,dotogether-e,END,"    this.bush.rustle() /
    do together / {
      this.Witch.getHead().turn(TypeExpression.RIGHT, 0.125) /
      this.Witch.say(What was that?) /
    }
    do together / {
      this.Troll.legs shake() /
      this.Troll.bend over() /
      this.Troll.turn(TypeExpression.RIGHT, 0.5) /
      this.Troll.think(This place is scary..) /
    }",3,9,0,152
carr-lane-1-CinnamonCupcake,dotogether-i,REFERENCE,1/-1/5/2/4/3/6/-1/-1/-1/,1/-1/3/4/-1/2/5/-1/-1/-1/,C/I/U/U/U/U/U/U/U/U/,67,76
carr-lane-1-CinnamonCupcake,dotogether-i,REFERENCE,1/-1/3/4/-1/2/5/-1/-1/-1/,1/6/3/4/5/2/7/8/9/10/,C/C/C/C/I/U/U/U/U/U/,85,91
carr-lane-1-CinnamonCupcake,dotogether-i,PUZZLE,1/6/3/4/5/2/7/8/9/10/,1/6/3/4/5/2/7/8/9/10/,C/C/C/C/C/C/C/C/I/U/,120,133
carr-lane-1-CinnamonCupcake,dotogether-i,REFERENCE,1/6/3/4/5/2/7/8/9/10/,1/6/3/4/5/2/8/7/9/10/,C/C/C/C/C/C/C/C/I/U/,135,142
carr-lane-1-CinnamonCupcake,dotogether-i,PUZZLE,1/6/3/4/5/2/8/7/9/10/,1/6/3/4/5/2/8/7/9/10/,C/C/C/C/C/C/C/C/I/U/,154,162
carr-lane-1-CinnamonCupcake,dotogether-i,PUZZLE,1/6/3/4/5/2/8/7/9/10/,1/6/3/4/5/2/7/8/9/10/,C/C/C/C/C/C/C/C/I/I/,184,191
carr-lane-1-CinnamonCupcake,dotogether-i,PUZZLE,1/6/3/4/5/2/7/8/9/10/,1/6/3/4/5/2/7/8/9/10/,C/C/C/C/C/C/C/C/I/I/,198,206
carr-lane-1-CinnamonCupcake,dotogether-i,PUZZLE,1/6/3/4/5/2/7/8/9/10/,1/6/3/4/5/2/7/8/9/10/,C/C/C/C/C/C/C/C/I/U/,209,216
carr-lane-1-CinnamonCupcake,dotogether-i,PUZZLE,1/6/3/4/5/2/7/8/9/10/,1/6/3/4/5/2/7/8/9/10/,C/C/C/C/C/C/C/C/C/C/,224,233
carr-lane-1-CinnamonCupcake,dotogether-i,END,"    this.tiny yeti.turnToFace(this.big yeti) /
    do together / {
      this.tiny yeti.nod() /
      this.big yeti.nod() /
    }
    this.tiny yeti.move(TypeExpression.BACKWARD, 0.5) /
    do together / {
      this.tiny yeti.jump to hammer() /
      this.big yeti.prepare to swing hammer() /
    }
    this.big yeti.power swing() /
    this.tiny yeti.fly away() /",4,10,0,239
carr-lane-1-CinnamonCupcake,dotogether-l,PUZZLE,1/2/4/6/3/5/7/,1/2/-1/5/3/4/6/,C/C/I/U/U/U/U/,61,80
carr-lane-1-CinnamonCupcake,dotogether-l,PUZZLE,1/2/-1/5/3/4/6/,1/2/3/6/4/5/7/,C/C/I/U/U/U/U/,106,116
carr-lane-1-CinnamonCupcake,dotogether-l,PUZZLE,1/2/3/6/4/5/7/,1/2/3/4/5/6/7/,C/C/C/C/C/I/U/,129,139
carr-lane-1-CinnamonCupcake,dotogether-l,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,147,175
carr-lane-1-CinnamonCupcake,dotogether-l,END,"    this.cheshireCat.say(Okay Alice, your turn now.) /
    this.alice.move(TypeExpression.BACKWARD, 1.0) /
    do together / {
      this.alice.move legs() /
      this.alice.move(TypeExpression.UP, 1.0) /
      this.alice.moveToward(this.cheshireCat, 3.0) /
    }
    this.alice.say(I'm stuck!) /",4,7,0,180
carr-lane-1-CinnamonCupcake,dotogether-j,PUZZLE,1/7/4/10/2/6/3/8/9/5/11/,1/7/4/10/2/6/3/8/9/5/11/,C/I/U/U/U/U/U/U/U/U/U/,96,106
carr-lane-1-CinnamonCupcake,dotogether-j,REFERENCE,1/7/4/10/2/6/3/8/9/5/11/,1/7/3/10/5/6/2/8/9/4/11/,C/I/U/U/U/U/U/U/U/U/U/,114,118
carr-lane-1-CinnamonCupcake,dotogether-j,REFERENCE,1/7/3/10/5/6/2/8/9/4/11/,1/7/3/10/5/6/2/8/9/4/11/,C/C/C/I/I/U/U/U/U/U/U/,133,143
carr-lane-1-CinnamonCupcake,dotogether-j,REFERENCE,1/7/3/10/5/6/2/8/9/4/11/,1/7/3/10/5/6/2/8/9/4/11/,C/C/C/I/I/U/U/U/U/U/U/,149,165
carr-lane-1-CinnamonCupcake,dotogether-j,PUZZLE,1/7/3/10/5/6/2/8/9/4/11/,1/7/3/9/5/6/2/8/10/4/11/,C/C/C/I/I/U/U/U/U/U/U/,171,181
carr-lane-1-CinnamonCupcake,dotogether-j,PUZZLE,1/7/3/9/5/6/2/8/10/4/11/,1/7/3/9/5/6/2/8/10/4/11/,C/C/C/I/I/U/U/U/U/U/U/,206,237
carr-lane-1-CinnamonCupcake,dotogether-j,REFERENCE,1/7/3/9/5/6/2/8/10/4/11/,1/7/3/9/5/6/2/8/10/4/11/,C/C/C/I/I/U/U/U/U/U/U/,253,-1
carr-lane-1-CinnamonCupcake,dotogether-j,PUZZLE,1/7/3/9/5/6/2/8/10/4/11/,1/7/3/4/5/6/2/9/10/8/11/,C/C/C/I/I/U/U/U/U/U/U/,273,302
