codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
carr-lane-1-DaintyBunny,sequential-c,PUZZLE,4/2/1/3/6/5/,3/2/1/5/6/4/,I/U/U/U/U/U/,125,140
carr-lane-1-DaintyBunny,sequential-c,PUZZLE,3/2/1/5/6/4/,1/2/3/4/5/6/,I/U/U/U/U/U/,267,280
carr-lane-1-DaintyBunny,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,396,408
carr-lane-1-DaintyBunny,sequential-c,END,"    this.hare.swing arm() /
    this.volleyball.move(TypeExpression.DOWN, 0.6) /
    this.hare.look down() /
    this.hare.getRightHip().turn(TypeExpression.FORWARD, 0.25) /
    this.hare.kick(this.volleyball) /
    this.net.turn(TypeExpression.BACKWARD, 0.25) /",4,6,0,430
carr-lane-1-DaintyBunny,dotogether-m,PUZZLE,1/6/3/4/5/2/7/8/,1/6/3/4/5/2/7/8/,C/C/C/C/C/C/C/C/,195,209
carr-lane-1-DaintyBunny,dotogether-m,END,"    this.hare.say(1...2...3...JUMP!) /
    do together / {
      this.pig.jump() /
      this.hare.jump() /
    }
    this.caiman.snap jaws() /
    do together / {
      this.pig.say(UH OH!) /
      this.hare.say(UH OH!) /
    }",2,8,0,218
carr-lane-1-DaintyBunny,sequential-g,PUZZLE,1/4/5/2/3/7/6/,1/4/5/2/3/7/6/,C/I/U/U/U/U/U/,193,-1
carr-lane-1-DaintyBunny,sequential-g,REFERENCE,1/4/5/2/3/7/6/,1/2/4/6/5/7/3/,C/I/U/U/U/U/U/,212,230
carr-lane-1-DaintyBunny,sequential-g,PUZZLE,1/2/4/6/5/7/3/,1/2/3/4/5/7/6/,C/C/I/U/U/U/U/,440,455
carr-lane-1-DaintyBunny,sequential-g,PUZZLE,1/2/3/4/5/7/6/,1/2/3/4/5/6/7/,C/C/C/C/C/I/U/,663,691
carr-lane-1-DaintyBunny,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,702,719
carr-lane-1-DaintyBunny,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",4,7,0,728
carr-lane-1-DaintyBunny,sequential-d,PUZZLE,1/2/3/4/7/6/5/8/,1/2/3/4/5/6/8/7/,C/C/C/C/I/U/U/U/,112,129
carr-lane-1-DaintyBunny,sequential-d,PUZZLE,1/2/3/4/5/6/8/7/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/I/U/,141,162
carr-lane-1-DaintyBunny,sequential-d,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,169,188
carr-lane-1-DaintyBunny,sequential-d,END,"    this.monkey.walk(1.5) /
    this.monkey.jump and spin() /
    this.monkey.walk up to(this.treasureChest) /
    this.monkey.raise arms() /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.0125) /
    this.monkey.bang on(this.treasureChest) /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
    this.treasureMonkey.raise arms() /",4,8,0,198
carr-lane-1-DaintyBunny,dotogether-b,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,53,70
carr-lane-1-DaintyBunny,dotogether-b,END,"    this.troll.say(Ahhhhhh) /
    do together / {
      this.troll.sneeze and raise arms() /
      this.boat.move(TypeExpression.BACKWARD, 5.0) /
    }
    this.manatee.move(TypeExpression.UP, 0.5) /
    this.manatee.say(Bless you!) /",2,6,0,74
carr-lane-1-DaintyBunny,dotogether-n,REFERENCE,-1/-1/-1/-1/-1/-1/,-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/,33,-1
carr-lane-1-DaintyBunny,dotogether-n,REFERENCE,-1/-1/-1/-1/-1/-1/,-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/,42,-1
carr-lane-1-DaintyBunny,dotogether-n,REFERENCE,-1/-1/-1/-1/-1/-1/,1/2/3/4/5/6/,I/U/U/U/U/U/,43,53
carr-lane-1-DaintyBunny,dotogether-n,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/I/,113,125
carr-lane-1-DaintyBunny,dotogether-n,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,132,145
carr-lane-1-DaintyBunny,dotogether-n,END,"    this.playingCard.say(Alice was just here I promise!!) /
    this.queenOfHearts.say(We BETTER find her!) /
    do together / {
      this.queenOfHearts.walk forward() /
      this.playingCard.walk forward() /
    }
    this.alice.sneak away() /",2,6,0,150
carr-lane-1-DaintyBunny,dotogether-e,PUZZLE,1/-1/3/2/-1/6/5/4/7/,1/-1/4/3/2/7/6/5/8/,C/I/U/U/U/U/U/U/U/,156,174
