codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
carr-lane-1-LemonCandy,sequential-c,REFERENCE,-1/-1/-1/-1/-1/-1/,-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/,93,-1
carr-lane-1-LemonCandy,sequential-c,REFERENCE,-1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/,106,112
carr-lane-1-LemonCandy,sequential-c,PUZZLE,1/-1/-1/-1/-1/-1/,1/2/-1/-1/-1/-1/,C/I/U/U/U/U/,120,126
carr-lane-1-LemonCandy,sequential-c,PUZZLE,1/2/-1/-1/-1/-1/,1/2/-1/-1/-1/-1/,C/C/I/U/U/U/,140,147
carr-lane-1-LemonCandy,sequential-c,REFERENCE,1/2/-1/-1/-1/-1/,1/2/-1/-1/-1/-1/,C/C/I/U/U/U/,148,156
carr-lane-1-LemonCandy,sequential-c,REFERENCE,1/2/-1/-1/-1/-1/,1/2/3/-1/4/-1/,C/C/I/U/U/U/,160,167
carr-lane-1-LemonCandy,sequential-c,PUZZLE,1/2/3/-1/4/-1/,1/2/3/-1/-1/-1/,C/C/C/I/U/U/,181,189
carr-lane-1-LemonCandy,sequential-c,REFERENCE,1/2/3/-1/-1/-1/,1/2/3/-1/-1/-1/,C/C/C/I/U/U/,196,-1
carr-lane-1-LemonCandy,sequential-c,REFERENCE,1/2/3/-1/-1/-1/,1/2/3/4/5/-1/,C/C/C/I/U/U/,196,205
carr-lane-1-LemonCandy,sequential-c,PUZZLE,1/2/3/4/5/-1/,1/2/3/4/5/6/,C/C/C/C/C/I/,225,234
carr-lane-1-LemonCandy,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,294,-1
carr-lane-1-LemonCandy,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,316,-1
carr-lane-1-LemonCandy,sequential-c,REFERENCE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,332,342
carr-lane-1-LemonCandy,sequential-c,END,"    this.hare.swing arm() /
    this.volleyball.move(TypeExpression.DOWN, 0.6) /
    this.hare.look down() /
    this.hare.getRightHip().turn(TypeExpression.FORWARD, 0.25) /
    this.hare.kick(this.volleyball) /
    this.net.turn(TypeExpression.BACKWARD, 0.25) /",1,6,0,353
carr-lane-1-LemonCandy,sequential-d,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/U/,13,16
carr-lane-1-LemonCandy,sequential-d,REFERENCE,1/-1/-1/-1/-1/-1/-1/-1/,1/3/-1/-1/-1/-1/-1/2/,C/I/U/U/U/U/U/U/,27,32
carr-lane-1-LemonCandy,sequential-d,PUZZLE,1/3/-1/-1/-1/-1/-1/2/,1/2/-1/-1/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/,46,51
carr-lane-1-LemonCandy,sequential-d,PUZZLE,1/2/-1/-1/-1/-1/-1/-1/,1/2/3/-1/-1/-1/-1/-1/,C/C/I/U/U/U/U/U/,56,64
carr-lane-1-LemonCandy,sequential-d,REFERENCE,1/2/3/-1/-1/-1/-1/-1/,1/2/3/-1/-1/-1/-1/-1/,C/C/C/I/U/U/U/U/,69,-1
carr-lane-1-LemonCandy,sequential-d,PUZZLE,1/2/3/-1/-1/-1/-1/-1/,1/2/3/-1/-1/-1/-1/-1/,C/C/C/I/U/U/U/U/,83,-1
carr-lane-1-LemonCandy,sequential-d,REFERENCE,1/2/3/-1/-1/-1/-1/-1/,1/2/3/4/-1/5/-1/-1/,C/C/C/I/U/U/U/U/,92,101
carr-lane-1-LemonCandy,sequential-d,PUZZLE,1/2/3/4/-1/5/-1/-1/,1/2/3/4/-1/5/-1/-1/,C/C/C/C/I/U/U/U/,114,-1
carr-lane-1-LemonCandy,sequential-d,REFERENCE,1/2/3/4/-1/5/-1/-1/,1/2/3/4/-1/5/-1/-1/,C/C/C/C/I/U/U/U/,126,-1
carr-lane-1-LemonCandy,sequential-d,REFERENCE,1/2/3/4/-1/5/-1/-1/,1/2/3/4/5/-1/-1/-1/,C/C/C/C/I/U/U/U/,140,152
