codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
carr-lane-1-ProfessorAstounding,sequential-g,REFERENCE,-1/-1/-1/-1/-1/-1/-1/,1/2/3/4/5/6/7/,I/U/U/U/U/U/U/,51,59
carr-lane-1-ProfessorAstounding,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,140,155
carr-lane-1-ProfessorAstounding,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",2,7,0,163
carr-lane-1-ProfessorAstounding,dotogether-b,PUZZLE,1/-1/2/3/4/5/,1/-1/2/3/4/5/,C/I/U/U/U/U/,72,-1
carr-lane-1-ProfessorAstounding,dotogether-b,PUZZLE,1/-1/2/3/4/5/,1/-1/3/2/4/5/,C/I/U/U/U/U/,84,90
carr-lane-1-ProfessorAstounding,dotogether-b,PUZZLE,1/-1/3/2/4/5/,1/-1/3/2/4/5/,C/I/U/U/U/U/,98,-1
carr-lane-1-ProfessorAstounding,dotogether-b,PUZZLE,1/-1/3/2/4/5/,1/-1/3/2/4/5/,C/I/U/U/U/U/,117,-1
carr-lane-1-ProfessorAstounding,dotogether-b,REFERENCE,1/-1/3/2/4/5/,1/-1/3/2/4/5/,C/I/U/U/U/U/,119,-1
carr-lane-1-ProfessorAstounding,dotogether-b,REFERENCE,1/-1/3/2/4/5/,1/-1/3/2/4/5/,C/I/U/U/U/U/,124,-1
carr-lane-1-ProfessorAstounding,dotogether-b,REFERENCE,1/-1/3/2/4/5/,1/-1/3/2/4/5/,C/I/U/U/U/U/,132,-1
carr-lane-1-ProfessorAstounding,dotogether-b,REFERENCE,1/-1/3/2/4/5/,1/-1/2/3/4/5/,C/I/U/U/U/U/,132,137
carr-lane-1-ProfessorAstounding,dotogether-b,REFERENCE,1/-1/2/3/4/5/,1/-1/2/3/4/5/,C/I/U/U/U/U/,151,-1
carr-lane-1-ProfessorAstounding,dotogether-b,PUZZLE,1/-1/2/3/4/5/,1/-1/2/3/4/5/,C/I/U/U/U/U/,156,164
carr-lane-1-ProfessorAstounding,dotogether-b,PUZZLE,1/-1/2/3/4/5/,1/-1/2/3/4/5/,C/I/U/U/U/U/,183,-1
carr-lane-1-ProfessorAstounding,dotogether-b,REFERENCE,1/-1/2/3/4/5/,1/-1/-1/-1/2/3/,C/I/U/U/U/U/,190,194
carr-lane-1-ProfessorAstounding,dotogether-b,REFERENCE,1/-1/-1/-1/2/3/,1/-1/-1/-1/2/3/,C/I/U/U/U/U/,218,-1
carr-lane-1-ProfessorAstounding,dotogether-b,PUZZLE,1/-1/-1/-1/2/3/,1/2/4/3/5/6/,C/I/U/U/U/U/,221,226
carr-lane-1-ProfessorAstounding,dotogether-b,PUZZLE,1/2/4/3/5/6/,1/2/4/3/5/6/,C/C/C/C/C/C/,251,260
carr-lane-1-ProfessorAstounding,dotogether-b,END,"    this.troll.say(Ahhhhhh) /
    do together / {
      this.troll.sneeze and raise arms() /
      this.boat.move(TypeExpression.BACKWARD, 5.0) /
    }
    this.manatee.move(TypeExpression.UP, 0.5) /
    this.manatee.say(Bless you!) /",6,6,0,264
carr-lane-1-ProfessorAstounding,dotogether-o,PUZZLE,4/-1/1/2/5/3/,4/-1/1/2/5/3/,I/U/U/U/U/U/,52,-1
carr-lane-1-ProfessorAstounding,dotogether-o,PUZZLE,4/-1/1/2/5/3/,5/1/3/2/6/4/,I/U/U/U/U/U/,66,72
carr-lane-1-ProfessorAstounding,dotogether-o,REFERENCE,5/1/3/2/6/4/,5/1/3/2/6/4/,I/U/U/U/U/U/,82,-1
carr-lane-1-ProfessorAstounding,dotogether-o,PUZZLE,5/1/3/2/6/4/,5/1/3/2/6/4/,I/U/U/U/U/U/,93,-1
carr-lane-1-ProfessorAstounding,dotogether-o,REFERENCE,5/1/3/2/6/4/,5/1/2/3/6/4/,I/U/U/U/U/U/,101,103
carr-lane-1-ProfessorAstounding,dotogether-o,PUZZLE,5/1/2/3/6/4/,4/-1/1/2/5/3/,I/U/U/U/U/U/,109,116
carr-lane-1-ProfessorAstounding,dotogether-o,PUZZLE,4/-1/1/2/5/3/,5/1/3/2/6/4/,I/U/U/U/U/U/,129,136
carr-lane-1-ProfessorAstounding,dotogether-o,PUZZLE,5/1/3/2/6/4/,5/1/2/3/6/4/,I/U/U/U/U/U/,146,151
carr-lane-1-ProfessorAstounding,dotogether-o,PUZZLE,5/1/2/3/6/4/,4/-1/1/2/5/3/,I/U/U/U/U/U/,155,159
carr-lane-1-ProfessorAstounding,dotogether-o,PUZZLE,4/-1/1/2/5/3/,4/-1/1/2/5/3/,I/U/U/U/U/U/,170,177
carr-lane-1-ProfessorAstounding,dotogether-o,REFERENCE,4/-1/1/2/5/3/,1/-1/2/3/5/4/,I/U/U/U/U/U/,186,189
carr-lane-1-ProfessorAstounding,dotogether-o,PUZZLE,1/-1/2/3/5/4/,2/1/3/4/6/5/,C/I/U/U/U/U/,197,202
carr-lane-1-ProfessorAstounding,dotogether-o,PUZZLE,2/1/3/4/6/5/,1/-1/-1/2/4/3/,I/U/U/U/U/U/,214,217
carr-lane-1-ProfessorAstounding,dotogether-o,PUZZLE,1/-1/-1/2/4/3/,1/-1/2/3/5/4/,C/I/U/U/U/U/,226,231
carr-lane-1-ProfessorAstounding,dotogether-o,PUZZLE,1/-1/2/3/5/4/,1/2/3/4/6/5/,C/I/U/U/U/U/,237,241
carr-lane-1-ProfessorAstounding,dotogether-o,PUZZLE,1/2/3/4/6/5/,1/2/3/4/6/5/,C/C/C/C/I/U/,252,-1
carr-lane-1-ProfessorAstounding,dotogether-o,PUZZLE,1/2/3/4/6/5/,1/2/3/4/6/5/,C/C/C/C/I/U/,262,271
carr-lane-1-ProfessorAstounding,dotogether-o,PUZZLE,1/2/3/4/6/5/,1/2/3/4/5/6/,C/C/C/C/I/U/,275,284
carr-lane-1-ProfessorAstounding,dotogether-o,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/I/I/,290,295
carr-lane-1-ProfessorAstounding,dotogether-o,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,303,312
carr-lane-1-ProfessorAstounding,dotogether-o,END,"    this.hare.getRightShoulder().turn(TypeExpression.RIGHT, 0.125) /
    do together / {
      this.hare.hit(this.volleyball) /
      this.volleyball.fly away() /
    }
    this.hare.getHead().turn(TypeExpression.BACKWARD, 0.125) /
    this.hare.say(Aww man..) /",6,6,0,316
carr-lane-1-ProfessorAstounding,dotogether-m,PUZZLE,1/2/4/3/5/6/8/7/,1/2/4/3/5/6/8/7/,C/C/C/C/C/C/C/C/,64,75
