codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
carr-lane-1-SkeletonPrism,sequential-g,REFERENCE,1/2/3/-1/-1/-1/-1/,1/2/3/-1/-1/-1/-1/,C/C/C/I/U/U/U/,50,63
carr-lane-1-SkeletonPrism,sequential-g,REFERENCE,1/2/3/-1/-1/-1/-1/,1/2/3/4/5/-1/-1/,C/C/C/I/U/U/U/,71,79
carr-lane-1-SkeletonPrism,sequential-g,REFERENCE,1/2/3/4/5/-1/-1/,1/2/3/4/5/6/7/,C/C/C/C/C/I/U/,93,106
carr-lane-1-SkeletonPrism,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,114,131
carr-lane-1-SkeletonPrism,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",1,7,0,137
carr-lane-1-SkeletonPrism,sequential-d,PUZZLE,-1/-1/1/-1/-1/-1/-1/-1/,1/3/4/2/-1/-1/6/5/,I/U/U/U/U/U/U/U/,39,43
carr-lane-1-SkeletonPrism,sequential-d,PUZZLE,1/3/4/2/-1/-1/6/5/,1/2/3/-1/-1/-1/5/4/,C/I/U/U/U/U/U/U/,95,103
carr-lane-1-SkeletonPrism,sequential-d,PUZZLE,1/2/3/-1/-1/-1/5/4/,1/2/3/4/-1/-1/5/-1/,C/C/C/I/U/U/U/U/,108,121
carr-lane-1-SkeletonPrism,sequential-d,PUZZLE,1/2/3/4/-1/-1/5/-1/,1/2/3/4/-1/-1/5/-1/,C/C/C/C/I/U/U/U/,131,145
carr-lane-1-SkeletonPrism,sequential-d,REFERENCE,1/2/3/4/-1/-1/5/-1/,1/2/3/4/5/6/7/8/,C/C/C/C/I/U/U/U/,147,161
carr-lane-1-SkeletonPrism,sequential-d,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,180,197
carr-lane-1-SkeletonPrism,sequential-d,END,"    this.monkey.walk(1.5) /
    this.monkey.jump and spin() /
    this.monkey.walk up to(this.treasureChest) /
    this.monkey.raise arms() /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.0125) /
    this.monkey.bang on(this.treasureChest) /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
    this.treasureMonkey.raise arms() /",3,8,0,206
carr-lane-1-SkeletonPrism,sequential-c,REFERENCE,-1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/,20,23
carr-lane-1-SkeletonPrism,sequential-c,PUZZLE,1/-1/-1/-1/-1/-1/,1/2/-1/-1/-1/-1/,C/I/U/U/U/U/,30,33
carr-lane-1-SkeletonPrism,sequential-c,PUZZLE,1/2/-1/-1/-1/-1/,1/2/-1/-1/-1/-1/,C/C/I/U/U/U/,39,45
carr-lane-1-SkeletonPrism,sequential-c,REFERENCE,1/2/-1/-1/-1/-1/,1/2/3/-1/-1/-1/,C/C/I/U/U/U/,46,55
carr-lane-1-SkeletonPrism,sequential-c,REFERENCE,1/2/3/-1/-1/-1/,1/2/3/-1/-1/-1/,C/C/C/I/U/U/,70,81
carr-lane-1-SkeletonPrism,sequential-c,PUZZLE,1/2/3/-1/-1/-1/,1/2/3/-1/4/-1/,C/C/C/I/U/U/,83,90
carr-lane-1-SkeletonPrism,sequential-c,PUZZLE,1/2/3/-1/4/-1/,1/2/3/4/5/-1/,C/C/C/I/U/U/,94,101
carr-lane-1-SkeletonPrism,sequential-c,PUZZLE,1/2/3/4/5/-1/,1/2/3/4/5/6/,C/C/C/C/C/I/,111,114
carr-lane-1-SkeletonPrism,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,118,129
carr-lane-1-SkeletonPrism,sequential-c,END,"    this.hare.swing arm() /
    this.volleyball.move(TypeExpression.DOWN, 0.6) /
    this.hare.look down() /
    this.hare.getRightHip().turn(TypeExpression.FORWARD, 0.25) /
    this.hare.kick(this.volleyball) /
    this.net.turn(TypeExpression.BACKWARD, 0.25) /",1,6,0,134
carr-lane-1-SkeletonPrism,dotogether-a,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/,1/2/-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/U/,7,11
carr-lane-1-SkeletonPrism,dotogether-a,PUZZLE,1/2/-1/-1/-1/-1/-1/-1/,1/2/-1/-1/-1/-1/-1/-1/,C/C/I/U/U/U/U/U/,23,26
carr-lane-1-SkeletonPrism,dotogether-a,REFERENCE,1/2/-1/-1/-1/-1/-1/-1/,1/2/3/4/5/6/7/8/,C/C/I/U/U/U/U/U/,28,33
carr-lane-1-SkeletonPrism,dotogether-a,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,68,77
carr-lane-1-SkeletonPrism,dotogether-a,END,"    this.penguin.say(Everyone, I'd like you to meet Derek.) /
    this.DerekTheYeti.say(Hello.) /
    this.DerekTheYeti.moveToward(this.babyPenguin2, 0.5) /
    do together / {
      this.babyPenguin1.jump back() /
      this.babyPenguin2.jump back() /
      this.babyPenguin3.jump back() /
    }
    this.penguin.say(He's harmless and very kind!) /",1,8,0,80
carr-lane-1-SkeletonPrism,dotogether-m,PUZZLE,1/6/3/4/5/2/7/8/,1/6/3/4/5/2/7/8/,C/C/C/C/C/C/C/C/,53,63
carr-lane-1-SkeletonPrism,dotogether-m,END,"    this.hare.say(1...2...3...JUMP!) /
    do together / {
      this.pig.jump() /
      this.hare.jump() /
    }
    this.caiman.snap jaws() /
    do together / {
      this.pig.say(UH OH!) /
      this.hare.say(UH OH!) /
    }",1,8,0,66
carr-lane-1-SkeletonPrism,dotogether-b,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,41,48
carr-lane-1-SkeletonPrism,dotogether-b,END,"    this.troll.say(Ahhhhhh) /
    do together / {
      this.troll.sneeze and raise arms() /
      this.boat.move(TypeExpression.BACKWARD, 5.0) /
    }
    this.manatee.move(TypeExpression.UP, 0.5) /
    this.manatee.say(Bless you!) /",1,6,0,51
