codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
carr-lane-1-StormMask,sequential-d,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/U/,15,27
carr-lane-1-StormMask,sequential-d,REFERENCE,1/-1/-1/-1/-1/-1/-1/-1/,1/2/-1/-1/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/,51,66
carr-lane-1-StormMask,sequential-d,REFERENCE,1/2/-1/-1/-1/-1/-1/-1/,1/2/-1/-1/-1/-1/-1/-1/,C/C/I/U/U/U/U/U/,87,98
carr-lane-1-StormMask,sequential-d,PUZZLE,1/2/-1/-1/-1/-1/-1/-1/,1/2/-1/-1/-1/-1/-1/-1/,C/C/I/U/U/U/U/U/,118,128
carr-lane-1-StormMask,sequential-d,REFERENCE,1/2/-1/-1/-1/-1/-1/-1/,1/2/3/-1/-1/-1/-1/-1/,C/C/I/U/U/U/U/U/,132,144
carr-lane-1-StormMask,sequential-d,PUZZLE,1/2/3/-1/-1/-1/-1/-1/,1/2/3/-1/-1/-1/-1/-1/,C/C/C/I/U/U/U/U/,161,171
carr-lane-1-StormMask,sequential-d,REFERENCE,1/2/3/-1/-1/-1/-1/-1/,1/2/3/-1/-1/4/-1/-1/,C/C/C/I/U/U/U/U/,178,189
carr-lane-1-StormMask,sequential-d,PUZZLE,1/2/3/-1/-1/4/-1/-1/,1/2/3/-1/4/-1/-1/-1/,C/C/C/I/U/U/U/U/,201,213
carr-lane-1-StormMask,sequential-d,PUZZLE,1/2/3/-1/4/-1/-1/-1/,1/2/3/-1/-1/-1/4/-1/,C/C/C/I/U/U/U/U/,237,251
carr-lane-1-StormMask,sequential-d,PUZZLE,1/2/3/-1/-1/-1/4/-1/,1/2/3/-1/-1/-1/-1/4/,C/C/C/I/U/U/U/U/,280,291
carr-lane-1-StormMask,sequential-d,PUZZLE,1/2/3/-1/-1/-1/-1/4/,1/2/3/4/-1/-1/-1/5/,C/C/C/I/U/U/U/U/,302,313
carr-lane-1-StormMask,sequential-d,PUZZLE,1/2/3/4/-1/-1/-1/5/,1/2/3/4/-1/-1/-1/5/,C/C/C/C/I/U/U/U/,331,-1
carr-lane-1-StormMask,sequential-d,REFERENCE,1/2/3/4/-1/-1/-1/5/,1/2/3/-1/-1/-1/4/-1/,C/C/C/C/I/U/U/U/,346,362
carr-lane-1-StormMask,sequential-d,PUZZLE,1/2/3/-1/-1/-1/4/-1/,1/2/3/-1/4/-1/-1/-1/,C/C/C/I/U/U/U/U/,413,425
carr-lane-1-StormMask,sequential-d,PUZZLE,1/2/3/-1/4/-1/-1/-1/,1/2/3/-1/4/-1/-1/-1/,C/C/C/I/U/U/U/U/,440,-1
carr-lane-1-StormMask,sequential-d,REFERENCE,1/2/3/-1/4/-1/-1/-1/,1/2/3/6/8/5/4/7/,C/C/C/I/U/U/U/U/,455,470
carr-lane-1-StormMask,sequential-d,PUZZLE,1/2/3/6/8/5/4/7/,1/2/3/6/8/5/4/7/,C/C/C/I/U/U/U/U/,498,-1
carr-lane-1-StormMask,sequential-d,PUZZLE,1/2/3/6/8/5/4/7/,1/2/3/5/8/6/4/7/,C/C/C/I/U/U/U/U/,520,537
carr-lane-1-StormMask,sequential-d,PUZZLE,1/2/3/5/8/6/4/7/,1/2/3/4/8/5/7/6/,C/C/C/I/U/U/U/U/,545,564
carr-lane-1-StormMask,sequential-d,PUZZLE,1/2/3/4/8/5/7/6/,1/2/3/4/8/6/5/7/,C/C/C/C/I/U/U/U/,577,595
carr-lane-1-StormMask,sequential-d,PUZZLE,1/2/3/4/8/6/5/7/,1/2/3/4/5/6/8/7/,C/C/C/C/I/U/U/U/,605,618
carr-lane-1-StormMask,sequential-d,PUZZLE,1/2/3/4/5/6/8/7/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/I/U/,631,649
carr-lane-1-StormMask,sequential-d,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,655,673
carr-lane-1-StormMask,sequential-d,END,"    this.monkey.walk(1.5) /
    this.monkey.jump and spin() /
    this.monkey.walk up to(this.treasureChest) /
    this.monkey.raise arms() /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.0125) /
    this.monkey.bang on(this.treasureChest) /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
    this.treasureMonkey.raise arms() /",7,8,0,682
carr-lane-1-StormMask,sequential-c,REFERENCE,-1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/,9,22
carr-lane-1-StormMask,sequential-c,PUZZLE,1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/,C/I/U/U/U/U/,40,45
carr-lane-1-StormMask,sequential-c,REFERENCE,1/-1/-1/-1/-1/-1/,1/2/3/4/5/6/,C/I/U/U/U/U/,49,56
carr-lane-1-StormMask,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,96,108
carr-lane-1-StormMask,sequential-c,END,"    this.hare.swing arm() /
    this.volleyball.move(TypeExpression.DOWN, 0.6) /
    this.hare.look down() /
    this.hare.getRightHip().turn(TypeExpression.FORWARD, 0.25) /
    this.hare.kick(this.volleyball) /
    this.net.turn(TypeExpression.BACKWARD, 0.25) /",3,6,0,113
carr-lane-1-StormMask,sequential-g,REFERENCE,-1/-1/-1/-1/-1/-1/-1/,-1/1/2/3/4/-1/-1/,I/U/U/U/U/U/U/,8,17
carr-lane-1-StormMask,sequential-g,REFERENCE,-1/1/2/3/4/-1/-1/,1/2/3/4/5/-1/-1/,I/U/U/U/U/U/U/,80,86
carr-lane-1-StormMask,sequential-g,REFERENCE,1/2/3/4/5/-1/-1/,1/2/3/4/5/6/7/,C/C/C/C/C/I/U/,94,107
