codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
carr-lane-1-TygaJazzy,sequential-c,PUZZLE,-1/-1/-1/-1/-1/-1/,-1/1/-1/-1/-1/-1/,I/U/U/U/U/U/,29,34
carr-lane-1-TygaJazzy,sequential-c,PUZZLE,-1/1/-1/-1/-1/-1/,-1/1/-1/-1/-1/-1/,I/U/U/U/U/U/,65,-1
carr-lane-1-TygaJazzy,sequential-c,REFERENCE,-1/1/-1/-1/-1/-1/,-1/-1/-1/1/-1/-1/,I/U/U/U/U/U/,72,81
carr-lane-1-TygaJazzy,sequential-c,PUZZLE,-1/-1/-1/1/-1/-1/,-1/-1/-1/1/-1/-1/,I/U/U/U/U/U/,95,-1
carr-lane-1-TygaJazzy,sequential-c,PUZZLE,-1/-1/-1/1/-1/-1/,-1/-1/-1/1/-1/-1/,I/U/U/U/U/U/,100,-1
carr-lane-1-TygaJazzy,sequential-c,REFERENCE,-1/-1/-1/1/-1/-1/,-1/-1/-1/1/-1/-1/,I/U/U/U/U/U/,106,-1
carr-lane-1-TygaJazzy,sequential-c,PUZZLE,-1/-1/-1/1/-1/-1/,-1/-1/-1/1/-1/-1/,I/U/U/U/U/U/,116,-1
carr-lane-1-TygaJazzy,sequential-c,REFERENCE,-1/-1/-1/1/-1/-1/,-1/-1/-1/1/-1/-1/,I/U/U/U/U/U/,121,-1
carr-lane-1-TygaJazzy,sequential-c,PUZZLE,-1/-1/-1/1/-1/-1/,-1/-1/-1/-1/1/-1/,I/U/U/U/U/U/,122,132
carr-lane-1-TygaJazzy,sequential-c,REFERENCE,-1/-1/-1/-1/1/-1/,2/-1/1/-1/-1/-1/,I/U/U/U/U/U/,159,168
carr-lane-1-TygaJazzy,sequential-c,REFERENCE,2/-1/1/-1/-1/-1/,1/2/3/-1/4/-1/,I/U/U/U/U/U/,193,204
carr-lane-1-TygaJazzy,sequential-c,PUZZLE,1/2/3/-1/4/-1/,1/2/3/-1/-1/4/,C/C/C/I/U/U/,251,264
carr-lane-1-TygaJazzy,sequential-c,PUZZLE,1/2/3/-1/-1/4/,1/2/3/4/-1/-1/,C/C/C/I/U/U/,283,292
carr-lane-1-TygaJazzy,sequential-c,PUZZLE,1/2/3/4/-1/-1/,1/2/3/4/5/-1/,C/C/C/C/I/U/,305,315
carr-lane-1-TygaJazzy,sequential-c,PUZZLE,1/2/3/4/5/-1/,1/2/3/4/5/6/,C/C/C/C/C/I/,322,335
carr-lane-1-TygaJazzy,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,340,353
carr-lane-1-TygaJazzy,sequential-c,END,"    this.hare.swing arm() /
    this.volleyball.move(TypeExpression.DOWN, 0.6) /
    this.hare.look down() /
    this.hare.getRightHip().turn(TypeExpression.FORWARD, 0.25) /
    this.hare.kick(this.volleyball) /
    this.net.turn(TypeExpression.BACKWARD, 0.25) /",3,6,0,369
carr-lane-1-TygaJazzy,sequential-g,PUZZLE,-1/-1/1/2/3/-1/-1/,-1/-1/1/2/3/-1/-1/,I/U/U/U/U/U/U/,55,-1
carr-lane-1-TygaJazzy,sequential-g,REFERENCE,-1/-1/1/2/3/-1/-1/,1/5/2/3/4/7/6/,I/U/U/U/U/U/U/,57,63
carr-lane-1-TygaJazzy,sequential-g,PUZZLE,1/5/2/3/4/7/6/,1/5/2/3/4/7/6/,C/I/U/U/U/U/U/,115,-1
carr-lane-1-TygaJazzy,sequential-g,REFERENCE,1/5/2/3/4/7/6/,1/5/3/2/4/7/6/,C/I/U/U/U/U/U/,130,139
carr-lane-1-TygaJazzy,sequential-g,PUZZLE,1/5/3/2/4/7/6/,1/6/4/2/5/7/3/,C/I/U/U/U/U/U/,149,157
carr-lane-1-TygaJazzy,sequential-g,PUZZLE,1/6/4/2/5/7/3/,1/6/3/2/5/7/4/,C/I/U/U/U/U/U/,176,184
carr-lane-1-TygaJazzy,sequential-g,PUZZLE,1/6/3/2/5/7/4/,1/6/2/3/4/7/5/,C/I/U/U/U/U/U/,195,202
carr-lane-1-TygaJazzy,sequential-g,PUZZLE,1/6/2/3/4/7/5/,1/6/2/4/3/7/5/,C/I/U/U/U/U/U/,214,222
carr-lane-1-TygaJazzy,sequential-g,PUZZLE,1/6/2/4/3/7/5/,1/6/2/4/3/7/5/,C/I/U/U/U/U/U/,229,-1
carr-lane-1-TygaJazzy,sequential-g,REFERENCE,1/6/2/4/3/7/5/,1/6/3/2/4/7/5/,C/I/U/U/U/U/U/,245,255
carr-lane-1-TygaJazzy,sequential-g,PUZZLE,1/6/3/2/4/7/5/,1/-1/-1/-1/-1/-1/2/,C/I/U/U/U/U/U/,275,289
carr-lane-1-TygaJazzy,sequential-g,PUZZLE,1/-1/-1/-1/-1/-1/2/,1/-1/-1/2/-1/-1/-1/,C/I/U/U/U/U/U/,318,324
carr-lane-1-TygaJazzy,sequential-g,PUZZLE,1/-1/-1/2/-1/-1/-1/,1/-1/2/-1/-1/-1/-1/,C/I/U/U/U/U/U/,348,354
carr-lane-1-TygaJazzy,sequential-g,PUZZLE,1/-1/2/-1/-1/-1/-1/,1/-1/3/2/-1/-1/-1/,C/I/U/U/U/U/U/,362,368
carr-lane-1-TygaJazzy,sequential-g,PUZZLE,1/-1/3/2/-1/-1/-1/,1/-1/3/2/-1/-1/-1/,C/I/U/U/U/U/U/,389,-1
carr-lane-1-TygaJazzy,sequential-g,REFERENCE,1/-1/3/2/-1/-1/-1/,1/2/3/4/5/7/6/,C/I/U/U/U/U/U/,397,404
carr-lane-1-TygaJazzy,sequential-g,PUZZLE,1/2/3/4/5/7/6/,1/2/3/4/5/7/6/,C/C/C/C/C/I/U/,437,454
carr-lane-1-TygaJazzy,sequential-g,PUZZLE,1/2/3/4/5/7/6/,1/2/3/4/5/6/7/,C/C/C/C/C/I/U/,462,477
carr-lane-1-TygaJazzy,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,482,498
carr-lane-1-TygaJazzy,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",2,7,0,503
carr-lane-1-TygaJazzy,sequential-d,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/,1/2/-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/U/,11,16
carr-lane-1-TygaJazzy,sequential-d,PUZZLE,1/2/-1/-1/-1/-1/-1/-1/,1/2/-1/-1/-1/-1/-1/-1/,C/C/I/U/U/U/U/U/,47,55
carr-lane-1-TygaJazzy,sequential-d,REFERENCE,1/2/-1/-1/-1/-1/-1/-1/,1/2/3/4/-1/-1/-1/-1/,C/C/I/U/U/U/U/U/,60,69
carr-lane-1-TygaJazzy,sequential-d,PUZZLE,1/2/3/4/-1/-1/-1/-1/,1/2/3/4/-1/-1/-1/-1/,C/C/C/C/I/U/U/U/,101,-1
carr-lane-1-TygaJazzy,sequential-d,REFERENCE,1/2/3/4/-1/-1/-1/-1/,1/2/3/4/7/5/6/8/,C/C/C/C/I/U/U/U/,116,130
carr-lane-1-TygaJazzy,sequential-d,PUZZLE,1/2/3/4/7/5/6/8/,1/2/3/5/7/4/6/8/,C/C/C/C/I/U/U/U/,161,174
carr-lane-1-TygaJazzy,sequential-d,PUZZLE,1/2/3/5/7/4/6/8/,1/2/3/4/7/5/6/8/,C/C/C/I/U/U/U/U/,179,197
carr-lane-1-TygaJazzy,sequential-d,PUZZLE,1/2/3/4/7/5/6/8/,1/2/3/7/6/4/5/8/,C/C/C/C/I/U/U/U/,210,224
carr-lane-1-TygaJazzy,sequential-d,PUZZLE,1/2/3/7/6/4/5/8/,1/2/3/7/5/6/4/8/,C/C/C/I/U/U/U/U/,236,248
carr-lane-1-TygaJazzy,sequential-d,PUZZLE,1/2/3/7/5/6/4/8/,1/2/3/5/-1/4/-1/6/,C/C/C/I/U/U/U/U/,258,270
carr-lane-1-TygaJazzy,sequential-d,REFERENCE,1/2/3/5/-1/4/-1/6/,1/2/3/4/6/5/7/8/,C/C/C/I/U/U/U/U/,282,294
carr-lane-1-TygaJazzy,sequential-d,PUZZLE,1/2/3/4/6/5/7/8/,1/2/3/4/7/5/6/8/,C/C/C/C/I/U/U/U/,319,336
carr-lane-1-TygaJazzy,sequential-d,PUZZLE,1/2/3/4/7/5/6/8/,1/2/3/4/7/6/5/8/,C/C/C/C/I/U/U/U/,346,359
carr-lane-1-TygaJazzy,sequential-d,PUZZLE,1/2/3/4/7/6/5/8/,1/2/3/4/6/-1/5/-1/,C/C/C/C/I/U/U/U/,369,383
carr-lane-1-TygaJazzy,sequential-d,PUZZLE,1/2/3/4/6/-1/5/-1/,1/2/3/4/-1/5/-1/-1/,C/C/C/C/I/U/U/U/,398,411
carr-lane-1-TygaJazzy,sequential-d,PUZZLE,1/2/3/4/-1/5/-1/-1/,1/2/3/4/5/-1/-1/-1/,C/C/C/C/I/U/U/U/,426,444
carr-lane-1-TygaJazzy,sequential-d,PUZZLE,1/2/3/4/5/-1/-1/-1/,1/2/3/4/5/6/7/8/,C/C/C/C/C/I/U/U/,455,470
carr-lane-1-TygaJazzy,sequential-d,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,483,496
carr-lane-1-TygaJazzy,sequential-d,END,"    this.monkey.walk(1.5) /
    this.monkey.jump and spin() /
    this.monkey.walk up to(this.treasureChest) /
    this.monkey.raise arms() /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.0125) /
    this.monkey.bang on(this.treasureChest) /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
    this.treasureMonkey.raise arms() /",5,8,0,500
carr-lane-1-TygaJazzy,dotogether-b,REFERENCE,1/-1/3/2/-1/-1/,1/-1/2/3/-1/-1/,C/I/U/U/U/U/,52,57
carr-lane-1-TygaJazzy,dotogether-b,PUZZLE,1/-1/2/3/-1/-1/,1/-1/2/3/4/5/,C/I/U/U/U/U/,77,81
carr-lane-1-TygaJazzy,dotogether-b,PUZZLE,1/-1/2/3/4/5/,1/-1/3/2/4/5/,C/I/U/U/U/U/,98,104
carr-lane-1-TygaJazzy,dotogether-b,PUZZLE,1/-1/3/2/4/5/,1/-1/3/2/4/5/,C/I/U/U/U/U/,108,-1
carr-lane-1-TygaJazzy,dotogether-b,REFERENCE,1/-1/3/2/4/5/,1/-1/3/2/-1/-1/,C/I/U/U/U/U/,123,129
carr-lane-1-TygaJazzy,dotogether-b,PUZZLE,1/-1/3/2/-1/-1/,1/-1/2/3/-1/-1/,C/I/U/U/U/U/,145,155
carr-lane-1-TygaJazzy,dotogether-b,PUZZLE,1/-1/2/3/-1/-1/,1/-1/-1/2/-1/-1/,C/I/U/U/U/U/,163,168
carr-lane-1-TygaJazzy,dotogether-b,PUZZLE,1/-1/-1/2/-1/-1/,1/-1/-1/-1/2/-1/,C/I/U/U/U/U/,175,186
carr-lane-1-TygaJazzy,dotogether-b,PUZZLE,1/-1/-1/-1/2/-1/,1/-1/3/2/-1/-1/,C/I/U/U/U/U/,196,202
carr-lane-1-TygaJazzy,dotogether-b,PUZZLE,1/-1/3/2/-1/-1/,1/-1/-1/2/-1/-1/,C/I/U/U/U/U/,225,231
carr-lane-1-TygaJazzy,dotogether-b,PUZZLE,1/-1/-1/2/-1/-1/,1/-1/2/-1/-1/-1/,C/I/U/U/U/U/,240,247
carr-lane-1-TygaJazzy,dotogether-b,PUZZLE,1/-1/2/-1/-1/-1/,1/-1/-1/2/3/-1/,C/I/U/U/U/U/,255,260
carr-lane-1-TygaJazzy,dotogether-b,PUZZLE,1/-1/-1/2/3/-1/,1/-1/-1/2/-1/-1/,C/I/U/U/U/U/,271,278
carr-lane-1-TygaJazzy,dotogether-b,REFERENCE,1/-1/-1/2/-1/-1/,1/2/-1/-1/-1/-1/,C/I/U/U/U/U/,311,318
carr-lane-1-TygaJazzy,dotogether-b,PUZZLE,1/2/-1/-1/-1/-1/,1/2/3/-1/-1/-1/,C/C/I/I/U/U/,328,331
