codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
carr-lane-1-WolfWoods,sequential-g,PUZZLE,1/2/3/4/5/7/6/,1/2/3/4/5/6/7/,C/C/C/C/C/I/U/,67,81
carr-lane-1-WolfWoods,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,93,107
carr-lane-1-WolfWoods,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",2,7,0,126
carr-lane-1-WolfWoods,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,48,60
carr-lane-1-WolfWoods,sequential-c,END,"    this.hare.swing arm() /
    this.volleyball.move(TypeExpression.DOWN, 0.6) /
    this.hare.look down() /
    this.hare.getRightHip().turn(TypeExpression.FORWARD, 0.25) /
    this.hare.kick(this.volleyball) /
    this.net.turn(TypeExpression.BACKWARD, 0.25) /",1,6,0,70
carr-lane-1-WolfWoods,dotogether-a,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,44,53
carr-lane-1-WolfWoods,dotogether-a,END,"    this.penguin.say(Everyone, I'd like you to meet Derek.) /
    this.DerekTheYeti.say(Hello.) /
    this.DerekTheYeti.moveToward(this.babyPenguin2, 0.5) /
    do together / {
      this.babyPenguin1.jump back() /
      this.babyPenguin2.jump back() /
      this.babyPenguin3.jump back() /
    }
    this.penguin.say(He's harmless and very kind!) /",1,8,0,63
carr-lane-1-WolfWoods,dotogether-b,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,52,63
carr-lane-1-WolfWoods,dotogether-b,END,"    this.troll.say(Ahhhhhh) /
    do together / {
      this.troll.sneeze and raise arms() /
      this.boat.move(TypeExpression.BACKWARD, 5.0) /
    }
    this.manatee.move(TypeExpression.UP, 0.5) /
    this.manatee.say(Bless you!) /",2,6,0,70
carr-lane-1-WolfWoods,dotogether-m,PUZZLE,1/5/3/4/8/2/7/6/,1/5/3/4/8/2/7/6/,C/C/C/C/I/U/U/U/,51,-1
carr-lane-1-WolfWoods,dotogether-m,PUZZLE,1/5/3/4/8/2/7/6/,1/5/3/4/8/2/7/6/,C/C/C/C/I/U/U/U/,61,-1
carr-lane-1-WolfWoods,dotogether-m,REFERENCE,1/5/3/4/8/2/7/6/,1/6/3/4/5/2/8/7/,C/C/C/C/I/U/U/U/,75,85
carr-lane-1-WolfWoods,dotogether-m,PUZZLE,1/6/3/4/5/2/8/7/,1/6/3/4/5/2/8/7/,C/C/C/C/C/C/C/C/,90,100
carr-lane-1-WolfWoods,dotogether-m,END,"    this.hare.say(1...2...3...JUMP!) /
    do together / {
      this.pig.jump() /
      this.hare.jump() /
    }
    this.caiman.snap jaws() /
    do together / {
      this.pig.say(UH OH!) /
      this.hare.say(UH OH!) /
    }",2,8,0,108
carr-lane-1-WolfWoods,dotogether-n,REFERENCE,1/-1/-1/-1/-1/-1/,1/2/3/5/4/6/,C/I/U/U/U/U/,15,27
carr-lane-1-WolfWoods,dotogether-n,PUZZLE,1/2/3/5/4/6/,1/2/3/5/4/6/,C/C/C/C/C/C/,49,58
carr-lane-1-WolfWoods,dotogether-n,END,"    this.playingCard.say(Alice was just here I promise!!) /
    this.queenOfHearts.say(We BETTER find her!) /
    do together / {
      this.queenOfHearts.walk forward() /
      this.playingCard.walk forward() /
    }
    this.alice.sneak away() /",1,6,0,66
carr-lane-1-WolfWoods,dotogether-o,REFERENCE,-1/-1/-1/-1/-1/-1/,1/2/3/4/5/6/,I/U/U/U/U/U/,19,30
carr-lane-1-WolfWoods,dotogether-o,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,61,70
carr-lane-1-WolfWoods,dotogether-o,END,"    this.hare.getRightShoulder().turn(TypeExpression.RIGHT, 0.125) /
    do together / {
      this.hare.hit(this.volleyball) /
      this.volleyball.fly away() /
    }
    this.hare.getHead().turn(TypeExpression.BACKWARD, 0.125) /
    this.hare.say(Aww man..) /",3,6,0,79
carr-lane-1-WolfWoods,sequential-d,PUZZLE,1/2/3/8/7/6/5/4/,1/2/3/4/7/6/5/8/,C/C/C/I/U/U/U/U/,51,72
carr-lane-1-WolfWoods,sequential-d,PUZZLE,1/2/3/4/7/6/5/8/,1/2/3/4/5/6/7/8/,C/C/C/C/I/U/U/U/,83,97
carr-lane-1-WolfWoods,sequential-d,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,109,121
carr-lane-1-WolfWoods,sequential-d,END,"    this.monkey.walk(1.5) /
    this.monkey.jump and spin() /
    this.monkey.walk up to(this.treasureChest) /
    this.monkey.raise arms() /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.0125) /
    this.monkey.bang on(this.treasureChest) /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
    this.treasureMonkey.raise arms() /",4,8,0,130
carr-lane-1-WolfWoods,dotogether-c,PUZZLE,1/2/5/3/4/6/7/,1/2/5/4/3/6/7/,C/C/I/U/U/U/U/,60,69
carr-lane-1-WolfWoods,dotogether-c,PUZZLE,1/2/5/4/3/6/7/,1/2/5/4/3/6/7/,C/C/I/U/U/U/U/,73,82
carr-lane-1-WolfWoods,dotogether-c,REFERENCE,1/2/5/4/3/6/7/,1/2/3/5/4/6/7/,C/C/I/U/U/U/U/,91,99
carr-lane-1-WolfWoods,dotogether-c,PUZZLE,1/2/3/5/4/6/7/,1/2/3/5/4/6/7/,C/C/C/C/C/C/C/,113,119
carr-lane-1-WolfWoods,dotogether-c,END,"    this.Troll.say(What's for dinner?) /
    this.Witch.say(YOU!) /
    do together / {
      this.Troll.moveTo(this.Cauldron) /
      this.Troll.raise arms and scream() /
    }
    this.Troll.turn(TypeExpression.RIGHT, 8.0) /
    this.Troll.disappear() /",3,7,0,125
carr-lane-1-WolfWoods,dotogether-d,PUZZLE,1/5/3/4/2/6/8/7/,1/5/3/4/2/6/8/7/,C/C/C/C/C/C/C/C/,61,68
carr-lane-1-WolfWoods,dotogether-d,END,"    this.mandril.think(A treasure chest!) /
    do together / {
      this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
      this.treasureChest.say(Hello!) /
    }
    do together / {
      this.mandril.turn(TypeExpression.LEFT, 0.5) /
      this.mandril.walk(10.0) /
      this.mandril.say(Ahhhhhh!) /
    }",3,8,0,76
carr-lane-1-WolfWoods,dotogether-e,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/-1/,1/-1/4/3/2/-1/-1/-1/-1/,I/U/U/U/U/U/U/U/U/,13,25
carr-lane-1-WolfWoods,dotogether-e,REFERENCE,1/-1/4/3/2/-1/-1/-1/-1/,1/5/4/3/2/8/9/7/6/,C/C/C/C/I/U/U/U/U/,55,65
carr-lane-1-WolfWoods,dotogether-e,PUZZLE,1/5/4/3/2/8/9/7/6/,1/5/4/3/2/8/9/7/6/,C/C/C/C/C/C/C/C/I/,85,98
carr-lane-1-WolfWoods,dotogether-e,PUZZLE,1/5/4/3/2/8/9/7/6/,1/5/4/3/2/8/9/7/6/,C/C/C/C/C/C/C/C/C/,103,109
carr-lane-1-WolfWoods,dotogether-e,END,"    this.bush.rustle() /
    do together / {
      this.Witch.getHead().turn(TypeExpression.RIGHT, 0.125) /
      this.Witch.say(What was that?) /
    }
    do together / {
      this.Troll.legs shake() /
      this.Troll.bend over() /
      this.Troll.turn(TypeExpression.RIGHT, 0.5) /
      this.Troll.think(This place is scary..) /
    }",2,9,0,113
carr-lane-1-WolfWoods,dotogether-l,PUZZLE,1/2/3/4/6/5/7/,1/2/3/4/6/5/7/,C/C/C/C/C/C/C/,47,56
carr-lane-1-WolfWoods,dotogether-l,END,"    this.cheshireCat.say(Okay Alice, your turn now.) /
    this.alice.move(TypeExpression.BACKWARD, 1.0) /
    do together / {
      this.alice.move legs() /
      this.alice.move(TypeExpression.UP, 1.0) /
      this.alice.moveToward(this.cheshireCat, 3.0) /
    }
    this.alice.say(I'm stuck!) /",2,7,0,59
carr-lane-1-WolfWoods,dotogether-i,REFERENCE,1/5/3/4/-1/2/7/6/-1/-1/,1/8/3/4/5/2/6/7/9/10/,C/C/C/C/I/U/U/U/U/U/,55,64
carr-lane-1-WolfWoods,dotogether-i,PUZZLE,1/8/3/4/5/2/6/7/9/10/,1/8/3/4/5/2/7/6/9/10/,C/C/C/C/C/I/U/U/U/U/,93,103
carr-lane-1-WolfWoods,dotogether-i,PUZZLE,1/8/3/4/5/2/7/6/9/10/,1/6/3/4/5/2/8/7/9/10/,C/C/C/C/C/I/U/U/U/U/,110,120
carr-lane-1-WolfWoods,dotogether-i,PUZZLE,1/6/3/4/5/2/8/7/9/10/,1/6/3/4/5/2/8/7/9/10/,C/C/C/C/C/C/C/C/I/I/,138,147
carr-lane-1-WolfWoods,dotogether-i,PUZZLE,1/6/3/4/5/2/8/7/9/10/,1/6/3/4/5/2/8/7/9/10/,C/C/C/C/C/C/C/C/C/C/,153,160
carr-lane-1-WolfWoods,dotogether-i,END,"    this.tiny yeti.turnToFace(this.big yeti) /
    do together / {
      this.tiny yeti.nod() /
      this.big yeti.nod() /
    }
    this.tiny yeti.move(TypeExpression.BACKWARD, 0.5) /
    do together / {
      this.tiny yeti.jump to hammer() /
      this.big yeti.prepare to swing hammer() /
    }
    this.big yeti.power swing() /
    this.tiny yeti.fly away() /",4,10,0,164
carr-lane-1-WolfWoods,dotogether-f,REFERENCE,1/-1/-1/-1/-1/-1/-1/-1/,1/2/4/3/6/5/7/8/,C/I/U/U/U/U/U/U/,20,29
carr-lane-1-WolfWoods,dotogether-f,PUZZLE,1/2/4/3/6/5/7/8/,1/2/4/3/6/5/7/8/,C/C/C/C/I/U/U/U/,64,77
carr-lane-1-WolfWoods,dotogether-f,PUZZLE,1/2/4/3/6/5/7/8/,1/2/4/3/5/6/7/8/,C/C/C/C/I/U/U/U/,80,89
carr-lane-1-WolfWoods,dotogether-f,PUZZLE,1/2/4/3/5/6/7/8/,1/2/4/3/5/6/7/8/,C/C/C/C/C/C/C/C/,94,104
