codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
carr-lane-2-DubbyFlutters,sequential-g,REFERENCE,-1/-1/-1/-1/-1/-1/-1/,-1/-1/1/-1/-1/-1/-1/,I/U/U/U/U/U/U/,60,83
carr-lane-2-DubbyFlutters,sequential-g,PUZZLE,-1/-1/1/-1/-1/-1/-1/,1/6/3/2/4/7/5/,I/U/U/U/U/U/U/,140,163
carr-lane-2-DubbyFlutters,sequential-g,PUZZLE,1/6/3/2/4/7/5/,1/6/3/2/4/7/5/,C/I/U/U/U/U/U/,350,-1
carr-lane-2-DubbyFlutters,sequential-g,PUZZLE,1/6/3/2/4/7/5/,1/6/4/2/3/7/5/,C/I/U/U/U/U/U/,367,384
carr-lane-2-DubbyFlutters,sequential-g,PUZZLE,1/6/4/2/3/7/5/,1/6/3/4/2/7/5/,C/I/U/U/U/U/U/,462,475
carr-lane-2-DubbyFlutters,sequential-g,PUZZLE,1/6/3/4/2/7/5/,1/6/3/4/2/7/5/,C/I/U/U/U/U/U/,514,-1
carr-lane-2-DubbyFlutters,sequential-g,PUZZLE,1/6/3/4/2/7/5/,1/6/3/4/2/7/5/,C/I/U/U/U/U/U/,553,-1
carr-lane-2-DubbyFlutters,sequential-g,REFERENCE,1/6/3/4/2/7/5/,1/5/4/3/2/7/6/,C/I/U/U/U/U/U/,568,610
carr-lane-2-DubbyFlutters,sequential-g,REFERENCE,1/5/4/3/2/7/6/,1/2/3/5/4/7/6/,C/I/U/U/U/U/U/,664,674
carr-lane-2-DubbyFlutters,sequential-g,REFERENCE,1/2/3/5/4/7/6/,1/2/3/5/4/7/6/,C/C/C/I/U/U/U/,691,705
carr-lane-2-DubbyFlutters,sequential-g,PUZZLE,1/2/3/5/4/7/6/,1/2/3/5/4/7/6/,C/C/C/I/U/U/U/,724,740
carr-lane-2-DubbyFlutters,sequential-g,REFERENCE,1/2/3/5/4/7/6/,1/2/3/4/5/7/6/,C/C/C/I/U/U/U/,752,767
carr-lane-2-DubbyFlutters,sequential-g,REFERENCE,1/2/3/4/5/7/6/,1/2/3/4/5/7/6/,C/C/C/C/C/I/U/,796,810
carr-lane-2-DubbyFlutters,sequential-g,PUZZLE,1/2/3/4/5/7/6/,1/2/3/4/5/7/6/,C/C/C/C/C/I/U/,813,828
carr-lane-2-DubbyFlutters,sequential-g,PUZZLE,1/2/3/4/5/7/6/,1/2/3/4/5/6/7/,C/C/C/C/C/I/U/,835,849
carr-lane-2-DubbyFlutters,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,871,888
carr-lane-2-DubbyFlutters,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",5,7,0,897
carr-lane-2-DubbyFlutters,sequential-c,REFERENCE,1/-1/3/2/-1/-1/,1/2/3/-1/-1/-1/,C/I/U/U/U/U/,76,88
carr-lane-2-DubbyFlutters,sequential-c,REFERENCE,1/2/3/-1/-1/-1/,1/2/3/-1/4/-1/,C/C/C/I/U/U/,139,148
carr-lane-2-DubbyFlutters,sequential-c,REFERENCE,1/2/3/-1/4/-1/,1/2/3/6/4/5/,C/C/C/I/U/U/,165,179
carr-lane-2-DubbyFlutters,sequential-c,PUZZLE,1/2/3/6/4/5/,1/2/3/4/5/6/,C/C/C/I/U/U/,200,212
carr-lane-2-DubbyFlutters,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,248,260
carr-lane-2-DubbyFlutters,sequential-c,END,"    this.hare.swing arm() /
    this.volleyball.move(TypeExpression.DOWN, 0.6) /
    this.hare.look down() /
    this.hare.getRightHip().turn(TypeExpression.FORWARD, 0.25) /
    this.hare.kick(this.volleyball) /
    this.net.turn(TypeExpression.BACKWARD, 0.25) /",4,6,0,265
