codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
carr-lane-2-DuckyManiac,sequential-d,PUZZLE,1/-1/-1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/,46,-1
carr-lane-2-DuckyManiac,sequential-d,REFERENCE,1/-1/-1/-1/-1/-1/-1/-1/,1/2/3/-1/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/,60,90
carr-lane-2-DuckyManiac,sequential-d,REFERENCE,1/2/3/-1/-1/-1/-1/-1/,1/2/3/-1/-1/-1/-1/-1/,C/C/C/I/U/U/U/U/,139,152
carr-lane-2-DuckyManiac,sequential-d,PUZZLE,1/2/3/-1/-1/-1/-1/-1/,1/2/3/4/7/5/6/8/,C/C/C/I/U/U/U/U/,155,168
carr-lane-2-DuckyManiac,sequential-d,PUZZLE,1/2/3/4/7/5/6/8/,1/2/3/4/5/6/-1/-1/,C/C/C/C/I/U/U/U/,206,227
carr-lane-2-DuckyManiac,sequential-d,PUZZLE,1/2/3/4/5/6/-1/-1/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/I/U/,254,270
carr-lane-2-DuckyManiac,sequential-d,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,278,316
carr-lane-2-DuckyManiac,sequential-d,END,"    this.monkey.walk(1.5) /
    this.monkey.jump and spin() /
    this.monkey.walk up to(this.treasureChest) /
    this.monkey.raise arms() /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.0125) /
    this.monkey.bang on(this.treasureChest) /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
    this.treasureMonkey.raise arms() /",2,8,0,334
carr-lane-2-DuckyManiac,sequential-c,PUZZLE,1/2/3/5/4/6/,1/2/4/5/3/6/,C/C/C/I/U/U/,90,101
carr-lane-2-DuckyManiac,sequential-c,PUZZLE,1/2/4/5/3/6/,1/2/5/3/4/6/,C/C/I/U/U/U/,108,121
carr-lane-2-DuckyManiac,sequential-c,PUZZLE,1/2/5/3/4/6/,1/2/5/3/4/6/,C/C/I/U/U/U/,127,-1
carr-lane-2-DuckyManiac,sequential-c,REFERENCE,1/2/5/3/4/6/,1/2/3/4/5/6/,C/C/I/U/U/U/,134,144
carr-lane-2-DuckyManiac,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,168,186
