codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
carr-lane-2-MagicaCyclone,sequential-d,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/,1/2/3/4/-1/5/-1/6/,I/U/U/U/U/U/U/U/,57,74
carr-lane-2-MagicaCyclone,sequential-d,PUZZLE,1/2/3/4/-1/5/-1/6/,1/2/3/4/6/5/7/8/,C/C/C/C/I/U/U/U/,198,219
carr-lane-2-MagicaCyclone,sequential-d,PUZZLE,1/2/3/4/6/5/7/8/,1/2/3/4/6/5/7/8/,C/C/C/C/I/U/U/U/,277,-1
carr-lane-2-MagicaCyclone,sequential-d,REFERENCE,1/2/3/4/6/5/7/8/,1/2/3/4/6/5/7/8/,C/C/C/C/I/U/U/U/,314,331
carr-lane-2-MagicaCyclone,sequential-d,REFERENCE,1/2/3/4/6/5/7/8/,1/2/3/4/6/5/7/8/,C/C/C/C/I/U/U/U/,344,-1
carr-lane-2-MagicaCyclone,sequential-d,PUZZLE,1/2/3/4/6/5/7/8/,1/2/3/4/6/5/7/8/,C/C/C/C/I/U/U/U/,365,-1
carr-lane-2-MagicaCyclone,sequential-d,REFERENCE,1/2/3/4/6/5/7/8/,1/2/3/4/-1/5/6/7/,C/C/C/C/I/U/U/U/,396,417
carr-lane-2-MagicaCyclone,sequential-d,PUZZLE,1/2/3/4/-1/5/6/7/,1/2/3/4/-1/5/6/7/,C/C/C/C/I/U/U/U/,428,-1
carr-lane-2-MagicaCyclone,sequential-d,REFERENCE,1/2/3/4/-1/5/6/7/,1/2/3/4/-1/6/5/7/,C/C/C/C/I/U/U/U/,469,485
carr-lane-2-MagicaCyclone,sequential-d,PUZZLE,1/2/3/4/-1/6/5/7/,1/2/3/5/4/7/6/8/,C/C/C/C/I/U/U/U/,500,517
carr-lane-2-MagicaCyclone,sequential-d,PUZZLE,1/2/3/5/4/7/6/8/,1/2/3/5/4/7/6/8/,C/C/C/I/U/U/U/U/,547,-1
carr-lane-2-MagicaCyclone,sequential-d,REFERENCE,1/2/3/5/4/7/6/8/,1/2/3/4/5/7/6/8/,C/C/C/I/U/U/U/U/,570,587
carr-lane-2-MagicaCyclone,sequential-d,PUZZLE,1/2/3/4/5/7/6/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/I/U/U/,597,621
carr-lane-2-MagicaCyclone,sequential-d,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,630,667
carr-lane-2-MagicaCyclone,sequential-d,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,682,700
carr-lane-2-MagicaCyclone,sequential-d,END,"    this.monkey.walk(1.5) /
    this.monkey.jump and spin() /
    this.monkey.walk up to(this.treasureChest) /
    this.monkey.raise arms() /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.0125) /
    this.monkey.bang on(this.treasureChest) /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
    this.treasureMonkey.raise arms() /",6,8,0,711
carr-lane-2-MagicaCyclone,dotogether-b,PUZZLE,3/1/2/4/5/6/,3/1/2/4/5/6/,I/U/U/U/U/U/,75,-1
carr-lane-2-MagicaCyclone,dotogether-b,REFERENCE,3/1/2/4/5/6/,3/1/2/4/5/6/,I/U/U/U/U/U/,84,-1
carr-lane-2-MagicaCyclone,dotogether-b,REFERENCE,3/1/2/4/5/6/,2/1/3/4/5/6/,I/U/U/U/U/U/,91,97
carr-lane-2-MagicaCyclone,dotogether-b,PUZZLE,2/1/3/4/5/6/,1/-1/2/3/4/5/,I/U/U/U/U/U/,109,116
carr-lane-2-MagicaCyclone,dotogether-b,PUZZLE,1/-1/2/3/4/5/,1/2/3/4/5/6/,C/I/U/U/U/U/,140,154
carr-lane-2-MagicaCyclone,dotogether-b,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,166,176
carr-lane-2-MagicaCyclone,dotogether-b,END,"    this.troll.say(Ahhhhhh) /
    do together / {
      this.troll.sneeze and raise arms() /
      this.boat.move(TypeExpression.BACKWARD, 5.0) /
    }
    this.manatee.move(TypeExpression.UP, 0.5) /
    this.manatee.say(Bless you!) /",2,6,0,183
carr-lane-2-MagicaCyclone,sequential-g,REFERENCE,1/2/3/-1/-1/-1/-1/,1/2/3/4/5/6/7/,C/C/C/I/U/U/U/,68,79
carr-lane-2-MagicaCyclone,sequential-g,REFERENCE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,105,-1
carr-lane-2-MagicaCyclone,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,109,123
carr-lane-2-MagicaCyclone,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",2,7,0,129
carr-lane-2-MagicaCyclone,dotogether-a,PUZZLE,1/3/4/2/7/6/5/8/,1/3/4/2/7/6/5/8/,C/I/U/U/U/U/U/U/,96,-1
