codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
carr-lane-2-MicroDragon,sequential-d,PUZZLE,1/-1/-1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/,105,-1
carr-lane-2-MicroDragon,sequential-d,REFERENCE,1/-1/-1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/,112,-1
carr-lane-2-MicroDragon,sequential-d,PUZZLE,1/-1/-1/-1/-1/-1/-1/-1/,1/2/-1/-1/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/,118,124
carr-lane-2-MicroDragon,sequential-d,PUZZLE,1/2/-1/-1/-1/-1/-1/-1/,1/2/3/-1/-1/5/-1/4/,C/C/I/U/U/U/U/U/,153,162
carr-lane-2-MicroDragon,sequential-d,PUZZLE,1/2/3/-1/-1/5/-1/4/,1/2/3/4/-1/5/-1/-1/,C/C/C/I/U/U/U/U/,192,205
carr-lane-2-MicroDragon,sequential-d,PUZZLE,1/2/3/4/-1/5/-1/-1/,1/2/3/4/-1/5/-1/-1/,C/C/C/C/I/U/U/U/,217,-1
carr-lane-2-MicroDragon,sequential-d,REFERENCE,1/2/3/4/-1/5/-1/-1/,1/2/3/4/-1/-1/-1/-1/,C/C/C/C/I/U/U/U/,228,238
carr-lane-2-MicroDragon,sequential-d,PUZZLE,1/2/3/4/-1/-1/-1/-1/,1/2/3/4/-1/-1/5/-1/,C/C/C/C/I/U/U/U/,244,253
carr-lane-2-MicroDragon,sequential-d,PUZZLE,1/2/3/4/-1/-1/5/-1/,1/2/3/4/5/-1/-1/-1/,C/C/C/C/I/U/U/U/,262,271
carr-lane-2-MicroDragon,sequential-d,PUZZLE,1/2/3/4/5/-1/-1/-1/,1/2/3/4/5/-1/-1/-1/,C/C/C/C/C/I/U/U/,278,288
carr-lane-2-MicroDragon,sequential-d,PUZZLE,1/2/3/4/5/-1/-1/-1/,1/2/3/4/5/-1/-1/-1/,C/C/C/C/C/I/U/U/,291,-1
carr-lane-2-MicroDragon,sequential-d,REFERENCE,1/2/3/4/5/-1/-1/-1/,1/2/3/4/5/6/7/8/,C/C/C/C/C/I/U/U/,299,308
carr-lane-2-MicroDragon,sequential-d,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,320,331
carr-lane-2-MicroDragon,sequential-d,END,"    this.monkey.walk(1.5) /
    this.monkey.jump and spin() /
    this.monkey.walk up to(this.treasureChest) /
    this.monkey.raise arms() /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.0125) /
    this.monkey.bang on(this.treasureChest) /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
    this.treasureMonkey.raise arms() /",4,8,0,346
carr-lane-2-MicroDragon,sequential-g,REFERENCE,-1/-1/-1/-1/-1/-1/-1/,1/2/3/4/5/6/7/,I/U/U/U/U/U/U/,28,45
carr-lane-2-MicroDragon,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,83,92
carr-lane-2-MicroDragon,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",2,7,0,99
carr-lane-2-MicroDragon,sequential-c,REFERENCE,-1/-1/-1/-1/-1/-1/,1/2/3/6/4/5/,I/U/U/U/U/U/,27,31
carr-lane-2-MicroDragon,sequential-c,PUZZLE,1/2/3/6/4/5/,1/2/3/4/5/6/,C/C/C/I/U/U/,88,97
carr-lane-2-MicroDragon,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,103,113
carr-lane-2-MicroDragon,sequential-c,END,"    this.hare.swing arm() /
    this.volleyball.move(TypeExpression.DOWN, 0.6) /
    this.hare.look down() /
    this.hare.getRightHip().turn(TypeExpression.FORWARD, 0.25) /
    this.hare.kick(this.volleyball) /
    this.net.turn(TypeExpression.BACKWARD, 0.25) /",3,6,0,120
carr-lane-2-MicroDragon,dotogether-b,REFERENCE,-1/-1/-1/-1/-1/-1/,-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/,15,28
carr-lane-2-MicroDragon,dotogether-b,REFERENCE,-1/-1/-1/-1/-1/-1/,1/2/4/3/5/6/,I/U/U/U/U/U/,31,35
carr-lane-2-MicroDragon,dotogether-b,PUZZLE,1/2/4/3/5/6/,1/2/4/3/5/6/,C/C/C/C/C/C/,73,81
carr-lane-2-MicroDragon,dotogether-b,END,"    this.troll.say(Ahhhhhh) /
    do together / {
      this.troll.sneeze and raise arms() /
      this.boat.move(TypeExpression.BACKWARD, 5.0) /
    }
    this.manatee.move(TypeExpression.UP, 0.5) /
    this.manatee.say(Bless you!) /",2,6,0,84
carr-lane-2-MicroDragon,dotogether-m,PUZZLE,1/6/4/3/5/2/8/7/,1/6/4/3/5/2/8/7/,C/C/C/C/C/C/C/C/,68,79
carr-lane-2-MicroDragon,dotogether-m,END,"    this.hare.say(1...2...3...JUMP!) /
    do together / {
      this.pig.jump() /
      this.hare.jump() /
    }
    this.caiman.snap jaws() /
    do together / {
      this.pig.say(UH OH!) /
      this.hare.say(UH OH!) /
    }",2,8,0,82
carr-lane-2-MicroDragon,dotogether-o,PUZZLE,1/-1/-1/-1/-1/-1/,1/-1/2/-1/-1/-1/,C/I/U/U/U/U/,15,17
carr-lane-2-MicroDragon,dotogether-o,REFERENCE,1/-1/2/-1/-1/-1/,1/4/2/3/5/6/,C/I/U/U/U/U/,40,47
carr-lane-2-MicroDragon,dotogether-o,PUZZLE,1/4/2/3/5/6/,1/4/2/3/5/6/,C/I/U/U/U/U/,65,-1
carr-lane-2-MicroDragon,dotogether-o,PUZZLE,1/4/2/3/5/6/,1/-1/2/3/-1/-1/,C/I/U/U/U/U/,71,82
carr-lane-2-MicroDragon,dotogether-o,PUZZLE,1/-1/2/3/-1/-1/,1/2/4/3/5/6/,C/I/U/U/U/U/,87,90
carr-lane-2-MicroDragon,dotogether-o,PUZZLE,1/2/4/3/5/6/,1/2/4/3/5/6/,C/C/C/C/C/C/,113,120
carr-lane-2-MicroDragon,dotogether-o,END,"    this.hare.getRightShoulder().turn(TypeExpression.RIGHT, 0.125) /
    do together / {
      this.hare.hit(this.volleyball) /
      this.volleyball.fly away() /
    }
    this.hare.getHead().turn(TypeExpression.BACKWARD, 0.125) /
    this.hare.say(Aww man..) /",3,6,0,123
carr-lane-2-MicroDragon,dotogether-n,PUZZLE,2/3/4/5/6/1/,2/3/4/5/6/1/,I/U/U/U/U/U/,41,-1
carr-lane-2-MicroDragon,dotogether-n,REFERENCE,2/3/4/5/6/1/,1/2/3/4/5/6/,I/U/U/U/U/U/,45,54
carr-lane-2-MicroDragon,dotogether-n,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,59,68
carr-lane-2-MicroDragon,dotogether-n,END,"    this.playingCard.say(Alice was just here I promise!!) /
    this.queenOfHearts.say(We BETTER find her!) /
    do together / {
      this.queenOfHearts.walk forward() /
      this.playingCard.walk forward() /
    }
    this.alice.sneak away() /",3,6,0,72
carr-lane-2-MicroDragon,dotogether-a,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/,-1/-1/-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/U/,13,-1
carr-lane-2-MicroDragon,dotogether-a,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/,1/2/3/4/7/5/6/8/,I/U/U/U/U/U/U/U/,25,35
carr-lane-2-MicroDragon,dotogether-a,PUZZLE,1/2/3/4/7/5/6/8/,1/2/3/4/7/5/6/8/,C/C/C/C/C/C/C/C/,83,92
carr-lane-2-MicroDragon,dotogether-a,END,"    this.penguin.say(Everyone, I'd like you to meet Derek.) /
    this.DerekTheYeti.say(Hello.) /
    this.DerekTheYeti.moveToward(this.babyPenguin2, 0.5) /
    do together / {
      this.babyPenguin1.jump back() /
      this.babyPenguin2.jump back() /
      this.babyPenguin3.jump back() /
    }
    this.penguin.say(He's harmless and very kind!) /",2,8,0,95
carr-lane-2-MicroDragon,dotogether-d,PUZZLE,-1/-1/-1/-1/-1/-1/1/-1/,-1/-1/-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/U/,22,25
carr-lane-2-MicroDragon,dotogether-d,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/,-1/-1/-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/U/,38,-1
carr-lane-2-MicroDragon,dotogether-d,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/,1/2/4/3/5/7/8/6/,I/U/U/U/U/U/U/U/,49,57
carr-lane-2-MicroDragon,dotogether-d,PUZZLE,1/2/4/3/5/7/8/6/,1/2/4/3/5/7/8/6/,C/C/C/C/C/C/C/I/,99,-1
carr-lane-2-MicroDragon,dotogether-d,REFERENCE,1/2/4/3/5/7/8/6/,1/2/4/3/5/7/8/6/,C/C/C/C/C/C/C/I/,110,-1
carr-lane-2-MicroDragon,dotogether-d,PUZZLE,1/2/4/3/5/7/8/6/,1/2/4/3/5/8/7/6/,C/C/C/C/C/C/C/I/,117,125
carr-lane-2-MicroDragon,dotogether-d,PUZZLE,1/2/4/3/5/8/7/6/,1/2/4/3/5/8/7/6/,C/C/C/C/C/C/C/I/,133,143
carr-lane-2-MicroDragon,dotogether-d,REFERENCE,1/2/4/3/5/8/7/6/,1/2/4/3/5/7/-1/6/,C/C/C/C/C/C/C/I/,157,165
carr-lane-2-MicroDragon,dotogether-d,PUZZLE,1/2/4/3/5/7/-1/6/,1/2/4/3/5/7/8/6/,C/C/C/C/C/C/C/I/,182,190
carr-lane-2-MicroDragon,dotogether-d,PUZZLE,1/2/4/3/5/7/8/6/,1/2/4/3/5/7/8/6/,C/C/C/C/C/C/C/I/,206,216
carr-lane-2-MicroDragon,dotogether-d,REFERENCE,1/2/4/3/5/7/8/6/,1/2/4/3/5/7/8/6/,C/C/C/C/C/C/C/I/,232,-1
carr-lane-2-MicroDragon,dotogether-d,PUZZLE,1/2/4/3/5/7/8/6/,1/2/4/3/5/7/8/6/,C/C/C/C/C/C/C/I/,241,254
carr-lane-2-MicroDragon,dotogether-d,PUZZLE,1/2/4/3/5/7/8/6/,1/2/4/3/5/7/8/6/,C/C/C/C/C/C/C/C/,259,268
