codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
carr-lane-2-RoseySheep,sequential-c,REFERENCE,1/-1/2/-1/-1/-1/,1/-1/2/-1/-1/-1/,C/I/U/U/U/U/,42,-1
carr-lane-2-RoseySheep,sequential-c,REFERENCE,1/-1/2/-1/-1/-1/,1/-1/2/-1/-1/-1/,C/I/U/U/U/U/,57,74
carr-lane-2-RoseySheep,sequential-c,REFERENCE,1/-1/2/-1/-1/-1/,1/5/2/4/3/6/,C/I/U/U/U/U/,82,92
carr-lane-2-RoseySheep,sequential-c,REFERENCE,1/5/2/4/3/6/,1/5/2/4/3/6/,C/I/U/U/U/U/,121,133
carr-lane-2-RoseySheep,sequential-c,PUZZLE,1/5/2/4/3/6/,1/2/3/5/4/6/,C/I/U/U/U/U/,135,140
carr-lane-2-RoseySheep,sequential-c,PUZZLE,1/2/3/5/4/6/,1/2/3/6/4/5/,C/C/C/I/U/U/,149,157
carr-lane-2-RoseySheep,sequential-c,PUZZLE,1/2/3/6/4/5/,1/2/3/4/5/6/,C/C/C/I/U/U/,162,169
carr-lane-2-RoseySheep,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,174,186
carr-lane-2-RoseySheep,sequential-c,END,"    this.hare.swing arm() /
    this.volleyball.move(TypeExpression.DOWN, 0.6) /
    this.hare.look down() /
    this.hare.getRightHip().turn(TypeExpression.FORWARD, 0.25) /
    this.hare.kick(this.volleyball) /
    this.net.turn(TypeExpression.BACKWARD, 0.25) /",4,6,0,195
carr-lane-2-RoseySheep,dotogether-b,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,48,61
carr-lane-2-RoseySheep,dotogether-b,END,"    this.troll.say(Ahhhhhh) /
    do together / {
      this.troll.sneeze and raise arms() /
      this.boat.move(TypeExpression.BACKWARD, 5.0) /
    }
    this.manatee.move(TypeExpression.UP, 0.5) /
    this.manatee.say(Bless you!) /",2,6,0,66
carr-lane-2-RoseySheep,dotogether-o,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,46,54
carr-lane-2-RoseySheep,dotogether-o,END,"    this.hare.getRightShoulder().turn(TypeExpression.RIGHT, 0.125) /
    do together / {
      this.hare.hit(this.volleyball) /
      this.volleyball.fly away() /
    }
    this.hare.getHead().turn(TypeExpression.BACKWARD, 0.125) /
    this.hare.say(Aww man..) /",2,6,0,66
carr-lane-2-RoseySheep,sequential-d,REFERENCE,-1/3/1/2/-1/-1/-1/-1/,4/3/1/2/-1/5/6/7/,I/U/U/U/U/U/U/U/,63,80
carr-lane-2-RoseySheep,sequential-d,REFERENCE,4/3/1/2/-1/5/6/7/,4/3/1/2/-1/5/6/7/,I/U/U/U/U/U/U/U/,116,-1
carr-lane-2-RoseySheep,sequential-d,PUZZLE,4/3/1/2/-1/5/6/7/,4/3/1/2/-1/5/6/7/,I/U/U/U/U/U/U/U/,119,122
carr-lane-2-RoseySheep,sequential-d,REFERENCE,4/3/1/2/-1/5/6/7/,1/3/4/2/-1/5/6/7/,I/U/U/U/U/U/U/U/,124,128
carr-lane-2-RoseySheep,sequential-d,PUZZLE,1/3/4/2/-1/5/6/7/,1/2/3/6/-1/4/5/7/,C/I/U/U/U/U/U/U/,137,142
carr-lane-2-RoseySheep,sequential-d,PUZZLE,1/2/3/6/-1/4/5/7/,1/2/3/6/-1/4/5/7/,C/C/C/I/U/U/U/U/,152,164
carr-lane-2-RoseySheep,sequential-d,PUZZLE,1/2/3/6/-1/4/5/7/,1/2/3/6/-1/4/5/7/,C/C/C/I/U/U/U/U/,169,-1
carr-lane-2-RoseySheep,sequential-d,PUZZLE,1/2/3/6/-1/4/5/7/,1/2/3/4/-1/5/6/7/,C/C/C/I/U/U/U/U/,182,192
carr-lane-2-RoseySheep,sequential-d,PUZZLE,1/2/3/4/-1/5/6/7/,1/2/3/4/-1/5/6/7/,C/C/C/C/I/U/U/U/,205,-1
carr-lane-2-RoseySheep,sequential-d,PUZZLE,1/2/3/4/-1/5/6/7/,1/2/3/4/-1/5/6/7/,C/C/C/C/I/U/U/U/,223,-1
carr-lane-2-RoseySheep,sequential-d,REFERENCE,1/2/3/4/-1/5/6/7/,1/2/3/4/6/5/7/8/,C/C/C/C/I/U/U/U/,237,253
carr-lane-2-RoseySheep,sequential-d,PUZZLE,1/2/3/4/6/5/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/I/U/U/U/,258,273
carr-lane-2-RoseySheep,sequential-d,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,290,306
carr-lane-2-RoseySheep,sequential-d,END,"    this.monkey.walk(1.5) /
    this.monkey.jump and spin() /
    this.monkey.walk up to(this.treasureChest) /
    this.monkey.raise arms() /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.0125) /
    this.monkey.bang on(this.treasureChest) /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
    this.treasureMonkey.raise arms() /",6,8,0,314
carr-lane-2-RoseySheep,dotogether-a,PUZZLE,1/2/4/3/5/6/7/8/,1/2/4/3/5/6/7/8/,C/C/I/U/U/U/U/U/,60,-1
carr-lane-2-RoseySheep,dotogether-a,PUZZLE,1/2/4/3/5/6/7/8/,1/2/4/3/5/6/7/8/,C/C/I/U/U/U/U/U/,67,-1
carr-lane-2-RoseySheep,dotogether-a,REFERENCE,1/2/4/3/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/I/U/U/U/U/U/,76,87
carr-lane-2-RoseySheep,dotogether-a,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,91,101
carr-lane-2-RoseySheep,dotogether-a,END,"    this.penguin.say(Everyone, I'd like you to meet Derek.) /
    this.DerekTheYeti.say(Hello.) /
    this.DerekTheYeti.moveToward(this.babyPenguin2, 0.5) /
    do together / {
      this.babyPenguin1.jump back() /
      this.babyPenguin2.jump back() /
      this.babyPenguin3.jump back() /
    }
    this.penguin.say(He's harmless and very kind!) /",3,8,0,107
carr-lane-2-RoseySheep,dotogether-m,PUZZLE,1/2/4/3/5/6/8/7/,1/2/4/3/5/6/8/7/,C/C/C/C/C/C/C/C/,56,69
carr-lane-2-RoseySheep,dotogether-m,END,"    this.hare.say(1...2...3...JUMP!) /
    do together / {
      this.pig.jump() /
      this.hare.jump() /
    }
    this.caiman.snap jaws() /
    do together / {
      this.pig.say(UH OH!) /
      this.hare.say(UH OH!) /
    }",2,8,0,77
carr-lane-2-RoseySheep,sequential-g,REFERENCE,1/-1/-1/-1/-1/-1/-1/,1/2/3/5/4/6/7/,C/I/U/U/U/U/U/,35,47
carr-lane-2-RoseySheep,sequential-g,PUZZLE,1/2/3/5/4/6/7/,1/2/3/5/4/6/7/,C/C/C/I/U/U/U/,70,-1
carr-lane-2-RoseySheep,sequential-g,PUZZLE,1/2/3/5/4/6/7/,1/2/3/4/5/6/7/,C/C/C/I/U/U/U/,82,92
carr-lane-2-RoseySheep,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,103,119
carr-lane-2-RoseySheep,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",2,7,0,122
carr-lane-2-RoseySheep,dotogether-n,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,64,75
carr-lane-2-RoseySheep,dotogether-n,END,"    this.playingCard.say(Alice was just here I promise!!) /
    this.queenOfHearts.say(We BETTER find her!) /
    do together / {
      this.queenOfHearts.walk forward() /
      this.playingCard.walk forward() /
    }
    this.alice.sneak away() /",1,6,0,79
carr-lane-2-RoseySheep,dotogether-c,PUZZLE,1/2/4/3/5/6/7/,1/2/3/4/5/6/7/,C/C/I/U/U/U/U/,51,58
carr-lane-2-RoseySheep,dotogether-c,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/I/U/,65,74
carr-lane-2-RoseySheep,dotogether-c,PUZZLE,1/2/3/4/5/6/7/,1/2/4/3/5/6/7/,C/C/C/C/C/I/I/,78,85
carr-lane-2-RoseySheep,dotogether-c,PUZZLE,1/2/4/3/5/6/7/,1/2/4/3/5/6/7/,C/C/I/U/U/U/U/,91,97
carr-lane-2-RoseySheep,dotogether-c,REFERENCE,1/2/4/3/5/6/7/,1/2/3/4/5/6/7/,C/C/I/U/U/U/U/,98,106
carr-lane-2-RoseySheep,dotogether-c,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,115,123
carr-lane-2-RoseySheep,dotogether-c,END,"    this.Troll.say(What's for dinner?) /
    this.Witch.say(YOU!) /
    do together / {
      this.Troll.moveTo(this.Cauldron) /
      this.Troll.raise arms and scream() /
    }
    this.Troll.turn(TypeExpression.RIGHT, 8.0) /
    this.Troll.disappear() /",5,7,0,128
carr-lane-2-RoseySheep,dotogether-d,REFERENCE,1/2/3/4/-1/-1/-1/-1/,1/2/3/4/5/7/8/6/,C/C/C/C/I/U/U/U/,39,46
carr-lane-2-RoseySheep,dotogether-d,PUZZLE,1/2/3/4/5/7/8/6/,1/2/3/4/5/7/8/6/,C/C/C/C/C/C/C/C/,59,67
carr-lane-2-RoseySheep,dotogether-d,END,"    this.mandril.think(A treasure chest!) /
    do together / {
      this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
      this.treasureChest.say(Hello!) /
    }
    do together / {
      this.mandril.turn(TypeExpression.LEFT, 0.5) /
      this.mandril.walk(10.0) /
      this.mandril.say(Ahhhhhh!) /
    }",2,8,0,75
carr-lane-2-RoseySheep,dotogether-i,REFERENCE,1/2/4/3/-1/5/-1/-1/-1/-1/,1/2/4/3/5/6/7/8/9/10/,C/C/C/C/I/U/U/U/U/U/,59,65
carr-lane-2-RoseySheep,dotogether-i,PUZZLE,1/2/4/3/5/6/7/8/9/10/,1/2/4/3/5/6/7/8/9/10/,C/C/C/C/C/C/C/C/C/C/,85,95
carr-lane-2-RoseySheep,dotogether-i,END,"    this.tiny yeti.turnToFace(this.big yeti) /
    do together / {
      this.tiny yeti.nod() /
      this.big yeti.nod() /
    }
    this.tiny yeti.move(TypeExpression.BACKWARD, 0.5) /
    do together / {
      this.tiny yeti.jump to hammer() /
      this.big yeti.prepare to swing hammer() /
    }
    this.big yeti.power swing() /
    this.tiny yeti.fly away() /",1,10,0,141
carr-lane-2-RoseySheep,dotogether-l,REFERENCE,1/2/3/-1/-1/-1/-1/,1/2/3/5/6/4/7/,C/C/C/I/I/I/U/,38,52
carr-lane-2-RoseySheep,dotogether-l,PUZZLE,1/2/3/5/6/4/7/,1/2/3/5/6/4/7/,C/C/C/C/C/C/C/,82,93
carr-lane-2-RoseySheep,dotogether-l,END,"    this.cheshireCat.say(Okay Alice, your turn now.) /
    this.alice.move(TypeExpression.BACKWARD, 1.0) /
    do together / {
      this.alice.move legs() /
      this.alice.move(TypeExpression.UP, 1.0) /
      this.alice.moveToward(this.cheshireCat, 3.0) /
    }
    this.alice.say(I'm stuck!) /",3,7,0,99
carr-lane-2-RoseySheep,dotogether-f,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/,1/2/5/4/6/3/7/8/,I/U/U/U/U/U/U/U/,25,35
carr-lane-2-RoseySheep,dotogether-f,PUZZLE,1/2/5/4/6/3/7/8/,1/2/5/4/6/3/7/8/,C/C/I/C/C/U/U/U/,111,-1
carr-lane-2-RoseySheep,dotogether-f,REFERENCE,1/2/5/4/6/3/7/8/,1/2/4/3/5/6/7/8/,C/C/I/C/C/U/U/U/,121,129
carr-lane-2-RoseySheep,dotogether-f,PUZZLE,1/2/4/3/5/6/7/8/,1/2/4/3/5/6/7/8/,C/C/C/C/C/C/C/C/,133,144
carr-lane-2-RoseySheep,dotogether-f,END,"    this.Witch.say(I will turn you to stone!) /
    do together / {
      this.Ogre.move(TypeExpression.DOWN, 0.375) /
      this.Ogre.bend knees() /
    }
    do together / {
      this.Witch.cast spell() /
      this.Ogre.getRightShoulder().turn(TypeExpression.LEFT, 0.25) /
      this.Ogre.setPaint(InstanceCreation) /
    }",6,8,0,151
carr-lane-2-RoseySheep,dotogether-e,REFERENCE,1/-1/3/4/2/-1/-1/-1/-1/,1/5/3/4/2/9/6/7/8/,C/C/C/C/I/U/U/U/U/,95,109
carr-lane-2-RoseySheep,dotogether-e,PUZZLE,1/5/3/4/2/9/6/7/8/,1/5/3/4/2/9/6/7/8/,C/C/C/C/C/C/C/C/C/,132,144
