codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
carr-lane-2-WhisperingMask,sequential-d,REFERENCE,1/3/-1/-1/-1/-1/-1/2/,1/3/-1/-1/-1/-1/-1/2/,C/I/U/U/U/U/U/U/,59,-1
carr-lane-2-WhisperingMask,sequential-d,PUZZLE,1/3/-1/-1/-1/-1/-1/2/,1/3/4/-1/-1/-1/-1/2/,C/I/U/U/U/U/U/U/,81,93
carr-lane-2-WhisperingMask,sequential-d,PUZZLE,1/3/4/-1/-1/-1/-1/2/,1/3/4/-1/-1/-1/-1/2/,C/I/U/U/U/U/U/U/,106,-1
carr-lane-2-WhisperingMask,sequential-d,PUZZLE,1/3/4/-1/-1/-1/-1/2/,1/2/3/-1/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/,120,133
carr-lane-2-WhisperingMask,sequential-d,PUZZLE,1/2/3/-1/-1/-1/-1/-1/,1/2/3/4/-1/-1/-1/-1/,C/C/C/I/U/U/U/U/,155,168
carr-lane-2-WhisperingMask,sequential-d,PUZZLE,1/2/3/4/-1/-1/-1/-1/,1/2/3/4/-1/-1/-1/-1/,C/C/C/C/I/U/U/U/,191,-1
carr-lane-2-WhisperingMask,sequential-d,PUZZLE,1/2/3/4/-1/-1/-1/-1/,1/2/3/4/5/-1/-1/-1/,C/C/C/C/I/U/U/U/,207,222
carr-lane-2-WhisperingMask,sequential-d,PUZZLE,1/2/3/4/5/-1/-1/-1/,1/2/3/4/5/-1/-1/-1/,C/C/C/C/C/I/U/U/,233,-1
carr-lane-2-WhisperingMask,sequential-d,PUZZLE,1/2/3/4/5/-1/-1/-1/,1/2/3/4/-1/-1/5/-1/,C/C/C/C/C/I/U/U/,237,256
carr-lane-2-WhisperingMask,sequential-d,PUZZLE,1/2/3/4/-1/-1/5/-1/,1/2/3/4/-1/-1/5/6/,C/C/C/C/I/U/U/U/,275,299
carr-lane-2-WhisperingMask,sequential-d,PUZZLE,1/2/3/4/-1/-1/5/6/,1/2/3/4/-1/-1/5/6/,C/C/C/C/I/U/U/U/,305,-1
carr-lane-2-WhisperingMask,sequential-d,PUZZLE,1/2/3/4/-1/-1/5/6/,1/2/3/4/-1/7/5/6/,C/C/C/C/I/U/U/U/,308,328
carr-lane-2-WhisperingMask,sequential-d,PUZZLE,1/2/3/4/-1/7/5/6/,1/2/3/4/-1/7/5/6/,C/C/C/C/I/U/U/U/,337,-1
carr-lane-2-WhisperingMask,sequential-d,PUZZLE,1/2/3/4/-1/7/5/6/,1/2/3/4/-1/7/5/6/,C/C/C/C/I/U/U/U/,340,-1
carr-lane-2-WhisperingMask,sequential-d,PUZZLE,1/2/3/4/-1/7/5/6/,1/2/3/4/5/6/-1/7/,C/C/C/C/I/U/U/U/,366,368
carr-lane-2-WhisperingMask,sequential-d,PUZZLE,1/2/3/4/5/6/-1/7/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/I/U/,404,428
carr-lane-2-WhisperingMask,sequential-d,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,440,461
carr-lane-2-WhisperingMask,sequential-d,END,"    this.monkey.walk(1.5) /
    this.monkey.jump and spin() /
    this.monkey.walk up to(this.treasureChest) /
    this.monkey.raise arms() /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.0125) /
    this.monkey.bang on(this.treasureChest) /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
    this.treasureMonkey.raise arms() /",4,8,0,472
carr-lane-2-WhisperingMask,sequential-c,PUZZLE,1/-1/-1/-1/2/-1/,1/2/-1/3/-1/-1/,C/I/U/U/U/U/,46,56
carr-lane-2-WhisperingMask,sequential-c,PUZZLE,1/2/-1/3/-1/-1/,1/2/-1/4/-1/3/,C/C/I/U/U/U/,86,97
carr-lane-2-WhisperingMask,sequential-c,PUZZLE,1/2/-1/4/-1/3/,1/2/-1/3/-1/4/,C/C/I/U/U/U/,131,140
carr-lane-2-WhisperingMask,sequential-c,PUZZLE,1/2/-1/3/-1/4/,1/2/3/-1/4/-1/,C/C/I/U/U/U/,150,158
carr-lane-2-WhisperingMask,sequential-c,PUZZLE,1/2/3/-1/4/-1/,1/2/3/-1/-1/4/,C/C/C/I/U/U/,184,197
carr-lane-2-WhisperingMask,sequential-c,PUZZLE,1/2/3/-1/-1/4/,1/2/3/4/-1/-1/,C/C/C/I/U/U/,215,228
carr-lane-2-WhisperingMask,sequential-c,PUZZLE,1/2/3/4/-1/-1/,1/2/3/4/-1/5/,C/C/C/C/I/U/,243,257
carr-lane-2-WhisperingMask,sequential-c,PUZZLE,1/2/3/4/-1/5/,1/2/3/-1/5/4/,C/C/C/C/I/U/,267,284
carr-lane-2-WhisperingMask,sequential-c,PUZZLE,1/2/3/-1/5/4/,1/2/3/5/6/4/,C/C/C/I/U/U/,300,312
carr-lane-2-WhisperingMask,sequential-c,PUZZLE,1/2/3/5/6/4/,1/2/3/5/6/4/,C/C/C/I/U/U/,319,334
carr-lane-2-WhisperingMask,sequential-c,PUZZLE,1/2/3/5/6/4/,1/2/3/6/4/5/,C/C/C/I/U/U/,344,360
carr-lane-2-WhisperingMask,sequential-c,PUZZLE,1/2/3/6/4/5/,1/2/3/-1/-1/-1/,C/C/C/I/U/U/,369,396
carr-lane-2-WhisperingMask,sequential-c,PUZZLE,1/2/3/-1/-1/-1/,1/2/3/4/-1/-1/,C/C/C/I/U/U/,407,418
carr-lane-2-WhisperingMask,sequential-c,PUZZLE,1/2/3/4/-1/-1/,1/2/3/4/5/-1/,C/C/C/C/I/U/,440,452
carr-lane-2-WhisperingMask,sequential-c,PUZZLE,1/2/3/4/5/-1/,1/2/3/4/5/6/,C/C/C/C/C/I/,460,471
carr-lane-2-WhisperingMask,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,477,493
carr-lane-2-WhisperingMask,sequential-c,END,"    this.hare.swing arm() /
    this.volleyball.move(TypeExpression.DOWN, 0.6) /
    this.hare.look down() /
    this.hare.getRightHip().turn(TypeExpression.FORWARD, 0.25) /
    this.hare.kick(this.volleyball) /
    this.net.turn(TypeExpression.BACKWARD, 0.25) /",5,6,0,504
carr-lane-2-WhisperingMask,sequential-g,REFERENCE,-1/-1/-1/-1/-1/-1/-1/,1/-1/-1/2/-1/-1/-1/,I/U/U/U/U/U/U/,20,38
carr-lane-2-WhisperingMask,sequential-g,PUZZLE,1/-1/-1/2/-1/-1/-1/,1/2/-1/-1/-1/-1/-1/,C/I/U/U/U/U/U/,63,74
carr-lane-2-WhisperingMask,sequential-g,PUZZLE,1/2/-1/-1/-1/-1/-1/,1/2/-1/3/-1/-1/-1/,C/C/I/U/U/U/U/,85,96
carr-lane-2-WhisperingMask,sequential-g,PUZZLE,1/2/-1/3/-1/-1/-1/,1/2/-1/3/4/-1/-1/,C/C/I/U/U/U/U/,113,128
carr-lane-2-WhisperingMask,sequential-g,PUZZLE,1/2/-1/3/4/-1/-1/,1/2/3/-1/-1/-1/-1/,C/C/I/U/U/U/U/,141,153
carr-lane-2-WhisperingMask,sequential-g,PUZZLE,1/2/3/-1/-1/-1/-1/,1/2/3/4/5/-1/-1/,C/C/C/I/U/U/U/,170,186
carr-lane-2-WhisperingMask,sequential-g,PUZZLE,1/2/3/4/5/-1/-1/,1/2/3/4/5/7/6/,C/C/C/C/C/I/U/,202,217
carr-lane-2-WhisperingMask,sequential-g,PUZZLE,1/2/3/4/5/7/6/,1/2/3/4/5/6/7/,C/C/C/C/C/I/U/,228,245
carr-lane-2-WhisperingMask,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,252,273
carr-lane-2-WhisperingMask,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",3,7,0,281
carr-lane-2-WhisperingMask,dotogether-a,PUZZLE,1/2/3/-1/-1/-1/-1/-1/,1/2/3/4/5/6/7/8/,C/C/C/I/U/U/U/U/,55,63
carr-lane-2-WhisperingMask,dotogether-a,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,101,117
carr-lane-2-WhisperingMask,dotogether-a,END,"    this.penguin.say(Everyone, I'd like you to meet Derek.) /
    this.DerekTheYeti.say(Hello.) /
    this.DerekTheYeti.moveToward(this.babyPenguin2, 0.5) /
    do together / {
      this.babyPenguin1.jump back() /
      this.babyPenguin2.jump back() /
      this.babyPenguin3.jump back() /
    }
    this.penguin.say(He's harmless and very kind!) /",2,8,0,125
carr-lane-2-WhisperingMask,dotogether-n,PUZZLE,1/2/3/5/4/6/,1/2/3/5/4/6/,C/C/C/C/C/C/,108,121
