codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
compton-drew-data-AprilShowers,sequential-c,REFERENCE,1/-1/-1/-1/-1/-1/,1/-1/2/-1/3/-1/,C/I/U/U/U/U/,56,61
compton-drew-data-AprilShowers,sequential-c,REFERENCE,1/-1/2/-1/3/-1/,1/4/2/5/3/6/,C/I/U/U/U/U/,73,83
compton-drew-data-AprilShowers,sequential-c,PUZZLE,1/4/2/5/3/6/,1/3/2/5/4/6/,C/I/U/U/U/U/,107,116
compton-drew-data-AprilShowers,sequential-c,PUZZLE,1/3/2/5/4/6/,1/2/3/4/5/6/,C/I/U/U/U/U/,139,149
compton-drew-data-AprilShowers,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,163,176
compton-drew-data-AprilShowers,sequential-c,END,"    this.hare.swing arm() /
    this.volleyball.move(TypeExpression.DOWN, 0.6) /
    this.hare.look down() /
    this.hare.getRightHip().turn(TypeExpression.FORWARD, 0.25) /
    this.hare.kick(this.volleyball) /
    this.net.turn(TypeExpression.BACKWARD, 0.25) /",6,6,0,185
compton-drew-data-AprilShowers,sequential-g,REFERENCE,-1/1/2/3/-1/-1/,1/2/3/4/5/6/,I/U/U/U/U/U/,44,49
compton-drew-data-AprilShowers,sequential-g,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,63,80
compton-drew-data-AprilShowers,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",2,6,0,85
compton-drew-data-AprilShowers,dotogether-o,PUZZLE,1/-1/2/3/4/5/,1/-1/2/3/4/5/,C/I/U/U/U/U/,48,55
compton-drew-data-AprilShowers,dotogether-o,REFERENCE,1/-1/2/3/4/5/,1/-1/2/3/4/5/,C/I/U/U/U/U/,60,66
compton-drew-data-AprilShowers,dotogether-o,PUZZLE,1/-1/2/3/4/5/,2/1/3/4/5/6/,C/I/U/U/U/U/,67,71
compton-drew-data-AprilShowers,dotogether-o,PUZZLE,2/1/3/4/5/6/,2/1/3/4/5/6/,I/U/U/U/U/U/,111,-1
compton-drew-data-AprilShowers,dotogether-o,PUZZLE,2/1/3/4/5/6/,2/1/3/4/5/6/,I/U/U/U/U/U/,122,-1
compton-drew-data-AprilShowers,dotogether-o,REFERENCE,2/1/3/4/5/6/,2/1/3/4/5/6/,I/U/U/U/U/U/,127,129
compton-drew-data-AprilShowers,dotogether-o,PUZZLE,2/1/3/4/5/6/,5/1/3/4/2/6/,I/U/U/U/U/U/,142,145
compton-drew-data-AprilShowers,dotogether-o,PUZZLE,5/1/3/4/2/6/,5/1/3/4/2/6/,I/U/U/U/U/U/,162,166
compton-drew-data-AprilShowers,dotogether-o,REFERENCE,5/1/3/4/2/6/,2/1/3/4/5/6/,I/U/U/U/U/U/,169,174
compton-drew-data-AprilShowers,dotogether-o,PUZZLE,2/1/3/4/5/6/,2/1/3/4/5/6/,I/U/U/U/U/U/,197,200
compton-drew-data-AprilShowers,dotogether-o,PUZZLE,2/1/3/4/5/6/,2/1/3/4/5/6/,I/U/U/U/U/U/,206,210
compton-drew-data-AprilShowers,dotogether-o,REFERENCE,2/1/3/4/5/6/,3/1/2/4/5/6/,I/U/U/U/U/U/,215,219
compton-drew-data-AprilShowers,dotogether-o,PUZZLE,3/1/2/4/5/6/,4/1/2/3/5/6/,I/U/U/U/U/U/,233,237
compton-drew-data-AprilShowers,dotogether-o,PUZZLE,4/1/2/3/5/6/,2/1/3/4/5/6/,I/U/U/U/U/U/,250,253
compton-drew-data-AprilShowers,dotogether-o,PUZZLE,2/1/3/4/5/6/,-1/-1/-1/1/2/3/,I/U/U/U/U/U/,265,268
