codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
compton-drew-data-BrightSky,sequential-g,PUZZLE,1/3/2/4/5/-1/,1/2/3/4/5/-1/,C/I/U/U/U/U/,76,90
compton-drew-data-BrightSky,sequential-g,PUZZLE,1/2/3/4/5/-1/,1/2/3/4/-1/5/,C/C/C/C/C/I/,104,117
compton-drew-data-BrightSky,sequential-g,PUZZLE,1/2/3/4/-1/5/,1/2/3/4/6/5/,C/C/C/C/I/U/,131,147
compton-drew-data-BrightSky,sequential-g,PUZZLE,1/2/3/4/6/5/,1/2/3/4/5/6/,C/C/C/C/I/U/,156,170
compton-drew-data-BrightSky,sequential-g,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,178,191
compton-drew-data-BrightSky,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",4,6,0,214
compton-drew-data-BrightSky,dotogether-b,PUZZLE,1/-1/2/3/5/4/,1/-1/3/4/2/5/,C/I/U/U/U/U/,50,60
compton-drew-data-BrightSky,dotogether-b,PUZZLE,1/-1/3/4/2/5/,1/-1/3/2/4/5/,C/I/U/U/U/U/,71,76
compton-drew-data-BrightSky,dotogether-b,PUZZLE,1/-1/3/2/4/5/,1/4/3/2/5/6/,C/I/U/U/U/U/,90,95
compton-drew-data-BrightSky,dotogether-b,PUZZLE,1/4/3/2/5/6/,1/4/2/3/5/6/,C/I/U/U/U/U/,113,122
compton-drew-data-BrightSky,dotogether-b,PUZZLE,1/4/2/3/5/6/,1/5/2/4/6/3/,C/I/U/U/U/U/,141,145
compton-drew-data-BrightSky,dotogether-b,PUZZLE,1/5/2/4/6/3/,1/4/2/3/6/5/,C/I/U/U/U/U/,154,158
compton-drew-data-BrightSky,dotogether-b,REFERENCE,1/4/2/3/6/5/,1/4/2/3/6/5/,C/I/U/U/U/U/,184,194
compton-drew-data-BrightSky,dotogether-b,PUZZLE,1/4/2/3/6/5/,1/2/3/4/6/5/,C/I/U/U/U/U/,196,203
compton-drew-data-BrightSky,dotogether-b,PUZZLE,1/2/3/4/6/5/,1/2/3/4/5/6/,C/C/C/C/I/U/,220,228
compton-drew-data-BrightSky,dotogether-b,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,233,245
compton-drew-data-BrightSky,dotogether-b,END,"    this.troll.say(Ahhhhhh) /
    do together / {
      this.troll.sneeze and raise arms() /
      this.boat.move(TypeExpression.BACKWARD, 5.0) /
    }
    this.manatee.move(TypeExpression.UP, 0.5) /
    this.manatee.say(Bless you!) /",6,6,0,252
compton-drew-data-BrightSky,dotogether-m,PUZZLE,1/2/-1/4/3/-1/5/6/-1/7/,1/2/-1/4/3/5/-1/-1/-1/-1/,C/C/C/C/I/U/U/U/U/U/,73,81
compton-drew-data-BrightSky,dotogether-m,PUZZLE,1/2/-1/4/3/5/-1/-1/-1/-1/,1/2/5/4/3/-1/-1/-1/6/-1/,C/C/C/C/I/U/U/U/U/U/,94,99
compton-drew-data-BrightSky,dotogether-m,PUZZLE,1/2/5/4/3/-1/-1/-1/6/-1/,1/2/5/4/3/10/6/8/9/7/,C/C/C/C/I/U/U/U/U/U/,110,116
compton-drew-data-BrightSky,dotogether-m,PUZZLE,1/2/5/4/3/10/6/8/9/7/,1/2/5/4/3/6/7/9/10/8/,C/C/C/C/I/U/U/U/U/U/,148,160
compton-drew-data-BrightSky,dotogether-m,PUZZLE,1/2/5/4/3/6/7/9/10/8/,1/2/10/4/3/5/6/8/9/7/,C/C/C/C/I/U/U/U/U/U/,177,186
compton-drew-data-BrightSky,dotogether-m,PUZZLE,1/2/10/4/3/5/6/8/9/7/,1/2/10/4/3/5/6/8/9/7/,C/C/C/C/I/U/U/U/U/U/,194,205
