codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
compton-drew-data-BrownBear,sequential-d,PUZZLE,-1/-1/-1/2/1/-1/-1/-1/,-1/-1/-1/-1/1/-1/-1/-1/,I/U/U/U/U/U/U/U/,53,58
compton-drew-data-BrownBear,sequential-d,PUZZLE,-1/-1/-1/-1/1/-1/-1/-1/,-1/-1/-1/-1/-1/-1/1/-1/,I/U/U/U/U/U/U/U/,76,79
compton-drew-data-BrownBear,sequential-d,PUZZLE,-1/-1/-1/-1/-1/-1/1/-1/,-1/-1/-1/-1/1/2/-1/-1/,I/U/U/U/U/U/U/U/,87,90
compton-drew-data-BrownBear,sequential-d,PUZZLE,-1/-1/-1/-1/1/2/-1/-1/,-1/-1/-1/-1/-1/1/-1/-1/,I/U/U/U/U/U/U/U/,129,132
compton-drew-data-BrownBear,sequential-d,REFERENCE,-1/-1/-1/-1/-1/1/-1/-1/,1/2/-1/-1/-1/3/-1/4/,I/U/U/U/U/U/U/U/,142,154
compton-drew-data-BrownBear,sequential-d,PUZZLE,1/2/-1/-1/-1/3/-1/4/,1/2/3/-1/4/-1/5/-1/,C/C/I/U/U/U/U/U/,183,196
compton-drew-data-BrownBear,sequential-d,PUZZLE,1/2/3/-1/4/-1/5/-1/,1/2/3/-1/5/-1/4/-1/,C/C/C/I/U/U/U/U/,238,256
compton-drew-data-BrownBear,sequential-d,PUZZLE,1/2/3/-1/5/-1/4/-1/,1/2/3/8/6/4/5/7/,C/C/C/I/U/U/U/U/,274,284
compton-drew-data-BrownBear,sequential-d,PUZZLE,1/2/3/8/6/4/5/7/,1/2/3/-1/-1/4/-1/-1/,C/C/C/I/U/U/U/U/,305,319
compton-drew-data-BrownBear,sequential-d,REFERENCE,1/2/3/-1/-1/4/-1/-1/,1/2/3/6/4/5/-1/-1/,C/C/C/I/U/U/U/U/,336,354
compton-drew-data-BrownBear,sequential-d,PUZZLE,1/2/3/6/4/5/-1/-1/,1/2/3/6/5/4/-1/-1/,C/C/C/I/U/U/U/U/,371,384
compton-drew-data-BrownBear,sequential-d,PUZZLE,1/2/3/6/5/4/-1/-1/,1/2/3/6/5/-1/4/-1/,C/C/C/I/U/U/U/U/,390,403
compton-drew-data-BrownBear,sequential-d,PUZZLE,1/2/3/6/5/-1/4/-1/,1/2/3/4/5/-1/6/-1/,C/C/C/I/U/U/U/U/,431,443
compton-drew-data-BrownBear,sequential-d,PUZZLE,1/2/3/4/5/-1/6/-1/,1/2/3/4/5/6/7/-1/,C/C/C/C/C/I/U/U/,451,465
compton-drew-data-BrownBear,sequential-d,PUZZLE,1/2/3/4/5/6/7/-1/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/I/,478,494
