codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
compton-drew-data-MadHatter,sequential-c,REFERENCE,-1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/,29,42
compton-drew-data-MadHatter,sequential-c,REFERENCE,1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/,C/I/U/U/U/U/,56,-1
compton-drew-data-MadHatter,sequential-c,REFERENCE,1/-1/-1/-1/-1/-1/,1/2/3/-1/-1/-1/,C/I/U/U/U/U/,67,73
compton-drew-data-MadHatter,sequential-c,PUZZLE,1/2/3/-1/-1/-1/,1/2/3/-1/-1/-1/,C/C/C/I/U/U/,85,93
compton-drew-data-MadHatter,sequential-c,REFERENCE,1/2/3/-1/-1/-1/,1/2/3/4/5/6/,C/C/C/I/U/U/,95,106
compton-drew-data-MadHatter,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,121,133
compton-drew-data-MadHatter,sequential-c,END,"    this.hare.swing arm() /
    this.volleyball.move(TypeExpression.DOWN, 0.6) /
    this.hare.look down() /
    this.hare.getRightHip().turn(TypeExpression.FORWARD, 0.25) /
    this.hare.kick(this.volleyball) /
    this.net.turn(TypeExpression.BACKWARD, 0.25) /",3,6,0,144
compton-drew-data-MadHatter,dotogether-b,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,44,53
compton-drew-data-MadHatter,dotogether-b,END,"    this.troll.say(Ahhhhhh) /
    do together / {
      this.troll.sneeze and raise arms() /
      this.boat.move(TypeExpression.BACKWARD, 5.0) /
    }
    this.manatee.move(TypeExpression.UP, 0.5) /
    this.manatee.say(Bless you!) /",1,6,0,58
compton-drew-data-MadHatter,dotogether-o,PUZZLE,1/3/2/4/5/6/,1/3/2/4/5/6/,C/I/U/U/U/U/,43,-1
compton-drew-data-MadHatter,dotogether-o,REFERENCE,1/3/2/4/5/6/,1/3/2/4/5/6/,C/I/U/U/U/U/,50,-1
compton-drew-data-MadHatter,dotogether-o,REFERENCE,1/3/2/4/5/6/,1/2/3/4/5/6/,C/I/U/U/U/U/,60,67
compton-drew-data-MadHatter,dotogether-o,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,76,82
compton-drew-data-MadHatter,dotogether-o,END,"    this.hare.getRightShoulder().turn(TypeExpression.RIGHT, 0.125) /
    do together / {
      this.hare.hit(this.volleyball) /
      this.volleyball.fly away() /
    }
    this.hare.getHead().turn(TypeExpression.BACKWARD, 0.125) /
    this.hare.say(Aww man..) /",2,6,0,87
compton-drew-data-MadHatter,dotogether-a,REFERENCE,1/2/3/-1/-1/-1/-1/-1/,1/2/4/3/5/6/7/8/,C/C/C/I/U/U/U/U/,35,45
compton-drew-data-MadHatter,dotogether-a,PUZZLE,1/2/4/3/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/I/U/U/U/U/U/,70,77
compton-drew-data-MadHatter,dotogether-a,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,81,88
compton-drew-data-MadHatter,dotogether-a,END,"    this.penguin.say(Everyone, I'd like you to meet Derek.) /
    this.DerekTheYeti.say(Hello.) /
    this.DerekTheYeti.moveToward(this.babyPenguin2, 0.5) /
    do together / {
      this.babyPenguin1.jump back() /
      this.babyPenguin2.jump back() /
      this.babyPenguin3.jump back() /
    }
    this.penguin.say(He's harmless and very kind!) /",2,8,0,94
compton-drew-data-MadHatter,dotogether-e,REFERENCE,1/-1/3/2/-1/-1/-1/-1/-1/,1/-1/3/2/-1/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/U/,46,59
compton-drew-data-MadHatter,dotogether-e,PUZZLE,1/-1/3/2/-1/-1/-1/-1/-1/,1/2/4/3/-1/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/U/,61,76
compton-drew-data-MadHatter,dotogether-e,PUZZLE,1/2/4/3/-1/-1/-1/-1/-1/,1/2/4/3/-1/-1/-1/-1/-1/,C/C/C/C/I/U/U/U/U/,85,-1
