codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
compton-drew-data-MidnightZebra,sequential-g,PUZZLE,1/4/2/3/6/5/,1/2/3/4/6/5/,C/I/U/U/U/U/,104,119
compton-drew-data-MidnightZebra,sequential-g,PUZZLE,1/2/3/4/6/5/,1/2/3/4/5/6/,C/C/C/C/I/U/,129,152
compton-drew-data-MidnightZebra,sequential-g,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,161,175
compton-drew-data-MidnightZebra,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",6,6,0,188
compton-drew-data-MidnightZebra,sequential-d,PUZZLE,1/2/3/-1/5/4/-1/-1/,1/2/3/7/6/4/5/8/,C/C/C/I/U/U/U/U/,57,80
compton-drew-data-MidnightZebra,sequential-d,PUZZLE,1/2/3/7/6/4/5/8/,1/2/3/6/5/4/8/7/,C/C/C/I/U/U/U/U/,96,115
compton-drew-data-MidnightZebra,sequential-d,PUZZLE,1/2/3/6/5/4/8/7/,1/2/3/7/5/4/6/8/,C/C/C/I/U/U/U/U/,172,190
compton-drew-data-MidnightZebra,sequential-d,PUZZLE,1/2/3/7/5/4/6/8/,1/2/3/7/6/5/4/8/,C/C/C/I/U/U/U/U/,218,240
compton-drew-data-MidnightZebra,sequential-d,PUZZLE,1/2/3/7/6/5/4/8/,1/2/3/7/5/4/6/8/,C/C/C/I/U/U/U/U/,254,271
compton-drew-data-MidnightZebra,sequential-d,PUZZLE,1/2/3/7/5/4/6/8/,1/2/3/6/5/4/-1/7/,C/C/C/I/U/U/U/U/,292,339
compton-drew-data-MidnightZebra,sequential-d,PUZZLE,1/2/3/6/5/4/-1/7/,1/2/3/5/6/4/-1/7/,C/C/C/I/U/U/U/U/,344,371
compton-drew-data-MidnightZebra,sequential-d,PUZZLE,1/2/3/5/6/4/-1/7/,1/2/3/7/5/4/6/8/,C/C/C/I/U/U/U/U/,376,396
compton-drew-data-MidnightZebra,sequential-d,PUZZLE,1/2/3/7/5/4/6/8/,1/2/3/4/6/5/8/7/,C/C/C/I/U/U/U/U/,408,423
compton-drew-data-MidnightZebra,sequential-d,PUZZLE,1/2/3/4/6/5/8/7/,1/2/3/4/7/5/6/8/,C/C/C/C/I/U/U/U/,448,465
compton-drew-data-MidnightZebra,sequential-d,PUZZLE,1/2/3/4/7/5/6/8/,1/2/3/4/6/5/-1/7/,C/C/C/C/I/U/U/U/,474,499
compton-drew-data-MidnightZebra,sequential-d,PUZZLE,1/2/3/4/6/5/-1/7/,1/2/3/4/7/5/8/6/,C/C/C/C/I/U/U/U/,509,532
compton-drew-data-MidnightZebra,sequential-d,PUZZLE,1/2/3/4/7/5/8/6/,1/2/3/4/6/5/8/7/,C/C/C/C/I/U/U/U/,550,578
compton-drew-data-MidnightZebra,sequential-d,PUZZLE,1/2/3/4/6/5/8/7/,1/2/3/4/6/5/8/7/,C/C/C/C/I/U/U/U/,645,-1
compton-drew-data-MidnightZebra,sequential-d,REFERENCE,1/2/3/4/6/5/8/7/,1/2/3/5/4/6/8/7/,C/C/C/C/I/U/U/U/,663,681
compton-drew-data-MidnightZebra,sequential-d,PUZZLE,1/2/3/5/4/6/8/7/,1/2/3/5/4/6/8/7/,C/C/C/I/U/U/U/U/,691,-1
compton-drew-data-MidnightZebra,sequential-d,REFERENCE,1/2/3/5/4/6/8/7/,1/2/3/6/5/7/4/8/,C/C/C/I/U/U/U/U/,711,729
compton-drew-data-MidnightZebra,sequential-d,PUZZLE,1/2/3/6/5/7/4/8/,1/2/3/5/4/6/-1/7/,C/C/C/I/U/U/U/U/,746,765
compton-drew-data-MidnightZebra,sequential-d,PUZZLE,1/2/3/5/4/6/-1/7/,1/2/3/5/4/6/-1/7/,C/C/C/I/U/U/U/U/,772,787
compton-drew-data-MidnightZebra,sequential-d,REFERENCE,1/2/3/5/4/6/-1/7/,1/2/3/4/5/6/-1/7/,C/C/C/I/U/U/U/U/,791,808
compton-drew-data-MidnightZebra,sequential-d,PUZZLE,1/2/3/4/5/6/-1/7/,1/2/3/4/5/6/8/7/,C/C/C/C/C/C/I/U/,815,831
compton-drew-data-MidnightZebra,sequential-d,PUZZLE,1/2/3/4/5/6/8/7/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/I/U/,836,859
