codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
compton-drew-data-NightWalker,sequential-c,REFERENCE,-1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/,20,29
compton-drew-data-NightWalker,sequential-c,PUZZLE,1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/,C/I/U/U/U/U/,45,50
compton-drew-data-NightWalker,sequential-c,REFERENCE,1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/,C/I/U/U/U/U/,53,59
compton-drew-data-NightWalker,sequential-c,REFERENCE,1/-1/-1/-1/-1/-1/,1/-1/2/-1/3/-1/,C/I/U/U/U/U/,78,85
compton-drew-data-NightWalker,sequential-c,PUZZLE,1/-1/2/-1/3/-1/,1/2/3/-1/-1/-1/,C/I/U/U/U/U/,113,120
compton-drew-data-NightWalker,sequential-c,PUZZLE,1/2/3/-1/-1/-1/,1/2/3/-1/4/-1/,C/C/C/I/U/U/,142,148
compton-drew-data-NightWalker,sequential-c,REFERENCE,1/2/3/-1/4/-1/,1/2/3/5/4/6/,C/C/C/I/U/U/,156,167
compton-drew-data-NightWalker,sequential-c,PUZZLE,1/2/3/5/4/6/,1/2/3/5/4/6/,C/C/C/I/U/U/,178,187
compton-drew-data-NightWalker,sequential-c,PUZZLE,1/2/3/5/4/6/,1/2/3/4/5/6/,C/C/C/I/U/U/,238,248
compton-drew-data-NightWalker,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,269,281
compton-drew-data-NightWalker,sequential-c,END,"    this.hare.swing arm() /
    this.volleyball.move(TypeExpression.DOWN, 0.6) /
    this.hare.look down() /
    this.hare.getRightHip().turn(TypeExpression.FORWARD, 0.25) /
    this.hare.kick(this.volleyball) /
    this.net.turn(TypeExpression.BACKWARD, 0.25) /",2,6,0,291
compton-drew-data-NightWalker,sequential-g,REFERENCE,-1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/,18,24
compton-drew-data-NightWalker,sequential-g,REFERENCE,1/-1/-1/-1/-1/-1/,1/2/3/-1/-1/-1/,C/I/U/U/U/U/,34,40
compton-drew-data-NightWalker,sequential-g,REFERENCE,1/2/3/-1/-1/-1/,1/2/3/4/-1/-1/,C/C/C/I/U/U/,54,62
compton-drew-data-NightWalker,sequential-g,REFERENCE,1/2/3/4/-1/-1/,1/2/3/4/-1/5/,C/C/C/C/I/U/,67,79
