codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
compton-drew-data-PinkLeopard,sequential-g,REFERENCE,-1/-1/-1/-1/-1/-1/,-1/-1/1/-1/-1/-1/,I/U/U/U/U/U/,27,50
compton-drew-data-PinkLeopard,sequential-g,PUZZLE,-1/-1/1/-1/-1/-1/,-1/-1/1/-1/-1/-1/,I/U/U/U/U/U/,79,-1
compton-drew-data-PinkLeopard,sequential-g,REFERENCE,-1/-1/1/-1/-1/-1/,1/-1/2/-1/-1/-1/,I/U/U/U/U/U/,93,102
compton-drew-data-PinkLeopard,sequential-g,PUZZLE,1/-1/2/-1/-1/-1/,1/-1/2/-1/-1/-1/,C/I/U/U/U/U/,115,-1
compton-drew-data-PinkLeopard,sequential-g,REFERENCE,1/-1/2/-1/-1/-1/,1/-1/2/-1/-1/-1/,C/I/U/U/U/U/,142,-1
compton-drew-data-PinkLeopard,sequential-g,REFERENCE,1/-1/2/-1/-1/-1/,1/2/3/-1/-1/-1/,C/I/U/U/U/U/,160,170
compton-drew-data-PinkLeopard,sequential-g,REFERENCE,1/2/3/-1/-1/-1/,1/2/3/-1/-1/-1/,C/C/C/I/U/U/,200,208
compton-drew-data-PinkLeopard,sequential-g,PUZZLE,1/2/3/-1/-1/-1/,1/2/3/-1/-1/-1/,C/C/C/I/U/U/,210,-1
compton-drew-data-PinkLeopard,sequential-g,REFERENCE,1/2/3/-1/-1/-1/,1/2/3/4/-1/-1/,C/C/C/I/U/U/,223,237
compton-drew-data-PinkLeopard,sequential-g,REFERENCE,1/2/3/4/-1/-1/,1/2/3/4/5/6/,C/C/C/C/I/U/,247,262
compton-drew-data-PinkLeopard,sequential-g,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,284,298
compton-drew-data-PinkLeopard,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",4,6,0,317
compton-drew-data-PinkLeopard,dotogether-b,PUZZLE,1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/,C/I/U/U/U/U/,61,-1
compton-drew-data-PinkLeopard,dotogether-b,REFERENCE,1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/,C/I/U/U/U/U/,65,-1
compton-drew-data-PinkLeopard,dotogether-b,REFERENCE,1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/,C/I/U/U/U/U/,76,-1
compton-drew-data-PinkLeopard,dotogether-b,REFERENCE,1/-1/-1/-1/-1/-1/,1/-1/2/3/-1/4/,C/I/U/U/U/U/,95,108
compton-drew-data-PinkLeopard,dotogether-b,PUZZLE,1/-1/2/3/-1/4/,1/2/3/4/-1/5/,C/I/U/U/U/U/,144,155
compton-drew-data-PinkLeopard,dotogether-b,PUZZLE,1/2/3/4/-1/5/,1/2/3/4/-1/5/,C/C/I/I/U/U/,169,179
compton-drew-data-PinkLeopard,dotogether-b,REFERENCE,1/2/3/4/-1/5/,1/2/4/5/3/6/,C/C/I/I/U/U/,183,191
compton-drew-data-PinkLeopard,dotogether-b,PUZZLE,1/2/4/5/3/6/,1/2/4/5/3/6/,C/C/I/I/U/U/,201,-1
compton-drew-data-PinkLeopard,dotogether-b,REFERENCE,1/2/4/5/3/6/,1/2/5/4/3/6/,C/C/I/I/U/U/,207,221
compton-drew-data-PinkLeopard,dotogether-b,PUZZLE,1/2/5/4/3/6/,1/2/3/-1/-1/-1/,C/C/I/I/U/U/,233,240
compton-drew-data-PinkLeopard,dotogether-b,PUZZLE,1/2/3/-1/-1/-1/,1/2/3/-1/-1/-1/,C/C/I/I/U/U/,256,-1
compton-drew-data-PinkLeopard,dotogether-b,REFERENCE,1/2/3/-1/-1/-1/,1/2/4/3/-1/-1/,C/C/I/I/U/U/,266,274
compton-drew-data-PinkLeopard,dotogether-b,PUZZLE,1/2/4/3/-1/-1/,1/2/5/3/4/6/,C/C/C/I/U/U/,282,291
compton-drew-data-PinkLeopard,dotogether-b,PUZZLE,1/2/5/3/4/6/,1/2/4/3/5/6/,C/C/C/I/U/U/,310,316
compton-drew-data-PinkLeopard,dotogether-b,PUZZLE,1/2/4/3/5/6/,1/2/4/3/5/6/,C/C/C/I/U/U/,344,354
compton-drew-data-PinkLeopard,dotogether-b,REFERENCE,1/2/4/3/5/6/,1/2/4/3/6/5/,C/C/C/I/U/U/,360,371
compton-drew-data-PinkLeopard,dotogether-b,PUZZLE,1/2/4/3/6/5/,1/2/4/3/-1/-1/,C/C/C/I/U/U/,387,396
compton-drew-data-PinkLeopard,dotogether-b,PUZZLE,1/2/4/3/-1/-1/,1/2/-1/3/-1/4/,C/C/C/I/U/U/,440,452
compton-drew-data-PinkLeopard,dotogether-b,PUZZLE,1/2/-1/3/-1/4/,1/2/-1/3/4/-1/,C/C/C/I/U/U/,481,489
compton-drew-data-PinkLeopard,dotogether-b,PUZZLE,1/2/-1/3/4/-1/,1/2/4/3/5/-1/,C/C/C/I/U/U/,521,529
compton-drew-data-PinkLeopard,dotogether-b,PUZZLE,1/2/4/3/5/-1/,1/2/4/3/5/-1/,C/C/C/I/U/U/,538,544
compton-drew-data-PinkLeopard,dotogether-b,REFERENCE,1/2/4/3/5/-1/,1/2/4/3/5/-1/,C/C/C/I/U/U/,547,-1
compton-drew-data-PinkLeopard,dotogether-b,REFERENCE,1/2/4/3/5/-1/,1/2/3/-1/4/-1/,C/C/C/I/U/U/,557,563
compton-drew-data-PinkLeopard,dotogether-b,PUZZLE,1/2/3/-1/4/-1/,1/2/3/4/-1/-1/,C/C/C/I/U/U/,585,592
compton-drew-data-PinkLeopard,dotogether-b,PUZZLE,1/2/3/4/-1/-1/,1/2/3/4/-1/-1/,C/C/C/I/U/U/,610,-1
compton-drew-data-PinkLeopard,dotogether-b,REFERENCE,1/2/3/4/-1/-1/,1/2/3/4/-1/-1/,C/C/C/I/U/U/,618,624
compton-drew-data-PinkLeopard,dotogether-b,REFERENCE,1/2/3/4/-1/-1/,1/2/3/4/5/6/,C/C/C/C/I/U/,635,644
compton-drew-data-PinkLeopard,dotogether-b,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,655,664
compton-drew-data-PinkLeopard,dotogether-b,END,"    this.troll.say(Ahhhhhh) /
    do together / {
      this.troll.sneeze and raise arms() /
      this.boat.move(TypeExpression.BACKWARD, 5.0) /
    }
    this.manatee.move(TypeExpression.UP, 0.5) /
    this.manatee.say(Bless you!) /",6,6,0,669
compton-drew-data-PinkLeopard,dotogether-m,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/,1/2/4/3/-1/-1/-1/-1/,I/U/U/U/U/U/U/U/,30,37
compton-drew-data-PinkLeopard,dotogether-m,PUZZLE,1/2/4/3/-1/-1/-1/-1/,1/2/4/3/-1/-1/-1/-1/,C/C/C/C/I/U/U/U/,84,-1
compton-drew-data-PinkLeopard,dotogether-m,REFERENCE,1/2/4/3/-1/-1/-1/-1/,1/2/4/3/5/6/8/7/,C/C/C/C/I/U/U/U/,95,113
compton-drew-data-PinkLeopard,dotogether-m,PUZZLE,1/2/4/3/5/6/8/7/,1/2/4/3/5/6/8/7/,C/C/C/C/C/C/C/C/,144,154
compton-drew-data-PinkLeopard,dotogether-m,END,"    this.hare.say(1...2...3...JUMP!) /
    do together / {
      this.pig.jump() /
      this.hare.jump() /
    }
    this.caiman.snap jaws() /
    do together / {
      this.pig.say(UH OH!) /
      this.hare.say(UH OH!) /
    }",1,8,0,159
compton-drew-data-PinkLeopard,dotogether-o,REFERENCE,-1/-1/-1/-1/-1/-1/,-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/,28,-1
compton-drew-data-PinkLeopard,dotogether-o,REFERENCE,-1/-1/-1/-1/-1/-1/,2/4/1/3/5/6/,I/U/U/U/U/U/,65,70
compton-drew-data-PinkLeopard,dotogether-o,PUZZLE,2/4/1/3/5/6/,2/4/1/3/5/6/,I/U/U/U/U/U/,132,138
compton-drew-data-PinkLeopard,dotogether-o,REFERENCE,2/4/1/3/5/6/,1/4/2/3/5/6/,I/U/U/U/U/U/,406,411
compton-drew-data-PinkLeopard,dotogether-o,PUZZLE,1/4/2/3/5/6/,1/4/2/3/5/6/,C/I/U/U/U/U/,480,549
compton-drew-data-PinkLeopard,dotogether-o,PUZZLE,1/4/2/3/5/6/,1/4/2/3/5/6/,C/I/U/U/U/U/,682,-1
compton-drew-data-PinkLeopard,dotogether-o,REFERENCE,1/4/2/3/5/6/,1/4/2/3/5/6/,C/I/U/U/U/U/,691,-1
compton-drew-data-PinkLeopard,dotogether-o,REFERENCE,1/4/2/3/5/6/,1/4/2/3/5/6/,C/I/U/U/U/U/,699,-1
compton-drew-data-PinkLeopard,dotogether-o,REFERENCE,1/4/2/3/5/6/,1/4/2/3/5/6/,C/I/U/U/U/U/,709,-1
compton-drew-data-PinkLeopard,dotogether-o,REFERENCE,1/4/2/3/5/6/,1/2/-1/-1/3/-1/,C/I/U/U/U/U/,732,738
compton-drew-data-PinkLeopard,dotogether-o,PUZZLE,1/2/-1/-1/3/-1/,1/2/4/-1/3/-1/,C/C/I/I/I/U/,802,809
