codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
compton-drew-data-RubySlippers,sequential-g,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,88,121
compton-drew-data-RubySlippers,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",1,6,0,138
compton-drew-data-RubySlippers,sequential-d,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/,1/4/-1/-1/-1/-1/3/2/,I/U/U/U/U/U/U/U/,29,32
compton-drew-data-RubySlippers,sequential-d,PUZZLE,1/4/-1/-1/-1/-1/3/2/,1/4/-1/2/-1/-1/3/-1/,C/I/U/U/U/U/U/U/,79,86
compton-drew-data-RubySlippers,sequential-d,PUZZLE,1/4/-1/2/-1/-1/3/-1/,1/3/-1/2/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/,98,106
compton-drew-data-RubySlippers,sequential-d,PUZZLE,1/3/-1/2/-1/-1/-1/-1/,1/2/-1/3/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/,111,118
compton-drew-data-RubySlippers,sequential-d,PUZZLE,1/2/-1/3/-1/-1/-1/-1/,1/2/3/-1/-1/-1/-1/-1/,C/C/I/U/U/U/U/U/,121,132
compton-drew-data-RubySlippers,sequential-d,PUZZLE,1/2/3/-1/-1/-1/-1/-1/,1/2/3/-1/5/4/6/-1/,C/C/C/I/U/U/U/U/,142,153
compton-drew-data-RubySlippers,sequential-d,PUZZLE,1/2/3/-1/5/4/6/-1/,1/2/3/4/6/5/7/8/,C/C/C/I/U/U/U/U/,179,192
compton-drew-data-RubySlippers,sequential-d,PUZZLE,1/2/3/4/6/5/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/I/U/U/U/,202,228
compton-drew-data-RubySlippers,sequential-d,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,239,256
compton-drew-data-RubySlippers,sequential-d,END,"    this.monkey.walk(1.5) /
    this.monkey.jump and spin() /
    this.monkey.walk up to(this.treasureChest) /
    this.monkey.raise arms() /
    this.treasureChest.open slightly() /
    this.monkey.bang on(this.treasureChest) /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
    this.treasureMonkey.raise arms() /",3,8,0,266
compton-drew-data-RubySlippers,dotogether-a,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,60,72
compton-drew-data-RubySlippers,dotogether-a,END,"    this.penguin.say(Everyone, I'd like you to meet Derek.) /
    this.DerekTheYeti.say(Hello.) /
    this.DerekTheYeti.moveToward(this.babyPenguin2, 0.5) /
    do together / {
      this.babyPenguin1.jump back() /
      this.babyPenguin2.jump back() /
      this.babyPenguin3.jump back() /
    }
    this.penguin.say(He's harmless and very kind!) /",2,8,0,76
compton-drew-data-RubySlippers,sequential-c,PUZZLE,1/-1/-1/-1/-1/-1/,1/2/-1/-1/-1/-1/,C/I/U/U/U/U/,39,44
compton-drew-data-RubySlippers,sequential-c,REFERENCE,1/2/-1/-1/-1/-1/,1/2/3/5/4/6/,C/C/I/U/U/U/,52,58
compton-drew-data-RubySlippers,sequential-c,PUZZLE,1/2/3/5/4/6/,1/2/3/4/5/6/,C/C/C/I/U/U/,71,81
compton-drew-data-RubySlippers,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,88,99
compton-drew-data-RubySlippers,sequential-c,END,"    this.hare.swing arm() /
    this.volleyball.move(TypeExpression.DOWN, 0.6) /
    this.hare.look down() /
    this.hare.getRightHip().turn(TypeExpression.FORWARD, 0.25) /
    this.hare.kick(this.volleyball) /
    this.net.turn(TypeExpression.BACKWARD, 0.25) /",2,6,0,105
compton-drew-data-RubySlippers,dotogether-n,PUZZLE,-1/-1/-1/-1/-1/-1/,-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/,16,18
compton-drew-data-RubySlippers,dotogether-n,REFERENCE,-1/-1/-1/-1/-1/-1/,2/3/4/6/5/1/,I/U/U/U/U/U/,21,25
compton-drew-data-RubySlippers,dotogether-n,PUZZLE,2/3/4/6/5/1/,1/2/3/5/4/6/,I/U/U/U/U/U/,50,53
compton-drew-data-RubySlippers,dotogether-n,PUZZLE,1/2/3/5/4/6/,1/2/3/5/4/6/,C/C/C/C/C/C/,57,68
compton-drew-data-RubySlippers,dotogether-n,END,"    this.playingCard.say(Alice was just here I promise!!) /
    this.queenOfHearts.say(We BETTER find her!) /
    do together / {
      this.queenOfHearts.walk forward() /
      this.playingCard.walk forward() /
    }
    this.alice.sneak away() /",2,6,0,74
compton-drew-data-RubySlippers,dotogether-b,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,83,92
compton-drew-data-RubySlippers,dotogether-b,END,"    this.troll.say(Ahhhhhh) /
    do together / {
      this.troll.sneeze and raise arms() /
      this.boat.move(TypeExpression.BACKWARD, 5.0) /
    }
    this.manatee.move(TypeExpression.UP, 0.5) /
    this.manatee.say(Bless you!) /",1,6,0,97
compton-drew-data-RubySlippers,dotogether-m,PUZZLE,1/2/4/3/5/6/7/8/,1/2/4/3/5/6/7/8/,C/C/C/C/C/C/C/C/,87,98
compton-drew-data-RubySlippers,dotogether-m,END,"    this.hare.say(1...2...3...JUMP!) /
    do together / {
      this.pig.jump() /
      this.hare.jump() /
    }
    this.caiman.snap jaws() /
    do together / {
      this.pig.say(UH OH!) /
      this.hare.say(UH OH!) /
    }",2,8,0,103
compton-drew-data-RubySlippers,dotogether-e,REFERENCE,1/-1/-1/-1/-1/-1/-1/-1/-1/,1/-1/2/3/-1/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/U/,27,34
compton-drew-data-RubySlippers,dotogether-e,PUZZLE,1/-1/2/3/-1/-1/-1/-1/-1/,1/-1/2/3/-1/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/U/,59,66
compton-drew-data-RubySlippers,dotogether-e,REFERENCE,1/-1/2/3/-1/-1/-1/-1/-1/,1/-1/3/2/-1/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/U/,71,77
compton-drew-data-RubySlippers,dotogether-e,PUZZLE,1/-1/3/2/-1/-1/-1/-1/-1/,1/2/4/3/-1/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/U/,82,90
compton-drew-data-RubySlippers,dotogether-e,PUZZLE,1/2/4/3/-1/-1/-1/-1/-1/,1/2/4/3/-1/-1/-1/-1/-1/,C/C/C/C/I/U/U/U/U/,100,106
compton-drew-data-RubySlippers,dotogether-e,REFERENCE,1/2/4/3/-1/-1/-1/-1/-1/,1/2/4/3/7/9/8/5/6/,C/C/C/C/I/U/U/U/U/,111,120
compton-drew-data-RubySlippers,dotogether-e,PUZZLE,1/2/4/3/7/9/8/5/6/,1/2/4/3/6/9/8/5/7/,C/C/C/C/I/U/U/U/U/,139,150
compton-drew-data-RubySlippers,dotogether-e,PUZZLE,1/2/4/3/6/9/8/5/7/,1/2/4/3/5/9/8/6/7/,C/C/C/C/I/U/U/U/U/,155,165
compton-drew-data-RubySlippers,dotogether-e,PUZZLE,1/2/4/3/5/9/8/6/7/,1/2/4/3/5/9/8/6/7/,C/C/C/C/C/C/C/C/C/,170,179
compton-drew-data-RubySlippers,dotogether-e,END,"    this.bush.rustle() /
    do together / {
      this.Witch.getHead().turn(TypeExpression.RIGHT, 0.125) /
      this.Witch.say(What was that?) /
    }
    do together / {
      this.Troll.legs shake() /
      this.Troll.bend over() /
      this.Troll.turn(TypeExpression.RIGHT, 0.5) /
      this.Troll.think(This place is scary..) /
    }",3,9,0,184
compton-drew-data-RubySlippers,dotogether-o,PUZZLE,2/1/3/4/-1/-1/,1/2/3/4/-1/-1/,I/U/U/U/U/U/,35,38
compton-drew-data-RubySlippers,dotogether-o,PUZZLE,1/2/3/4/-1/-1/,1/2/3/4/5/6/,C/C/C/C/I/U/,44,48
compton-drew-data-RubySlippers,dotogether-o,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,54,72
compton-drew-data-RubySlippers,dotogether-o,END,"    this.hare.getRightShoulder().turn(TypeExpression.RIGHT, 0.125) /
    do together / {
      this.hare.hit(this.volleyball) /
      this.volleyball.fly away() /
    }
    this.hare.getHead().turn(TypeExpression.BACKWARD, 0.125) /
    this.hare.say(Aww man..) /",3,6,0,140
compton-drew-data-RubySlippers,dotogether-l,PUZZLE,1/3/2/4/6/5/7/,1/3/2/4/5/6/7/,C/I/U/U/U/U/U/,55,61
compton-drew-data-RubySlippers,dotogether-l,PUZZLE,1/3/2/4/5/6/7/,1/3/2/5/4/6/7/,C/I/U/U/U/U/U/,77,83
compton-drew-data-RubySlippers,dotogether-l,PUZZLE,1/3/2/5/4/6/7/,1/3/2/4/6/5/7/,C/I/U/U/U/U/U/,92,97
compton-drew-data-RubySlippers,dotogether-l,PUZZLE,1/3/2/4/6/5/7/,1/2/3/4/6/5/7/,C/I/U/U/U/U/U/,104,109
compton-drew-data-RubySlippers,dotogether-l,PUZZLE,1/2/3/4/6/5/7/,1/2/3/4/6/5/7/,C/C/C/C/C/C/C/,131,140
compton-drew-data-RubySlippers,dotogether-l,END,"    this.cheshireCat.say(Okay Alice, your turn now.) /
    this.alice.move(TypeExpression.BACKWARD, 1.0) /
    do together / {
      this.alice.move legs() /
      this.alice.move(TypeExpression.UP, 1.0) /
      this.alice.moveToward(this.cheshireCat, 3.0) /
    }
    this.alice.say(I'm stuck!) /",4,7,0,147
compton-drew-data-RubySlippers,dotogether-d,PUZZLE,1/5/4/3/2/7/8/6/,1/5/4/3/2/7/8/6/,C/C/C/C/C/C/C/C/,55,63
compton-drew-data-RubySlippers,dotogether-d,END,"    this.mandril.think(A treasure chest!) /
    do together / {
      this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
      this.treasureChest.say(Hello!) /
    }
    do together / {
      this.mandril.turn(TypeExpression.LEFT, 0.5) /
      this.mandril.walk(10.0) /
      this.mandril.say(Ahhhhhh!) /
    }",2,8,0,67
compton-drew-data-RubySlippers,dotogether-c,PUZZLE,1/2/3/4/6/5/7/,1/2/3/4/5/6/7/,C/C/C/C/I/C/U/,45,53
compton-drew-data-RubySlippers,dotogether-c,PUZZLE,1/2/3/4/5/6/7/,1/2/4/3/5/6/7/,C/C/C/C/C/I/U/,62,67
compton-drew-data-RubySlippers,dotogether-c,PUZZLE,1/2/4/3/5/6/7/,1/2/3/5/4/6/7/,C/C/I/U/U/U/U/,71,77
