codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
compton-drew-data-WaterMarble,sequential-c,PUZZLE,2/6/3/4/5/1/,1/5/2/3/4/6/,I/U/U/U/U/U/,96,110
compton-drew-data-WaterMarble,sequential-c,PUZZLE,1/5/2/3/4/6/,1/2/3/4/5/6/,C/I/U/U/U/U/,124,134
compton-drew-data-WaterMarble,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,143,153
compton-drew-data-WaterMarble,sequential-c,END,"    this.hare.swing arm() /
    this.volleyball.move(TypeExpression.DOWN, 0.6) /
    this.hare.look down() /
    this.hare.getRightHip().turn(TypeExpression.FORWARD, 0.25) /
    this.hare.kick(this.volleyball) /
    this.net.turn(TypeExpression.BACKWARD, 0.25) /",2,6,0,176
compton-drew-data-WaterMarble,sequential-d,PUZZLE,1/8/3/4/6/5/7/2/,1/7/2/3/5/4/6/8/,C/I/U/U/U/U/U/U/,55,62
compton-drew-data-WaterMarble,sequential-d,PUZZLE,1/7/2/3/5/4/6/8/,1/7/3/2/5/4/6/8/,C/I/U/U/U/U/U/U/,68,79
compton-drew-data-WaterMarble,sequential-d,PUZZLE,1/7/3/2/5/4/6/8/,1/2/3/8/5/4/6/7/,C/I/U/U/U/U/U/U/,86,91
compton-drew-data-WaterMarble,sequential-d,PUZZLE,1/2/3/8/5/4/6/7/,1/2/3/4/6/5/7/8/,C/C/C/I/U/U/U/U/,98,114
compton-drew-data-WaterMarble,sequential-d,PUZZLE,1/2/3/4/6/5/7/8/,1/2/3/5/6/4/7/8/,C/C/C/C/I/U/U/U/,123,140
compton-drew-data-WaterMarble,sequential-d,PUZZLE,1/2/3/5/6/4/7/8/,1/2/3/4/5/-1/6/7/,C/C/C/I/U/U/U/U/,146,161
compton-drew-data-WaterMarble,sequential-d,PUZZLE,1/2/3/4/5/-1/6/7/,1/2/3/4/6/-1/5/7/,C/C/C/C/C/I/U/U/,165,181
compton-drew-data-WaterMarble,sequential-d,PUZZLE,1/2/3/4/6/-1/5/7/,1/2/3/6/5/-1/4/7/,C/C/C/C/I/U/U/U/,195,212
compton-drew-data-WaterMarble,sequential-d,REFERENCE,1/2/3/6/5/-1/4/7/,1/2/3/4/5/6/7/8/,C/C/C/I/U/U/U/U/,220,239
compton-drew-data-WaterMarble,sequential-d,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,248,265
compton-drew-data-WaterMarble,sequential-d,END,"    this.monkey.walk(1.5) /
    this.monkey.jump and spin() /
    this.monkey.walk up to(this.treasureChest) /
    this.monkey.raise arms() /
    this.treasureChest.open slightly() /
    this.monkey.bang on(this.treasureChest) /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
    this.treasureMonkey.raise arms() /",4,8,0,275
compton-drew-data-WaterMarble,sequential-g,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,40,56
compton-drew-data-WaterMarble,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",2,6,0,62
compton-drew-data-WaterMarble,dotogether-b,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,56,65
compton-drew-data-WaterMarble,dotogether-b,END,"    this.troll.say(Ahhhhhh) /
    do together / {
      this.troll.sneeze and raise arms() /
      this.boat.move(TypeExpression.BACKWARD, 5.0) /
    }
    this.manatee.move(TypeExpression.UP, 0.5) /
    this.manatee.say(Bless you!) /",2,6,0,70
compton-drew-data-WaterMarble,dotogether-a,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,66,78
compton-drew-data-WaterMarble,dotogether-a,END,"    this.penguin.say(Everyone, I'd like you to meet Derek.) /
    this.DerekTheYeti.say(Hello.) /
    this.DerekTheYeti.moveToward(this.babyPenguin2, 0.5) /
    do together / {
      this.babyPenguin1.jump back() /
      this.babyPenguin2.jump back() /
      this.babyPenguin3.jump back() /
    }
    this.penguin.say(He's harmless and very kind!) /",2,8,0,80
compton-drew-data-WaterMarble,dotogether-o,PUZZLE,5/3/1/2/4/6/,4/1/2/3/5/6/,I/U/U/U/U/U/,42,49
compton-drew-data-WaterMarble,dotogether-o,PUZZLE,4/1/2/3/5/6/,3/4/1/2/5/6/,I/U/U/U/U/U/,69,79
compton-drew-data-WaterMarble,dotogether-o,PUZZLE,3/4/1/2/5/6/,3/4/1/2/5/6/,I/U/U/U/U/U/,97,109
compton-drew-data-WaterMarble,dotogether-o,REFERENCE,3/4/1/2/5/6/,3/4/1/2/5/6/,I/U/U/U/U/U/,127,-1
compton-drew-data-WaterMarble,dotogether-o,REFERENCE,3/4/1/2/5/6/,4/2/1/3/5/6/,I/U/U/U/U/U/,136,144
compton-drew-data-WaterMarble,dotogether-o,PUZZLE,4/2/1/3/5/6/,4/2/3/1/5/6/,I/U/U/U/U/U/,161,168
compton-drew-data-WaterMarble,dotogether-o,PUZZLE,4/2/3/1/5/6/,1/2/3/4/5/6/,I/U/U/U/U/U/,174,182
compton-drew-data-WaterMarble,dotogether-o,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,190,198
compton-drew-data-WaterMarble,dotogether-o,END,"    this.hare.getRightShoulder().turn(TypeExpression.RIGHT, 0.125) /
    do together / {
      this.hare.hit(this.volleyball) /
      this.volleyball.fly away() /
    }
    this.hare.getHead().turn(TypeExpression.BACKWARD, 0.125) /
    this.hare.say(Aww man..) /",6,6,0,208
compton-drew-data-WaterMarble,dotogether-n,PUZZLE,1/-1/2/3/4/5/6/,1/2/4/3/5/6/7/,C/I/U/U/U/U/U/,60,67
compton-drew-data-WaterMarble,dotogether-n,PUZZLE,1/2/4/3/5/6/7/,1/4/2/3/5/6/7/,C/C/I/U/U/U/U/,75,84
compton-drew-data-WaterMarble,dotogether-n,PUZZLE,1/4/2/3/5/6/7/,1/2/4/3/5/6/7/,C/I/U/U/U/U/U/,92,102
compton-drew-data-WaterMarble,dotogether-n,PUZZLE,1/2/4/3/5/6/7/,1/2/4/3/5/6/7/,C/C/I/U/U/U/U/,119,130
compton-drew-data-WaterMarble,dotogether-n,REFERENCE,1/2/4/3/5/6/7/,1/2/4/3/5/6/7/,C/C/I/U/U/U/U/,143,-1
compton-drew-data-WaterMarble,dotogether-n,REFERENCE,1/2/4/3/5/6/7/,1/2/3/4/5/6/7/,C/C/I/U/U/U/U/,159,169
compton-drew-data-WaterMarble,dotogether-n,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,173,183
compton-drew-data-WaterMarble,dotogether-n,END,"    this.playingCard.say(Alice was just here I promise!!) /
    Comment /
    this.queenOfHearts.say(We BETTER find her!) /
    do together / {
      this.queenOfHearts.walk forward() /
      this.playingCard.walk forward() /
    }
    this.alice.sneak away() /",4,7,0,187
compton-drew-data-WaterMarble,dotogether-m,PUZZLE,1/2/4/3/5/6/7/8/,1/2/4/3/5/6/7/8/,C/C/C/C/C/C/C/C/,39,52
compton-drew-data-WaterMarble,dotogether-m,END,"    this.hare.say(1...2...3...JUMP!) /
    do together / {
      this.pig.jump() /
      this.hare.jump() /
    }
    this.caiman.snap jaws() /
    do together / {
      this.pig.say(UH OH!) /
      this.hare.say(UH OH!) /
    }",2,8,0,55
compton-drew-data-WaterMarble,dotogether-c,PUZZLE,1/2/4/5/6/3/7/,1/2/5/4/6/3/7/,C/C/I/U/U/U/U/,49,57
compton-drew-data-WaterMarble,dotogether-c,PUZZLE,1/2/5/4/6/3/7/,1/2/4/3/6/5/7/,C/C/I/U/U/U/U/,60,67
compton-drew-data-WaterMarble,dotogether-c,PUZZLE,1/2/4/3/6/5/7/,1/2/3/4/6/5/7/,C/C/I/U/U/U/U/,335,347
compton-drew-data-WaterMarble,dotogether-c,PUZZLE,1/2/3/4/6/5/7/,1/2/3/4/6/5/7/,C/C/C/C/I/C/I/,374,384
compton-drew-data-WaterMarble,dotogether-c,PUZZLE,1/2/3/4/6/5/7/,1/2/3/4/6/5/7/,C/C/C/C/I/C/U/,391,407
compton-drew-data-WaterMarble,dotogether-c,REFERENCE,1/2/3/4/6/5/7/,1/2/3/4/5/6/7/,C/C/C/C/I/C/U/,426,438
compton-drew-data-WaterMarble,dotogether-c,PUZZLE,1/2/3/4/5/6/7/,1/2/4/3/5/6/7/,C/C/C/C/C/I/U/,444,533
compton-drew-data-WaterMarble,dotogether-c,PUZZLE,1/2/4/3/5/6/7/,1/2/4/3/5/6/-1/,C/C/I/U/U/U/U/,647,664
compton-drew-data-WaterMarble,dotogether-c,PUZZLE,1/2/4/3/5/6/-1/,1/2/5/3/6/4/7/,C/C/I/U/U/U/U/,677,865
compton-drew-data-WaterMarble,dotogether-c,PUZZLE,1/2/5/3/6/4/7/,1/2/4/3/6/5/7/,C/C/I/U/U/U/U/,887,900
compton-drew-data-WaterMarble,dotogether-c,PUZZLE,1/2/4/3/6/5/7/,1/2/3/4/6/5/7/,C/C/I/U/U/U/U/,2746,2754
compton-drew-data-WaterMarble,dotogether-c,PUZZLE,1/2/3/4/6/5/7/,1/2/3/4/5/6/7/,C/C/C/C/I/I/U/,2761,2769
compton-drew-data-WaterMarble,dotogether-c,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,2776,2786
compton-drew-data-WaterMarble,dotogether-c,END,"    this.Troll.say(What's for dinner?) /
    this.Witch.say(YOU!) /
    do together / {
      this.Troll.moveTo(this.Cauldron) /
      this.Troll.raise arms and scream() /
    }
    this.Troll.turn(TypeExpression.RIGHT, 8.0) /
    this.Troll.disappear() /",7,7,0,2789
compton-drew-data-WaterMarble,dotogether-e,PUZZLE,1/2/4/3/5/9/8/7/6/,1/2/4/3/5/9/8/7/6/,C/C/C/C/C/C/C/C/C/,51,63
compton-drew-data-WaterMarble,dotogether-e,END,"    this.bush.rustle() /
    do together / {
      this.Witch.getHead().turn(TypeExpression.RIGHT, 0.125) /
      this.Witch.say(What was that?) /
    }
    do together / {
      this.Troll.legs shake() /
      this.Troll.bend over() /
      this.Troll.turn(TypeExpression.RIGHT, 0.5) /
      this.Troll.think(This place is scary..) /
    }",2,9,0,67
compton-drew-data-WaterMarble,dotogether-d,PUZZLE,1/2/4/3/5/7/8/6/,1/2/4/3/5/8/7/6/,C/C/C/C/C/C/C/I/,40,50
compton-drew-data-WaterMarble,dotogether-d,PUZZLE,1/2/4/3/5/8/7/6/,1/2/4/3/5/8/7/6/,C/C/C/C/C/C/C/I/,59,69
compton-drew-data-WaterMarble,dotogether-d,PUZZLE,1/2/4/3/5/8/7/6/,1/2/4/3/5/8/7/6/,C/C/C/C/C/C/I/I/,77,87
compton-drew-data-WaterMarble,dotogether-d,PUZZLE,1/2/4/3/5/8/7/6/,1/2/4/3/5/8/7/6/,C/C/C/C/C/C/C/C/,96,104
compton-drew-data-WaterMarble,dotogether-d,END,"    this.mandril.think(A treasure chest!) /
    do together / {
      this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
      this.treasureChest.say(Hello!) /
    }
    do together / {
      this.mandril.turn(TypeExpression.LEFT, 0.5) /
      this.mandril.walk(10.0) /
      this.mandril.say(Ahhhhhh!) /
    }",3,8,0,107
compton-drew-data-WaterMarble,dotogether-f,REFERENCE,2/-1/-1/4/1/3/-1/-1/,2/5/6/3/1/4/7/8/,I/U/U/U/U/U/U/U/,32,40
compton-drew-data-WaterMarble,dotogether-f,PUZZLE,2/5/6/3/1/4/7/8/,2/5/3/6/1/4/7/8/,I/U/U/U/U/U/U/U/,64,73
compton-drew-data-WaterMarble,dotogether-f,PUZZLE,2/5/3/6/1/4/7/8/,1/6/4/5/2/3/7/8/,I/U/U/U/U/U/U/U/,80,89
compton-drew-data-WaterMarble,dotogether-f,PUZZLE,1/6/4/5/2/3/7/8/,1/6/4/5/2/3/7/8/,C/C/I/C/C/U/U/U/,103,-1
compton-drew-data-WaterMarble,dotogether-f,REFERENCE,1/6/4/5/2/3/7/8/,1/5/3/4/2/6/7/8/,C/C/I/C/C/U/U/U/,115,123
compton-drew-data-WaterMarble,dotogether-f,PUZZLE,1/5/3/4/2/6/7/8/,1/5/3/4/2/6/7/8/,C/C/C/C/C/C/C/C/,129,138
compton-drew-data-WaterMarble,dotogether-f,END,"    this.Witch.say(I will turn you to stone!) /
    do together / {
      this.Ogre.move(TypeExpression.DOWN, 0.375) /
      this.Ogre.bend knees() /
    }
    do together / {
      this.Witch.cast spell() /
      this.Ogre.getRightShoulder().turn(TypeExpression.LEFT, 0.25) /
      this.Ogre.setPaint(InstanceCreation) /
    }",3,8,0,142
compton-drew-data-WaterMarble,dotogether-l,PUZZLE,1/2/3/4/6/5/7/,1/2/3/4/6/5/7/,C/C/C/C/C/I/U/,42,53
compton-drew-data-WaterMarble,dotogether-l,PUZZLE,1/2/3/4/6/5/7/,1/2/3/4/6/5/7/,C/C/C/C/C/C/C/,57,70
compton-drew-data-WaterMarble,dotogether-l,END,"    this.cheshireCat.say(Okay Alice, your turn now.) /
    this.alice.move(TypeExpression.BACKWARD, 1.0) /
    do together / {
      this.alice.move legs() /
      this.alice.move(TypeExpression.UP, 1.0) /
      this.alice.moveToward(this.cheshireCat, 3.0) /
    }
    this.alice.say(I'm stuck!) /",2,7,0,77
compton-drew-data-WaterMarble,dotogether-i,REFERENCE,1/2/3/4/5/-1/-1/-1/-1/-1/,1/2/3/4/5/8/7/6/9/10/,C/C/C/C/C/I/U/U/U/U/,33,40
compton-drew-data-WaterMarble,dotogether-i,PUZZLE,1/2/3/4/5/8/7/6/9/10/,1/2/3/4/5/6/8/7/9/10/,C/C/C/C/C/I/U/U/U/U/,73,82
