codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
carr-lane-1-AlmondSparkles,sequential-d,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/,1/2/-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/U/,48,71
carr-lane-1-AlmondSparkles,sequential-d,PUZZLE,1/2/-1/-1/-1/-1/-1/-1/,1/2/3/-1/-1/-1/-1/-1/,C/C/I/U/U/U/U/U/,109,117
carr-lane-1-AlmondSparkles,sequential-d,PUZZLE,1/2/3/-1/-1/-1/-1/-1/,1/2/3/-1/-1/-1/-1/4/,C/C/C/I/U/U/U/U/,137,147
carr-lane-1-AlmondSparkles,sequential-d,PUZZLE,1/2/3/-1/-1/-1/-1/4/,1/2/3/-1/-1/4/-1/-1/,C/C/C/I/U/U/U/U/,155,167
carr-lane-1-AlmondSparkles,sequential-d,PUZZLE,1/2/3/-1/-1/4/-1/-1/,1/2/3/-1/-1/-1/-1/-1/,C/C/C/I/U/U/U/U/,197,210
carr-lane-1-AlmondSparkles,sequential-d,REFERENCE,1/2/3/-1/-1/-1/-1/-1/,1/2/3/4/-1/5/6/-1/,C/C/C/I/U/U/U/U/,214,232
carr-lane-1-AlmondSparkles,sequential-d,PUZZLE,1/2/3/4/-1/5/6/-1/,1/2/3/4/-1/5/6/-1/,C/C/C/C/I/U/U/U/,265,-1
carr-lane-1-AlmondSparkles,sequential-d,REFERENCE,1/2/3/4/-1/5/6/-1/,1/2/3/4/7/6/5/8/,C/C/C/C/I/U/U/U/,287,300
carr-lane-1-AlmondSparkles,sequential-d,PUZZLE,1/2/3/4/7/6/5/8/,1/2/3/4/5/6/7/8/,C/C/C/C/I/U/U/U/,324,342
carr-lane-1-AlmondSparkles,sequential-d,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,361,421
