codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
girlscouts-data-AprilShowers,sequential-c,PUZZLE,1/2/4/3/5/6/,1/2/4/3/5/6/,C/C/I/U/U/U/,151,-1
girlscouts-data-AprilShowers,sequential-c,REFERENCE,1/2/4/3/5/6/,2/3/4/1/5/6/,C/C/I/U/U/U/,167,188
girlscouts-data-AprilShowers,sequential-c,PUZZLE,2/3/4/1/5/6/,1/2/3/6/4/5/,I/U/U/U/U/U/,214,223
girlscouts-data-AprilShowers,sequential-c,REFERENCE,1/2/3/6/4/5/,1/2/3/6/4/5/,C/C/C/I/U/U/,229,-1
girlscouts-data-AprilShowers,sequential-c,PUZZLE,1/2/3/6/4/5/,1/2/3/-1/4/5/,C/C/C/I/U/U/,243,260
girlscouts-data-AprilShowers,sequential-c,PUZZLE,1/2/3/-1/4/5/,1/2/3/5/4/6/,C/C/C/I/U/U/,290,303
girlscouts-data-AprilShowers,sequential-c,PUZZLE,1/2/3/5/4/6/,1/2/3/4/5/6/,C/C/C/I/U/U/,317,329
girlscouts-data-AprilShowers,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,347,366
girlscouts-data-AprilShowers,sequential-c,END,"    this.hare.swing arm() /
    this.volleyball.move(TypeExpression.DOWN, 0.6) /
    this.hare.look down() /
    this.hare.getRightHip().turn(TypeExpression.FORWARD, 0.25) /
    this.hare.kick(this.volleyball) /
    this.net.turn(TypeExpression.BACKWARD, 0.25) /",1,6,0,384
girlscouts-data-AprilShowers,sequential-d,PUZZLE,-1/-1/-1/-1/1/-1/2/-1/,-1/-1/-1/-1/2/-1/1/-1/,I/U/U/U/U/U/U/U/,43,52
girlscouts-data-AprilShowers,sequential-d,PUZZLE,-1/-1/-1/-1/2/-1/1/-1/,-1/-1/3/-1/1/4/2/-1/,I/U/U/U/U/U/U/U/,60,67
girlscouts-data-AprilShowers,sequential-d,PUZZLE,-1/-1/3/-1/1/4/2/-1/,-1/1/3/-1/-1/4/2/-1/,I/U/U/U/U/U/U/U/,119,131
girlscouts-data-AprilShowers,sequential-d,PUZZLE,-1/1/3/-1/-1/4/2/-1/,-1/2/1/-1/-1/4/3/-1/,I/U/U/U/U/U/U/U/,158,171
girlscouts-data-AprilShowers,sequential-d,PUZZLE,-1/2/1/-1/-1/4/3/-1/,1/2/-1/-1/-1/4/3/-1/,I/U/U/U/U/U/U/U/,179,190
girlscouts-data-AprilShowers,sequential-d,PUZZLE,1/2/-1/-1/-1/4/3/-1/,1/2/-1/-1/-1/3/-1/-1/,C/C/I/U/U/U/U/U/,205,220
girlscouts-data-AprilShowers,sequential-d,REFERENCE,1/2/-1/-1/-1/3/-1/-1/,1/2/-1/-1/-1/3/-1/-1/,C/C/I/U/U/U/U/U/,231,-1
girlscouts-data-AprilShowers,sequential-d,PUZZLE,1/2/-1/-1/-1/3/-1/-1/,1/2/-1/3/-1/4/-1/-1/,C/C/I/U/U/U/U/U/,251,262
girlscouts-data-AprilShowers,sequential-d,PUZZLE,1/2/-1/3/-1/4/-1/-1/,1/2/-1/4/-1/5/-1/3/,C/C/I/U/U/U/U/U/,285,301
girlscouts-data-AprilShowers,sequential-d,PUZZLE,1/2/-1/4/-1/5/-1/3/,1/2/-1/3/-1/4/-1/-1/,C/C/I/U/U/U/U/U/,345,363
girlscouts-data-AprilShowers,sequential-d,PUZZLE,1/2/-1/3/-1/4/-1/-1/,1/2/3/4/-1/5/-1/-1/,C/C/I/U/U/U/U/U/,377,389
girlscouts-data-AprilShowers,sequential-d,PUZZLE,1/2/3/4/-1/5/-1/-1/,1/2/3/4/-1/5/-1/-1/,C/C/C/C/I/U/U/U/,406,-1
girlscouts-data-AprilShowers,sequential-d,REFERENCE,1/2/3/4/-1/5/-1/-1/,1/2/3/4/-1/5/-1/6/,C/C/C/C/I/U/U/U/,536,796
girlscouts-data-AprilShowers,sequential-d,PUZZLE,1/2/3/4/-1/5/-1/6/,1/2/3/4/-1/6/5/7/,C/C/C/C/I/U/U/U/,2265,2282
girlscouts-data-AprilShowers,sequential-d,PUZZLE,1/2/3/4/-1/6/5/7/,1/2/3/4/-1/5/6/7/,C/C/C/C/I/U/U/U/,2291,2307
girlscouts-data-AprilShowers,sequential-d,PUZZLE,1/2/3/4/-1/5/6/7/,1/2/3/4/6/5/7/8/,C/C/C/C/I/U/U/U/,2321,2334
girlscouts-data-AprilShowers,sequential-d,PUZZLE,1/2/3/4/6/5/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/I/U/U/U/,2344,2359
girlscouts-data-AprilShowers,sequential-d,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,2374,2394
girlscouts-data-AprilShowers,sequential-d,END,"    this.monkey.walk(1.5) /
    this.monkey.jump and spin() /
    this.monkey.walk up to(this.treasureChest) /
    this.monkey.raise arms() /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.0125) /
    this.monkey.bang on(this.treasureChest) /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
    this.treasureMonkey.raise arms() /",4,8,0,2406
girlscouts-data-AprilShowers,dotogether-a,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,117,128
girlscouts-data-AprilShowers,dotogether-a,END,"    this.penguin.say(Everyone, I'd like you to meet Derek.) /
    this.DerekTheYeti.say(Hello.) /
    this.DerekTheYeti.moveToward(this.babyPenguin2, 0.5) /
    do together / {
      this.babyPenguin1.jump back() /
      this.babyPenguin2.jump back() /
      this.babyPenguin3.jump back() /
    }
    this.penguin.say(He's harmless and very kind!) /",2,8,0,133
girlscouts-data-AprilShowers,dotogether-o,PUZZLE,-1/-1/1/-1/-1/-1/,-1/-1/1/-1/-1/-1/,I/U/U/U/U/U/,24,-1
girlscouts-data-AprilShowers,dotogether-o,REFERENCE,-1/-1/1/-1/-1/-1/,4/3/1/2/5/6/,I/U/U/U/U/U/,29,43
girlscouts-data-AprilShowers,dotogether-o,PUZZLE,4/3/1/2/5/6/,4/3/1/2/5/6/,I/U/U/U/U/U/,82,-1
girlscouts-data-AprilShowers,dotogether-o,PUZZLE,4/3/1/2/5/6/,5/4/2/3/1/6/,I/U/U/U/U/U/,90,98
girlscouts-data-AprilShowers,dotogether-o,PUZZLE,5/4/2/3/1/6/,1/4/2/3/5/6/,I/U/U/U/U/U/,112,117
girlscouts-data-AprilShowers,dotogether-o,PUZZLE,1/4/2/3/5/6/,1/4/2/3/5/6/,C/I/U/U/U/U/,131,-1
girlscouts-data-AprilShowers,dotogether-o,REFERENCE,1/4/2/3/5/6/,1/4/3/2/5/6/,C/I/U/U/U/U/,149,161
girlscouts-data-AprilShowers,dotogether-o,PUZZLE,1/4/3/2/5/6/,1/2/4/3/5/6/,C/I/U/U/U/U/,174,181
girlscouts-data-AprilShowers,dotogether-o,PUZZLE,1/2/4/3/5/6/,1/2/4/3/5/6/,C/C/C/C/C/C/,212,221
girlscouts-data-AprilShowers,dotogether-o,END,"    this.hare.getRightShoulder().turn(TypeExpression.RIGHT, 0.125) /
    do together / {
      this.hare.hit(this.volleyball) /
      this.volleyball.fly away() /
    }
    this.hare.getHead().turn(TypeExpression.BACKWARD, 0.125) /
    this.hare.say(Aww man..) /",2,6,0,229
girlscouts-data-AprilShowers,sequential-g,REFERENCE,1/2/4/3/5/6/7/,1/2/4/3/5/6/7/,C/C/I/U/U/U/U/,82,-1
girlscouts-data-AprilShowers,sequential-g,PUZZLE,1/2/4/3/5/6/7/,1/2/4/3/5/6/7/,C/C/I/U/U/U/U/,85,-1
girlscouts-data-AprilShowers,sequential-g,REFERENCE,1/2/4/3/5/6/7/,1/2/3/4/5/6/7/,C/C/I/U/U/U/U/,100,109
girlscouts-data-AprilShowers,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,117,131
girlscouts-data-AprilShowers,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",3,7,0,138
girlscouts-data-AprilShowers,dotogether-n,PUZZLE,1/2/3/5/4/6/,1/2/3/5/4/6/,C/C/C/C/C/C/,72,82
girlscouts-data-AprilShowers,dotogether-n,END,"    this.playingCard.say(Alice was just here I promise!!) /
    this.queenOfHearts.say(We BETTER find her!) /
    do together / {
      this.queenOfHearts.walk forward() /
      this.playingCard.walk forward() /
    }
    this.alice.sneak away() /",2,6,0,90
girlscouts-data-AprilShowers,dotogether-m,PUZZLE,1/5/4/3/8/2/7/6/,1/5/4/3/8/2/7/6/,C/C/C/C/I/U/U/U/,67,75
girlscouts-data-AprilShowers,dotogether-m,PUZZLE,1/5/4/3/8/2/7/6/,1/6/4/3/5/2/8/7/,C/C/C/C/I/U/U/U/,101,112
girlscouts-data-AprilShowers,dotogether-m,PUZZLE,1/6/4/3/5/2/8/7/,1/6/4/3/5/2/8/7/,C/C/C/C/C/C/C/C/,122,135
girlscouts-data-AprilShowers,dotogether-m,END,"    this.hare.say(1...2...3...JUMP!) /
    do together / {
      this.pig.jump() /
      this.hare.jump() /
    }
    this.caiman.snap jaws() /
    do together / {
      this.pig.say(UH OH!) /
      this.hare.say(UH OH!) /
    }",3,8,0,146
girlscouts-data-AprilShowers,dotogether-b,PUZZLE,2/1/3/-1/-1/-1/,1/2/3/4/5/6/,I/U/U/U/U/U/,74,79
girlscouts-data-AprilShowers,dotogether-b,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,247,260
