codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
girlscouts-data-JumpingBean,sequential-d,PUZZLE,1/-1/-1/-1/-1/-1/-1/-1/,1/2/3/-1/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/,130,134
girlscouts-data-JumpingBean,sequential-d,PUZZLE,1/2/3/-1/-1/-1/-1/-1/,1/2/3/-1/-1/-1/-1/-1/,C/C/C/I/U/U/U/U/,156,-1
girlscouts-data-JumpingBean,sequential-d,REFERENCE,1/2/3/-1/-1/-1/-1/-1/,1/2/3/4/5/6/7/8/,C/C/C/I/U/U/U/U/,166,179
girlscouts-data-JumpingBean,sequential-d,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,225,255
girlscouts-data-JumpingBean,sequential-d,END,"    this.monkey.walk(1.5) /
    this.monkey.jump and spin() /
    this.monkey.walk up to(this.treasureChest) /
    this.monkey.raise arms() /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.0125) /
    this.monkey.bang on(this.treasureChest) /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
    this.treasureMonkey.raise arms() /",4,8,0,269
girlscouts-data-JumpingBean,sequential-d,PUZZLE,1/-1/-1/-1/-1/-1/-1/-1/,1/2/3/-1/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/,130,134
girlscouts-data-JumpingBean,sequential-d,PUZZLE,1/2/3/-1/-1/-1/-1/-1/,1/2/3/4/5/6/7/8/,C/C/C/I/U/U/U/U/,156,-1
girlscouts-data-JumpingBean,sequential-d,REFERENCE,1/2/3/-1/-1/-1/-1/-1/,1/2/3/4/5/6/7/8/,C/C/C/I/U/U/U/U/,166,179
girlscouts-data-JumpingBean,sequential-d,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,225,255
girlscouts-data-JumpingBean,sequential-d,END,"    this.monkey.walk(1.5) /
    this.monkey.jump and spin() /
    this.monkey.walk up to(this.treasureChest) /
    this.monkey.raise arms() /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.0125) /
    this.monkey.bang on(this.treasureChest) /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
    this.treasureMonkey.raise arms() /",3,8,0,271
girlscouts-data-JumpingBean,sequential-g,REFERENCE,-1/-1/-1/-1/-1/-1/-1/,1/2/3/4/5/-1/-1/,I/U/U/U/U/U/U/,40,49
girlscouts-data-JumpingBean,sequential-g,PUZZLE,1/2/3/4/5/-1/-1/,1/2/3/4/5/6/7/,C/C/C/C/C/I/U/,101,113
girlscouts-data-JumpingBean,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,130,145
girlscouts-data-JumpingBean,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",3,7,0,152
girlscouts-data-JumpingBean,dotogether-a,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,86,96
girlscouts-data-JumpingBean,dotogether-a,END,"    this.penguin.say(Everyone, I'd like you to meet Derek.) /
    this.DerekTheYeti.say(Hello.) /
    this.DerekTheYeti.moveToward(this.babyPenguin2, 0.5) /
    do together / {
      this.babyPenguin1.jump back() /
      this.babyPenguin2.jump back() /
      this.babyPenguin3.jump back() /
    }
    this.penguin.say(He's harmless and very kind!) /",2,8,0,102
girlscouts-data-JumpingBean,dotogether-a,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,86,96
girlscouts-data-JumpingBean,dotogether-a,END,"    this.penguin.say(Everyone, I'd like you to meet Derek.) /
    this.DerekTheYeti.say(Hello.) /
    this.DerekTheYeti.moveToward(this.babyPenguin2, 0.5) /
    do together / {
      this.babyPenguin1.jump back() /
      this.babyPenguin2.jump back() /
      this.babyPenguin3.jump back() /
    }
    this.penguin.say(He's harmless and very kind!) /",2,8,0,104
girlscouts-data-JumpingBean,sequential-c,REFERENCE,-1/-1/-1/-1/-1/-1/,1/2/3/4/5/6/,I/U/U/U/U/U/,29,39
girlscouts-data-JumpingBean,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,87,99
girlscouts-data-JumpingBean,sequential-c,END,"    this.hare.swing arm() /
    this.volleyball.move(TypeExpression.DOWN, 0.6) /
    this.hare.look down() /
    this.hare.getRightHip().turn(TypeExpression.FORWARD, 0.25) /
    this.hare.kick(this.volleyball) /
    this.net.turn(TypeExpression.BACKWARD, 0.25) /",2,6,0,103
girlscouts-data-JumpingBean,dotogether-m,PUZZLE,1/6/3/4/5/2/8/7/,1/6/3/4/5/2/8/7/,C/C/C/C/C/C/C/C/,97,114
girlscouts-data-JumpingBean,dotogether-m,END,"    this.hare.say(1...2...3...JUMP!) /
    do together / {
      this.pig.jump() /
      this.hare.jump() /
    }
    this.caiman.snap jaws() /
    do together / {
      this.pig.say(UH OH!) /
      this.hare.say(UH OH!) /
    }",2,8,0,1964
girlscouts-data-JumpingBean,dotogether-o,REFERENCE,-1/-1/-1/-1/-1/-1/,1/-1/2/3/-1/-1/,I/U/U/U/U/U/,31,38
