codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
girlscouts-data-LittleTeacup,sequential-g,REFERENCE,-1/1/-1/2/3/-1/-1/,1/2/6/3/4/5/7/,I/U/U/U/U/U/U/,83,95
girlscouts-data-LittleTeacup,sequential-g,PUZZLE,1/2/6/3/4/5/7/,1/2/6/3/4/5/7/,C/C/I/U/U/U/U/,147,-1
girlscouts-data-LittleTeacup,sequential-g,PUZZLE,1/2/6/3/4/5/7/,1/2/6/3/4/5/7/,C/C/I/U/U/U/U/,168,177
girlscouts-data-LittleTeacup,sequential-g,PUZZLE,1/2/6/3/4/5/7/,1/2/6/4/3/5/7/,C/C/I/U/U/U/U/,211,228
girlscouts-data-LittleTeacup,sequential-g,PUZZLE,1/2/6/4/3/5/7/,1/3/6/4/2/5/7/,C/C/I/U/U/U/U/,247,257
girlscouts-data-LittleTeacup,sequential-g,PUZZLE,1/3/6/4/2/5/7/,1/2/5/4/3/6/7/,C/I/U/U/U/U/U/,269,278
girlscouts-data-LittleTeacup,sequential-g,PUZZLE,1/2/5/4/3/6/7/,1/2/5/4/3/6/7/,C/C/I/U/U/U/U/,311,-1
girlscouts-data-LittleTeacup,sequential-g,REFERENCE,1/2/5/4/3/6/7/,1/2/3/4/5/6/7/,C/C/I/U/U/U/U/,322,332
girlscouts-data-LittleTeacup,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,353,368
girlscouts-data-LittleTeacup,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",4,7,0,399
girlscouts-data-LittleTeacup,sequential-d,REFERENCE,-1/1/2/-1/-1/-1/-1/-1/,1/2/3/-1/-1/5/-1/4/,I/U/U/U/U/U/U/U/,54,70
girlscouts-data-LittleTeacup,sequential-d,REFERENCE,1/2/3/-1/-1/5/-1/4/,1/2/3/-1/-1/5/-1/4/,C/C/C/I/U/U/U/U/,119,-1
girlscouts-data-LittleTeacup,sequential-d,REFERENCE,1/2/3/-1/-1/5/-1/4/,1/2/3/8/7/5/6/4/,C/C/C/I/U/U/U/U/,139,158
girlscouts-data-LittleTeacup,sequential-d,PUZZLE,1/2/3/8/7/5/6/4/,1/2/3/8/7/4/6/5/,C/C/C/I/U/U/U/U/,196,213
girlscouts-data-LittleTeacup,sequential-d,PUZZLE,1/2/3/8/7/4/6/5/,1/2/3/8/7/5/6/4/,C/C/C/I/U/U/U/U/,227,242
girlscouts-data-LittleTeacup,sequential-d,PUZZLE,1/2/3/8/7/5/6/4/,1/2/3/8/7/5/6/4/,C/C/C/I/U/U/U/U/,259,273
girlscouts-data-LittleTeacup,sequential-d,REFERENCE,1/2/3/8/7/5/6/4/,1/2/3/8/7/4/6/5/,C/C/C/I/U/U/U/U/,292,307
girlscouts-data-LittleTeacup,sequential-d,PUZZLE,1/2/3/8/7/4/6/5/,1/2/3/4/8/5/7/6/,C/C/C/I/U/U/U/U/,332,346
girlscouts-data-LittleTeacup,sequential-d,PUZZLE,1/2/3/4/8/5/7/6/,1/2/3/4/8/5/6/7/,C/C/C/C/I/U/U/U/,372,391
girlscouts-data-LittleTeacup,sequential-d,PUZZLE,1/2/3/4/8/5/6/7/,1/2/3/4/8/5/6/7/,C/C/C/C/I/U/U/U/,410,1656
girlscouts-data-LittleTeacup,sequential-d,PUZZLE,1/2/3/4/8/5/6/7/,1/2/3/4/8/5/7/6/,C/C/C/C/I/U/U/U/,2276,2292
girlscouts-data-LittleTeacup,sequential-d,PUZZLE,1/2/3/4/8/5/7/6/,1/2/3/4/8/5/7/6/,C/C/C/C/I/U/U/U/,2304,-1
girlscouts-data-LittleTeacup,sequential-d,REFERENCE,1/2/3/4/8/5/7/6/,1/2/3/4/8/5/6/7/,C/C/C/C/I/U/U/U/,2322,2336
girlscouts-data-LittleTeacup,sequential-d,PUZZLE,1/2/3/4/8/5/6/7/,1/2/3/4/6/5/8/7/,C/C/C/C/I/U/U/U/,2348,2363
girlscouts-data-LittleTeacup,sequential-d,PUZZLE,1/2/3/4/6/5/8/7/,1/2/3/4/6/5/7/8/,C/C/C/C/I/U/U/U/,2377,2396
girlscouts-data-LittleTeacup,sequential-d,PUZZLE,1/2/3/4/6/5/7/8/,1/2/3/4/6/5/7/8/,C/C/C/C/I/U/U/U/,2415,-1
girlscouts-data-LittleTeacup,sequential-d,REFERENCE,1/2/3/4/6/5/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/I/U/U/U/,2434,2449
girlscouts-data-LittleTeacup,sequential-d,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,2468,2488
girlscouts-data-LittleTeacup,sequential-d,END,"    this.monkey.walk(1.5) /
    this.monkey.jump and spin() /
    this.monkey.walk up to(this.treasureChest) /
    this.monkey.raise arms() /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.0125) /
    this.monkey.bang on(this.treasureChest) /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
    this.treasureMonkey.raise arms() /",5,8,0,2496
girlscouts-data-LittleTeacup,sequential-c,PUZZLE,1/2/4/3/5/6/,1/2/4/3/5/6/,C/C/I/U/U/U/,142,-1
girlscouts-data-LittleTeacup,sequential-c,REFERENCE,1/2/4/3/5/6/,1/2/3/4/5/6/,C/C/I/U/U/U/,154,163
girlscouts-data-LittleTeacup,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,177,188
girlscouts-data-LittleTeacup,sequential-c,END,"    this.hare.swing arm() /
    this.volleyball.move(TypeExpression.DOWN, 0.6) /
    this.hare.look down() /
    this.hare.getRightHip().turn(TypeExpression.FORWARD, 0.25) /
    this.hare.kick(this.volleyball) /
    this.net.turn(TypeExpression.BACKWARD, 0.25) /",4,6,0,192
girlscouts-data-LittleTeacup,dotogether-b,REFERENCE,1/-1/-1/2/-1/-1/,1/-1/3/2/5/4/,C/I/U/U/U/U/,40,59
girlscouts-data-LittleTeacup,dotogether-b,PUZZLE,1/-1/3/2/5/4/,1/-1/2/3/5/4/,C/I/U/U/U/U/,83,93
girlscouts-data-LittleTeacup,dotogether-b,PUZZLE,1/-1/2/3/5/4/,1/2/4/3/6/5/,C/I/U/U/U/U/,99,109
girlscouts-data-LittleTeacup,dotogether-b,PUZZLE,1/2/4/3/6/5/,1/2/4/3/6/5/,C/C/C/C/I/U/,128,136
girlscouts-data-LittleTeacup,dotogether-b,PUZZLE,1/2/4/3/6/5/,1/2/4/3/5/6/,C/C/C/C/I/U/,143,150
girlscouts-data-LittleTeacup,dotogether-b,PUZZLE,1/2/4/3/5/6/,1/2/4/3/5/6/,C/C/C/C/C/C/,159,168
girlscouts-data-LittleTeacup,dotogether-b,END,"    this.troll.say(Ahhhhhh) /
    do together / {
      this.troll.sneeze and raise arms() /
      this.boat.move(TypeExpression.BACKWARD, 5.0) /
    }
    this.manatee.move(TypeExpression.UP, 0.5) /
    this.manatee.say(Bless you!) /",3,6,0,175
girlscouts-data-LittleTeacup,dotogether-m,REFERENCE,1/-1/-1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/,40,-1
girlscouts-data-LittleTeacup,dotogether-m,REFERENCE,1/-1/-1/-1/-1/-1/-1/-1/,1/6/4/3/5/2/7/8/,C/I/U/U/U/U/U/U/,53,62
girlscouts-data-LittleTeacup,dotogether-m,PUZZLE,1/6/4/3/5/2/7/8/,1/6/4/3/5/2/7/8/,C/C/C/C/C/C/C/C/,129,142
girlscouts-data-LittleTeacup,dotogether-m,END,"    this.hare.say(1...2...3...JUMP!) /
    do together / {
      this.pig.jump() /
      this.hare.jump() /
    }
    this.caiman.snap jaws() /
    do together / {
      this.pig.say(UH OH!) /
      this.hare.say(UH OH!) /
    }",4,8,0,147
girlscouts-data-LittleTeacup,dotogether-n,REFERENCE,-1/-1/-1/-1/-1/-1/,1/2/3/5/4/6/,I/U/U/U/U/U/,27,38
girlscouts-data-LittleTeacup,dotogether-n,PUZZLE,1/2/3/5/4/6/,1/2/3/5/4/6/,C/C/C/C/C/C/,85,97
girlscouts-data-LittleTeacup,dotogether-n,END,"    this.playingCard.say(Alice was just here I promise!!) /
    this.queenOfHearts.say(We BETTER find her!) /
    do together / {
      this.queenOfHearts.walk forward() /
      this.playingCard.walk forward() /
    }
    this.alice.sneak away() /",2,6,0,102
girlscouts-data-LittleTeacup,dotogether-e,REFERENCE,1/-1/-1/-1/-1/-1/-1/-1/-1/,1/-1/2/3/-1/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/U/,33,47
girlscouts-data-LittleTeacup,dotogether-e,REFERENCE,1/-1/2/3/-1/-1/-1/-1/-1/,1/-1/2/3/-1/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/U/,69,-1
girlscouts-data-LittleTeacup,dotogether-e,REFERENCE,1/-1/2/3/-1/-1/-1/-1/-1/,1/-1/2/3/-1/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/U/,86,96
girlscouts-data-LittleTeacup,dotogether-e,REFERENCE,1/-1/2/3/-1/-1/-1/-1/-1/,1/7/2/3/4/8/9/5/6/,C/I/U/U/U/U/U/U/U/,101,110
girlscouts-data-LittleTeacup,dotogether-e,PUZZLE,1/7/2/3/4/8/9/5/6/,1/2/3/4/5/9/8/6/7/,C/I/U/U/U/U/U/U/U/,153,215
