codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
girlscouts-data-PinkLeopard,sequential-c,REFERENCE,1/-1/-1/-1/-1/-1/,1/-1/2/-1/3/4/,C/I/U/U/U/U/,61,72
girlscouts-data-PinkLeopard,sequential-c,PUZZLE,1/-1/2/-1/3/4/,1/2/3/-1/-1/-1/,C/I/U/U/U/U/,109,124
girlscouts-data-PinkLeopard,sequential-c,REFERENCE,1/2/3/-1/-1/-1/,1/2/3/-1/4/-1/,C/C/C/I/U/U/,183,197
girlscouts-data-PinkLeopard,sequential-c,PUZZLE,1/2/3/-1/4/-1/,1/2/3/-1/4/5/,C/C/C/I/U/U/,209,220
girlscouts-data-PinkLeopard,sequential-c,PUZZLE,1/2/3/-1/4/5/,1/2/3/5/4/6/,C/C/C/I/U/U/,237,250
girlscouts-data-PinkLeopard,sequential-c,PUZZLE,1/2/3/5/4/6/,1/2/3/5/4/6/,C/C/C/I/U/U/,277,291
girlscouts-data-PinkLeopard,sequential-c,PUZZLE,1/2/3/5/4/6/,1/2/3/5/4/6/,C/C/C/I/U/U/,305,-1
girlscouts-data-PinkLeopard,sequential-c,REFERENCE,1/2/3/5/4/6/,1/2/3/4/5/6/,C/C/C/I/U/U/,332,345
girlscouts-data-PinkLeopard,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,481,499
girlscouts-data-PinkLeopard,sequential-c,END,"    this.hare.swing arm() /
    this.volleyball.move(TypeExpression.DOWN, 0.6) /
    this.hare.look down() /
    this.hare.getRightHip().turn(TypeExpression.FORWARD, 0.25) /
    this.hare.kick(this.volleyball) /
    this.net.turn(TypeExpression.BACKWARD, 0.25) /",6,6,0,540
girlscouts-data-PinkLeopard,dotogether-b,PUZZLE,1/-1/2/3/4/5/,1/-1/2/3/4/5/,C/I/U/U/U/U/,98,-1
girlscouts-data-PinkLeopard,dotogether-b,REFERENCE,1/-1/2/3/4/5/,1/-1/2/3/4/5/,C/I/U/U/U/U/,108,-1
girlscouts-data-PinkLeopard,dotogether-b,PUZZLE,1/-1/2/3/4/5/,1/2/3/4/5/6/,C/I/U/U/U/U/,116,123
girlscouts-data-PinkLeopard,dotogether-b,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,184,199
