codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
girlscouts-data-SunFlower,sequential-d,REFERENCE,1/-1/-1/-1/-1/-1/-1/-1/,1/3/5/2/4/6/7/8/,C/I/U/U/U/U/U/U/,43,63
girlscouts-data-SunFlower,sequential-d,PUZZLE,1/3/5/2/4/6/7/8/,1/2/5/3/4/6/7/8/,C/I/U/U/U/U/U/U/,129,148
girlscouts-data-SunFlower,sequential-d,PUZZLE,1/2/5/3/4/6/7/8/,1/2/3/4/5/6/7/8/,C/C/I/U/U/U/U/U/,161,173
girlscouts-data-SunFlower,sequential-d,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,186,204
girlscouts-data-SunFlower,sequential-d,END,"    this.monkey.walk(1.5) /
    this.monkey.jump and spin() /
    this.monkey.walk up to(this.treasureChest) /
    this.monkey.raise arms() /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.0125) /
    this.monkey.bang on(this.treasureChest) /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
    this.treasureMonkey.raise arms() /",3,8,0,210
girlscouts-data-SunFlower,sequential-c,REFERENCE,1/-1/2/-1/-1/-1/,1/-1/2/-1/3/-1/,C/I/U/U/U/U/,56,67
girlscouts-data-SunFlower,sequential-c,PUZZLE,1/-1/2/-1/3/-1/,1/2/3/-1/4/-1/,C/I/U/U/U/U/,77,87
girlscouts-data-SunFlower,sequential-c,PUZZLE,1/2/3/-1/4/-1/,1/2/3/4/5/6/,C/C/C/I/U/U/,101,112
girlscouts-data-SunFlower,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,126,137
girlscouts-data-SunFlower,sequential-c,END,"    this.hare.swing arm() /
    this.volleyball.move(TypeExpression.DOWN, 0.6) /
    this.hare.look down() /
    this.hare.getRightHip().turn(TypeExpression.FORWARD, 0.25) /
    this.hare.kick(this.volleyball) /
    this.net.turn(TypeExpression.BACKWARD, 0.25) /",2,6,0,141
girlscouts-data-SunFlower,sequential-g,PUZZLE,1/4/2/5/3/6/7/,1/4/2/5/3/6/7/,C/I/U/U/U/U/U/,57,71
girlscouts-data-SunFlower,sequential-g,REFERENCE,1/4/2/5/3/6/7/,1/2/3/5/4/6/7/,C/I/U/U/U/U/U/,73,82
girlscouts-data-SunFlower,sequential-g,PUZZLE,1/2/3/5/4/6/7/,1/2/3/4/5/6/7/,C/C/C/I/U/U/U/,90,101
girlscouts-data-SunFlower,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,109,123
