codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
girlscouts-data-WindBreaker,sequential-g,REFERENCE,-1/-1/-1/-1/-1/-1/-1/,-1/-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/,40,-1
girlscouts-data-WindBreaker,sequential-g,REFERENCE,-1/-1/-1/-1/-1/-1/-1/,1/2/3/5/4/6/7/,I/U/U/U/U/U/U/,61,73
girlscouts-data-WindBreaker,sequential-g,PUZZLE,1/2/3/5/4/6/7/,1/2/3/5/4/6/7/,C/C/C/I/U/U/U/,176,-1
girlscouts-data-WindBreaker,sequential-g,REFERENCE,1/2/3/5/4/6/7/,1/2/3/4/5/6/7/,C/C/C/I/U/U/U/,194,205
girlscouts-data-WindBreaker,sequential-g,REFERENCE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,238,-1
girlscouts-data-WindBreaker,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,243,257
girlscouts-data-WindBreaker,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",4,7,0,277
girlscouts-data-WindBreaker,sequential-c,REFERENCE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,92,-1
girlscouts-data-WindBreaker,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,95,106
girlscouts-data-WindBreaker,sequential-c,END,"    this.hare.swing arm() /
    this.volleyball.move(TypeExpression.DOWN, 0.6) /
    this.hare.look down() /
    this.hare.getRightHip().turn(TypeExpression.FORWARD, 0.25) /
    this.hare.kick(this.volleyball) /
    this.net.turn(TypeExpression.BACKWARD, 0.25) /",3,6,0,112
girlscouts-data-WindBreaker,dotogether-a,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,120,132
girlscouts-data-WindBreaker,dotogether-a,END,"    this.penguin.say(Everyone, I'd like you to meet Derek.) /
    this.DerekTheYeti.say(Hello.) /
    this.DerekTheYeti.moveToward(this.babyPenguin2, 0.5) /
    do together / {
      this.babyPenguin1.jump back() /
      this.babyPenguin2.jump back() /
      this.babyPenguin3.jump back() /
    }
    this.penguin.say(He's harmless and very kind!) /",5,8,0,139
