codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
girlsinc-2017-CloudyPosey,sequential-c,REFERENCE,-1/-1/-1/-1/-1/-1/,-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/,55,-1
girlsinc-2017-CloudyPosey,sequential-c,REFERENCE,-1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/,65,66
girlsinc-2017-CloudyPosey,sequential-c,PUZZLE,1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/,C/I/U/U/U/U/,72,-1
girlsinc-2017-CloudyPosey,sequential-c,REFERENCE,1/-1/-1/-1/-1/-1/,1/2/-1/-1/-1/-1/,C/I/U/U/U/U/,76,80
girlsinc-2017-CloudyPosey,sequential-c,PUZZLE,1/2/-1/-1/-1/-1/,1/2/-1/-1/-1/-1/,C/C/I/U/U/U/,86,-1
girlsinc-2017-CloudyPosey,sequential-c,REFERENCE,1/2/-1/-1/-1/-1/,1/2/3/-1/4/-1/,C/C/I/U/U/U/,91,96
girlsinc-2017-CloudyPosey,sequential-c,REFERENCE,1/2/3/-1/4/-1/,1/2/3/-1/4/-1/,C/C/C/I/U/U/,108,115
girlsinc-2017-CloudyPosey,sequential-c,PUZZLE,1/2/3/-1/4/-1/,1/2/3/-1/4/-1/,C/C/C/I/U/U/,116,124
girlsinc-2017-CloudyPosey,sequential-c,REFERENCE,1/2/3/-1/4/-1/,1/2/3/5/4/6/,C/C/C/I/U/U/,125,134
girlsinc-2017-CloudyPosey,sequential-c,PUZZLE,1/2/3/5/4/6/,1/2/3/5/4/6/,C/C/C/I/U/U/,143,-1
girlsinc-2017-CloudyPosey,sequential-c,REFERENCE,1/2/3/5/4/6/,1/2/3/5/4/6/,C/C/C/I/U/U/,155,-1
girlsinc-2017-CloudyPosey,sequential-c,PUZZLE,1/2/3/5/4/6/,1/2/3/6/4/5/,C/C/C/I/U/U/,167,176
girlsinc-2017-CloudyPosey,sequential-c,PUZZLE,1/2/3/6/4/5/,1/2/3/6/4/5/,C/C/C/I/U/U/,182,192
girlsinc-2017-CloudyPosey,sequential-c,REFERENCE,1/2/3/6/4/5/,1/2/3/6/4/5/,C/C/C/I/U/U/,195,-1
girlsinc-2017-CloudyPosey,sequential-c,PUZZLE,1/2/3/6/4/5/,1/2/3/5/4/6/,C/C/C/I/U/U/,206,213
girlsinc-2017-CloudyPosey,sequential-c,PUZZLE,1/2/3/5/4/6/,1/2/3/5/4/6/,C/C/C/I/U/U/,226,-1
girlsinc-2017-CloudyPosey,sequential-c,REFERENCE,1/2/3/5/4/6/,1/2/3/5/4/6/,C/C/C/I/U/U/,239,-1
girlsinc-2017-CloudyPosey,sequential-c,PUZZLE,1/2/3/5/4/6/,1/2/3/5/4/6/,C/C/C/I/U/U/,251,-1
girlsinc-2017-CloudyPosey,sequential-c,REFERENCE,1/2/3/5/4/6/,1/2/3/5/4/6/,C/C/C/I/U/U/,259,-1
girlsinc-2017-CloudyPosey,sequential-c,PUZZLE,1/2/3/5/4/6/,1/2/3/5/4/6/,C/C/C/I/U/U/,268,278
girlsinc-2017-CloudyPosey,sequential-c,PUZZLE,1/2/3/5/4/6/,1/2/3/5/4/6/,C/C/C/I/U/U/,291,-1
girlsinc-2017-CloudyPosey,sequential-c,REFERENCE,1/2/3/5/4/6/,1/2/3/5/4/6/,C/C/C/I/U/U/,301,-1
girlsinc-2017-CloudyPosey,sequential-c,PUZZLE,1/2/3/5/4/6/,1/2/3/4/5/6/,C/C/C/I/U/U/,312,324
girlsinc-2017-CloudyPosey,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,350,362
girlsinc-2017-CloudyPosey,sequential-c,END,"    this.hare.swing arm() /
    this.volleyball.move(TypeExpression.DOWN, 0.6) /
    this.hare.look down() /
    this.hare.getRightHip().turn(TypeExpression.FORWARD, 0.25) /
    this.hare.kick(this.volleyball) /
    this.net.turn(TypeExpression.BACKWARD, 0.25) /",7,6,0,376
girlsinc-2017-CloudyPosey,sequential-d,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/,-1/-1/1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/U/,9,11
girlsinc-2017-CloudyPosey,sequential-d,PUZZLE,-1/-1/1/-1/-1/-1/-1/-1/,-1/-1/1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/U/,25,28
girlsinc-2017-CloudyPosey,sequential-d,REFERENCE,-1/-1/1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/U/,29,32
girlsinc-2017-CloudyPosey,sequential-d,PUZZLE,1/-1/-1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/,37,-1
girlsinc-2017-CloudyPosey,sequential-d,REFERENCE,1/-1/-1/-1/-1/-1/-1/-1/,1/2/-1/-1/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/,40,43
girlsinc-2017-CloudyPosey,sequential-d,PUZZLE,1/2/-1/-1/-1/-1/-1/-1/,1/2/-1/-1/-1/-1/-1/-1/,C/C/I/U/U/U/U/U/,48,-1
