codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
girlsinc-2017-DaintyBunny,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,64,-1
girlsinc-2017-DaintyBunny,sequential-g,REFERENCE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,95,-1
girlsinc-2017-DaintyBunny,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,107,122
girlsinc-2017-DaintyBunny,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",1,7,0,143
girlsinc-2017-DaintyBunny,sequential-d,REFERENCE,-1/1/2/-1/-1/3/-1/-1/,1/2/3/7/6/5/4/8/,I/U/U/U/U/U/U/U/,45,64
girlsinc-2017-DaintyBunny,sequential-d,PUZZLE,1/2/3/7/6/5/4/8/,1/2/3/5/7/6/4/8/,C/C/C/I/U/U/U/U/,82,92
girlsinc-2017-DaintyBunny,sequential-d,PUZZLE,1/2/3/5/7/6/4/8/,1/2/3/4/7/6/5/8/,C/C/C/I/U/U/U/U/,98,109
girlsinc-2017-DaintyBunny,sequential-d,PUZZLE,1/2/3/4/7/6/5/8/,1/2/3/4/5/6/7/8/,C/C/C/C/I/U/U/U/,113,127
girlsinc-2017-DaintyBunny,sequential-d,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,134,150
girlsinc-2017-DaintyBunny,sequential-d,END,"    this.monkey.walk(1.5) /
    this.monkey.jump and spin() /
    this.monkey.walk up to(this.treasureChest) /
    this.monkey.raise arms() /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.0125) /
    this.monkey.bang on(this.treasureChest) /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
    this.treasureMonkey.raise arms() /",3,8,0,155
girlsinc-2017-DaintyBunny,dotogether-o,REFERENCE,-1/-1/-1/-1/-1/-1/,-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/,10,19
girlsinc-2017-DaintyBunny,dotogether-o,REFERENCE,-1/-1/-1/-1/-1/-1/,3/4/1/6/2/5/,I/U/U/U/U/U/,28,35
