codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
girlsinc-2017-DiamondFly,sequential-g,REFERENCE,1/-1/-1/-1/-1/-1/-1/,1/2/3/5/4/7/6/,C/I/U/U/U/U/U/,73,80
girlsinc-2017-DiamondFly,sequential-g,PUZZLE,1/2/3/5/4/7/6/,1/2/3/6/5/4/7/,C/C/C/I/U/U/U/,117,133
girlsinc-2017-DiamondFly,sequential-g,PUZZLE,1/2/3/6/5/4/7/,1/2/3/6/5/4/7/,C/C/C/I/U/U/U/,144,153
girlsinc-2017-DiamondFly,sequential-g,REFERENCE,1/2/3/6/5/4/7/,1/2/3/4/5/6/7/,C/C/C/I/U/U/U/,154,166
girlsinc-2017-DiamondFly,sequential-g,REFERENCE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,177,-1
girlsinc-2017-DiamondFly,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,188,205
girlsinc-2017-DiamondFly,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",3,7,0,224
girlsinc-2017-DiamondFly,sequential-c,REFERENCE,-1/-1/-1/-1/-1/-1/,1/-1/2/-1/-1/-1/,I/U/U/U/U/U/,19,21
girlsinc-2017-DiamondFly,sequential-c,REFERENCE,1/-1/2/-1/-1/-1/,1/2/3/5/4/6/,C/I/U/U/U/U/,27,34
girlsinc-2017-DiamondFly,sequential-c,PUZZLE,1/2/3/5/4/6/,1/2/4/5/3/6/,C/C/C/I/U/U/,64,77
girlsinc-2017-DiamondFly,sequential-c,PUZZLE,1/2/4/5/3/6/,1/2/3/4/5/6/,C/C/I/U/U/U/,82,91
girlsinc-2017-DiamondFly,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,105,117
girlsinc-2017-DiamondFly,sequential-c,END,"    this.hare.swing arm() /
    this.volleyball.move(TypeExpression.DOWN, 0.6) /
    this.hare.look down() /
    this.hare.getRightHip().turn(TypeExpression.FORWARD, 0.25) /
    this.hare.kick(this.volleyball) /
    this.net.turn(TypeExpression.BACKWARD, 0.25) /",4,6,0,123
girlsinc-2017-DiamondFly,dotogether-a,REFERENCE,1/-1/-1/-1/-1/-1/-1/-1/,1/2/3/-1/4/5/-1/-1/,C/I/U/U/U/U/U/U/,28,32
girlsinc-2017-DiamondFly,dotogether-a,PUZZLE,1/2/3/-1/4/5/-1/-1/,1/2/3/-1/-1/-1/-1/-1/,C/C/C/I/U/U/U/U/,48,56
girlsinc-2017-DiamondFly,dotogether-a,REFERENCE,1/2/3/-1/-1/-1/-1/-1/,1/2/3/-1/-1/-1/4/5/,C/C/C/I/U/U/U/U/,62,75
girlsinc-2017-DiamondFly,dotogether-a,PUZZLE,1/2/3/-1/-1/-1/4/5/,1/2/3/-1/-1/-1/4/5/,C/C/C/I/U/U/U/U/,81,-1
girlsinc-2017-DiamondFly,dotogether-a,PUZZLE,1/2/3/-1/-1/-1/4/5/,1/2/3/-1/4/5/6/7/,C/C/C/I/U/U/U/U/,92,99
girlsinc-2017-DiamondFly,dotogether-a,PUZZLE,1/2/3/-1/4/5/6/7/,1/2/3/4/5/7/6/8/,C/C/C/I/U/U/U/U/,113,117
girlsinc-2017-DiamondFly,dotogether-a,PUZZLE,1/2/3/4/5/7/6/8/,1/2/3/4/5/7/6/8/,C/C/C/C/C/C/C/C/,139,148
girlsinc-2017-DiamondFly,dotogether-a,END,"    this.penguin.say(Everyone, I'd like you to meet Derek.) /
    this.DerekTheYeti.say(Hello.) /
    this.DerekTheYeti.moveToward(this.babyPenguin2, 0.5) /
    do together / {
      this.babyPenguin1.jump back() /
      this.babyPenguin2.jump back() /
      this.babyPenguin3.jump back() /
    }
    this.penguin.say(He's harmless and very kind!) /",5,8,0,152
girlsinc-2017-DiamondFly,dotogether-b,PUZZLE,1/2/3/4/6/5/,1/2/3/4/5/6/,C/C/C/C/I/U/,69,81
girlsinc-2017-DiamondFly,dotogether-b,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,88,97
girlsinc-2017-DiamondFly,dotogether-b,END,"    this.troll.say(Ahhhhhh) /
    do together / {
      this.troll.sneeze and raise arms() /
      this.boat.move(TypeExpression.BACKWARD, 5.0) /
    }
    this.manatee.move(TypeExpression.UP, 0.5) /
    this.manatee.say(Bless you!) /",5,6,0,100
girlsinc-2017-DiamondFly,dotogether-m,PUZZLE,1/6/4/3/5/2/7/8/,1/6/4/3/5/2/7/8/,C/C/C/C/C/C/C/C/,37,47
girlsinc-2017-DiamondFly,dotogether-m,END,"    this.hare.say(1...2...3...JUMP!) /
    do together / {
      this.pig.jump() /
      this.hare.jump() /
    }
    this.caiman.snap jaws() /
    do together / {
      this.pig.say(UH OH!) /
      this.hare.say(UH OH!) /
    }",2,8,0,51
girlsinc-2017-DiamondFly,dotogether-n,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,23,32
girlsinc-2017-DiamondFly,dotogether-n,END,"    this.playingCard.say(Alice was just here I promise!!) /
    this.queenOfHearts.say(We BETTER find her!) /
    do together / {
      this.queenOfHearts.walk forward() /
      this.playingCard.walk forward() /
    }
    this.alice.sneak away() /",1,6,0,35
girlsinc-2017-DiamondFly,dotogether-e,PUZZLE,1/6/4/3/-1/7/8/2/5/,1/6/2/3/-1/7/8/5/4/,C/I/U/U/U/U/U/U/U/,74,86
girlsinc-2017-DiamondFly,dotogether-e,PUZZLE,1/6/2/3/-1/7/8/5/4/,2/7/3/4/1/8/9/6/5/,C/I/U/U/U/U/U/U/U/,113,120
girlsinc-2017-DiamondFly,dotogether-e,PUZZLE,2/7/3/4/1/8/9/6/5/,1/7/3/4/2/8/9/6/5/,I/U/U/U/U/U/U/U/U/,131,138
girlsinc-2017-DiamondFly,dotogether-e,PUZZLE,1/7/3/4/2/8/9/6/5/,1/7/3/4/2/8/9/6/5/,C/C/C/C/I/U/U/U/U/,160,176
girlsinc-2017-DiamondFly,dotogether-e,REFERENCE,1/7/3/4/2/8/9/6/5/,1/5/3/4/2/6/9/7/8/,C/C/C/C/I/U/U/U/U/,184,194
girlsinc-2017-DiamondFly,dotogether-e,PUZZLE,1/5/3/4/2/6/9/7/8/,1/5/3/4/2/6/9/7/8/,C/C/C/C/C/C/C/C/C/,198,210
girlsinc-2017-DiamondFly,dotogether-e,END,"    this.bush.rustle() /
    do together / {
      this.Witch.getHead().turn(TypeExpression.RIGHT, 0.125) /
      this.Witch.say(What was that?) /
    }
    do together / {
      this.Troll.legs shake() /
      this.Troll.bend over() /
      this.Troll.turn(TypeExpression.RIGHT, 0.5) /
      this.Troll.think(This place is scary..) /
    }",6,9,0,214
girlsinc-2017-DiamondFly,dotogether-c,PUZZLE,1/2/3/5/6/4/7/,1/2/3/5/6/4/7/,C/C/C/I/C/C/U/,45,-1
