codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
girlsinc-2017-MidnightFirefly,sequential-g,PUZZLE,1/2/3/4/5/7/6/,1/2/3/4/5/6/7/,C/C/C/C/C/I/U/,60,75
girlsinc-2017-MidnightFirefly,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,83,99
girlsinc-2017-MidnightFirefly,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",3,7,0,118
girlsinc-2017-MidnightFirefly,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,73,85
girlsinc-2017-MidnightFirefly,sequential-c,END,"    this.hare.swing arm() /
    this.volleyball.move(TypeExpression.DOWN, 0.6) /
    this.hare.look down() /
    this.hare.getRightHip().turn(TypeExpression.FORWARD, 0.25) /
    this.hare.kick(this.volleyball) /
    this.net.turn(TypeExpression.BACKWARD, 0.25) /",3,6,0,90
girlsinc-2017-MidnightFirefly,sequential-d,REFERENCE,1/2/3/-1/5/4/-1/-1/,1/2/3/7/4/5/6/8/,C/C/C/I/U/U/U/U/,64,76
girlsinc-2017-MidnightFirefly,sequential-d,PUZZLE,1/2/3/7/4/5/6/8/,1/2/3/7/5/4/6/8/,C/C/C/I/U/U/U/U/,87,102
girlsinc-2017-MidnightFirefly,sequential-d,PUZZLE,1/2/3/7/5/4/6/8/,1/2/3/4/5/6/7/8/,C/C/C/I/U/U/U/U/,105,115
girlsinc-2017-MidnightFirefly,sequential-d,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,121,137
girlsinc-2017-MidnightFirefly,sequential-d,END,"    this.monkey.walk(1.5) /
    this.monkey.jump and spin() /
    this.monkey.walk up to(this.treasureChest) /
    this.monkey.raise arms() /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.0125) /
    this.monkey.bang on(this.treasureChest) /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
    this.treasureMonkey.raise arms() /",4,8,0,140
