codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
girlsinc-2017-SkeletonPrism,sequential-g,REFERENCE,-1/-1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/,55,59
girlsinc-2017-SkeletonPrism,sequential-g,REFERENCE,1/-1/-1/-1/-1/-1/-1/,1/2/-1/-1/-1/-1/-1/,C/I/U/U/U/U/U/,66,71
girlsinc-2017-SkeletonPrism,sequential-g,PUZZLE,1/2/-1/-1/-1/-1/-1/,1/2/-1/-1/-1/-1/3/,C/C/I/U/U/U/U/,83,93
girlsinc-2017-SkeletonPrism,sequential-g,PUZZLE,1/2/-1/-1/-1/-1/3/,1/2/-1/-1/-1/3/-1/,C/C/I/U/U/U/U/,101,107
girlsinc-2017-SkeletonPrism,sequential-g,PUZZLE,1/2/-1/-1/-1/3/-1/,1/2/-1/-1/-1/-1/-1/,C/C/I/U/U/U/U/,117,124
girlsinc-2017-SkeletonPrism,sequential-g,REFERENCE,1/2/-1/-1/-1/-1/-1/,1/2/3/-1/-1/-1/-1/,C/C/I/U/U/U/U/,127,133
girlsinc-2017-SkeletonPrism,sequential-g,REFERENCE,1/2/3/-1/-1/-1/-1/,1/2/3/4/5/-1/-1/,C/C/C/I/U/U/U/,149,159
girlsinc-2017-SkeletonPrism,sequential-g,REFERENCE,1/2/3/4/5/-1/-1/,1/2/3/4/5/6/7/,C/C/C/C/C/I/U/,176,188
girlsinc-2017-SkeletonPrism,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,194,209
girlsinc-2017-SkeletonPrism,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",1,7,0,215
girlsinc-2017-SkeletonPrism,dotogether-b,REFERENCE,-1/-1/-1/-1/-1/-1/,-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/,15,-1
girlsinc-2017-SkeletonPrism,dotogether-b,REFERENCE,-1/-1/-1/-1/-1/-1/,1/2/3/4/5/6/,I/U/U/U/U/U/,24,26
girlsinc-2017-SkeletonPrism,dotogether-b,REFERENCE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,63,73
girlsinc-2017-SkeletonPrism,dotogether-b,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,77,-1
girlsinc-2017-SkeletonPrism,dotogether-b,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,80,88
girlsinc-2017-SkeletonPrism,dotogether-b,END,"    this.troll.say(Ahhhhhh) /
    do together / {
      this.troll.sneeze and raise arms() /
      this.boat.move(TypeExpression.BACKWARD, 5.0) /
    }
    this.manatee.move(TypeExpression.UP, 0.5) /
    this.manatee.say(Bless you!) /",1,6,0,92
girlsinc-2017-SkeletonPrism,dotogether-o,REFERENCE,-1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/,12,14
girlsinc-2017-SkeletonPrism,dotogether-o,REFERENCE,1/-1/-1/-1/-1/-1/,1/-1/2/3/4/5/,C/I/U/U/U/U/,24,26
girlsinc-2017-SkeletonPrism,dotogether-o,PUZZLE,1/-1/2/3/4/5/,1/-1/2/3/4/5/,C/I/U/U/U/U/,38,41
girlsinc-2017-SkeletonPrism,dotogether-o,PUZZLE,1/-1/2/3/4/5/,5/-1/1/2/3/4/,C/I/U/U/U/U/,46,49
girlsinc-2017-SkeletonPrism,dotogether-o,PUZZLE,5/-1/1/2/3/4/,1/-1/2/3/4/5/,I/U/U/U/U/U/,65,68
girlsinc-2017-SkeletonPrism,dotogether-o,REFERENCE,1/-1/2/3/4/5/,1/-1/2/3/4/5/,C/I/U/U/U/U/,74,77
girlsinc-2017-SkeletonPrism,dotogether-o,PUZZLE,1/-1/2/3/4/5/,1/-1/3/2/4/5/,C/I/U/U/U/U/,86,89
girlsinc-2017-SkeletonPrism,dotogether-o,PUZZLE,1/-1/3/2/4/5/,1/-1/2/3/4/5/,C/I/U/U/U/U/,101,105
girlsinc-2017-SkeletonPrism,dotogether-o,PUZZLE,1/-1/2/3/4/5/,1/2/3/4/5/6/,C/I/U/U/U/U/,110,114
girlsinc-2017-SkeletonPrism,dotogether-o,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,126,131
girlsinc-2017-SkeletonPrism,dotogether-o,END,"    this.hare.getRightShoulder().turn(TypeExpression.RIGHT, 0.125) /
    do together / {
      this.hare.hit(this.volleyball) /
      this.volleyball.fly away() /
    }
    this.hare.getHead().turn(TypeExpression.BACKWARD, 0.125) /
    this.hare.say(Aww man..) /",1,6,0,143
girlsinc-2017-SkeletonPrism,dotogether-m,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/,-1/-1/-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/U/,13,-1
girlsinc-2017-SkeletonPrism,dotogether-m,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/U/,21,24
girlsinc-2017-SkeletonPrism,dotogether-m,REFERENCE,1/-1/-1/-1/-1/-1/-1/-1/,1/2/4/3/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/,32,35
girlsinc-2017-SkeletonPrism,dotogether-m,REFERENCE,1/2/4/3/-1/-1/-1/-1/,1/2/4/3/5/6/7/8/,C/C/C/C/I/U/U/U/,47,55
girlsinc-2017-SkeletonPrism,dotogether-m,PUZZLE,1/2/4/3/5/6/7/8/,1/2/4/3/5/6/7/8/,C/C/C/C/C/C/C/C/,78,88
girlsinc-2017-SkeletonPrism,dotogether-m,END,"    this.hare.say(1...2...3...JUMP!) /
    do together / {
      this.pig.jump() /
      this.hare.jump() /
    }
    this.caiman.snap jaws() /
    do together / {
      this.pig.say(UH OH!) /
      this.hare.say(UH OH!) /
    }",2,8,0,106
girlsinc-2017-SkeletonPrism,dotogether-n,REFERENCE,-1/-1/-1/-1/-1/-1/,-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/,14,-1
girlsinc-2017-SkeletonPrism,dotogether-n,REFERENCE,-1/-1/-1/-1/-1/-1/,-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/,61,-1
girlsinc-2017-SkeletonPrism,dotogether-n,REFERENCE,-1/-1/-1/-1/-1/-1/,1/2/3/4/5/6/,I/U/U/U/U/U/,66,69
girlsinc-2017-SkeletonPrism,dotogether-n,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,95,106
girlsinc-2017-SkeletonPrism,dotogether-n,END,"    this.playingCard.say(Alice was just here I promise!!) /
    this.queenOfHearts.say(We BETTER find her!) /
    do together / {
      this.queenOfHearts.walk forward() /
      this.playingCard.walk forward() /
    }
    this.alice.sneak away() /",1,6,0,110
girlsinc-2017-SkeletonPrism,dotogether-a,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/,1/2/-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/U/,10,15
girlsinc-2017-SkeletonPrism,dotogether-a,REFERENCE,1/2/-1/-1/-1/-1/-1/-1/,1/2/-1/3/4/5/6/-1/,C/C/I/U/U/U/U/U/,22,28
girlsinc-2017-SkeletonPrism,dotogether-a,REFERENCE,1/2/-1/3/4/5/6/-1/,1/2/7/3/4/5/6/8/,C/C/I/U/U/U/U/U/,46,57
girlsinc-2017-SkeletonPrism,dotogether-a,PUZZLE,1/2/7/3/4/5/6/8/,1/2/7/3/4/5/6/8/,C/C/I/U/U/U/U/U/,73,77
girlsinc-2017-SkeletonPrism,dotogether-a,REFERENCE,1/2/7/3/4/5/6/8/,1/2/3/4/5/6/7/8/,C/C/I/U/U/U/U/U/,81,86
girlsinc-2017-SkeletonPrism,dotogether-a,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,93,101
girlsinc-2017-SkeletonPrism,dotogether-a,END,"    this.penguin.say(Everyone, I'd like you to meet Derek.) /
    this.DerekTheYeti.say(Hello.) /
    this.DerekTheYeti.moveToward(this.babyPenguin2, 0.5) /
    do together / {
      this.babyPenguin1.jump back() /
      this.babyPenguin2.jump back() /
      this.babyPenguin3.jump back() /
    }
    this.penguin.say(He's harmless and very kind!) /",2,8,0,104
girlsinc-2017-SkeletonPrism,dotogether-e,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/-1/,-1/-1/-1/-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/U/U/,9,20
girlsinc-2017-SkeletonPrism,dotogether-e,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/-1/,-1/-1/-1/-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/U/U/,25,33
girlsinc-2017-SkeletonPrism,dotogether-e,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/-1/,-1/-1/-1/-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/U/U/,34,39
girlsinc-2017-SkeletonPrism,dotogether-e,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/-1/,-1/-1/-1/-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/U/U/,47,51
girlsinc-2017-SkeletonPrism,dotogether-e,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/U/U/,104,106
girlsinc-2017-SkeletonPrism,dotogether-e,REFERENCE,1/-1/-1/-1/-1/-1/-1/-1/-1/,1/-1/-1/2/-1/-1/-1/3/4/,C/I/U/U/U/U/U/U/U/,123,130
girlsinc-2017-SkeletonPrism,dotogether-e,REFERENCE,1/-1/-1/2/-1/-1/-1/3/4/,1/5/3/4/2/-1/-1/7/6/,C/I/U/U/U/U/U/U/U/,142,153
girlsinc-2017-SkeletonPrism,dotogether-e,REFERENCE,1/5/3/4/2/-1/-1/7/6/,1/5/3/4/2/8/9/7/6/,C/C/C/C/C/C/C/I/I/,174,183
girlsinc-2017-SkeletonPrism,dotogether-e,PUZZLE,1/5/3/4/2/8/9/7/6/,1/5/3/4/2/8/9/7/6/,C/C/C/C/C/C/C/C/C/,191,201
girlsinc-2017-SkeletonPrism,dotogether-e,END,"    this.bush.rustle() /
    do together / {
      this.Witch.getHead().turn(TypeExpression.RIGHT, 0.125) /
      this.Witch.say(What was that?) /
    }
    do together / {
      this.Troll.legs shake() /
      this.Troll.bend over() /
      this.Troll.turn(TypeExpression.RIGHT, 0.5) /
      this.Troll.think(This place is scary..) /
    }",1,9,0,204
girlsinc-2017-SkeletonPrism,dotogether-l,REFERENCE,-1/-1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/,6,10
