codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
girlsinc-2017-SteelShadow,sequential-c,PUZZLE,1/2/-1/-1/-1/-1/,1/2/-1/-1/3/-1/,C/C/I/U/U/U/,49,58
girlsinc-2017-SteelShadow,sequential-c,PUZZLE,1/2/-1/-1/3/-1/,1/2/-1/3/-1/-1/,C/C/I/U/U/U/,65,74
girlsinc-2017-SteelShadow,sequential-c,PUZZLE,1/2/-1/3/-1/-1/,1/2/-1/3/4/-1/,C/C/I/U/U/U/,82,92
girlsinc-2017-SteelShadow,sequential-c,PUZZLE,1/2/-1/3/4/-1/,1/2/-1/3/4/-1/,C/C/I/U/U/U/,98,107
girlsinc-2017-SteelShadow,sequential-c,PUZZLE,1/2/-1/3/4/-1/,1/2/-1/-1/4/3/,C/C/I/U/U/U/,109,117
girlsinc-2017-SteelShadow,sequential-c,PUZZLE,1/2/-1/-1/4/3/,1/2/4/3/5/6/,C/C/I/U/U/U/,128,137
girlsinc-2017-SteelShadow,sequential-c,PUZZLE,1/2/4/3/5/6/,1/2/3/-1/4/5/,C/C/I/U/U/U/,153,163
girlsinc-2017-SteelShadow,sequential-c,PUZZLE,1/2/3/-1/4/5/,1/2/-1/-1/3/4/,C/C/C/I/U/U/,171,180
girlsinc-2017-SteelShadow,sequential-c,PUZZLE,1/2/-1/-1/3/4/,1/2/4/-1/3/5/,C/C/I/U/U/U/,182,189
girlsinc-2017-SteelShadow,sequential-c,PUZZLE,1/2/4/-1/3/5/,1/2/3/-1/4/5/,C/C/I/U/U/U/,195,201
girlsinc-2017-SteelShadow,sequential-c,PUZZLE,1/2/3/-1/4/5/,1/2/3/-1/4/5/,C/C/C/I/U/U/,212,226
girlsinc-2017-SteelShadow,sequential-c,PUZZLE,1/2/3/-1/4/5/,1/2/3/-1/4/-1/,C/C/C/I/U/U/,229,236
girlsinc-2017-SteelShadow,sequential-c,PUZZLE,1/2/3/-1/4/-1/,1/2/3/4/5/-1/,C/C/C/I/U/U/,247,256
girlsinc-2017-SteelShadow,sequential-c,PUZZLE,1/2/3/4/5/-1/,1/2/3/4/5/6/,C/C/C/C/C/I/,278,289
girlsinc-2017-SteelShadow,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,291,303
girlsinc-2017-SteelShadow,sequential-c,END,"    this.hare.swing arm() /
    this.volleyball.move(TypeExpression.DOWN, 0.6) /
    this.hare.look down() /
    this.hare.getRightHip().turn(TypeExpression.FORWARD, 0.25) /
    this.hare.kick(this.volleyball) /
    this.net.turn(TypeExpression.BACKWARD, 0.25) /",4,6,0,321
girlsinc-2017-SteelShadow,dotogether-m,REFERENCE,-1/-1/-1/-1/-1/-1/-1/-1/,2/1/4/3/8/6/7/5/,I/U/U/U/U/U/U/U/,5,19
girlsinc-2017-SteelShadow,dotogether-m,PUZZLE,2/1/4/3/8/6/7/5/,2/1/4/3/8/6/7/5/,I/U/U/U/U/U/U/U/,84,90
girlsinc-2017-SteelShadow,dotogether-m,PUZZLE,2/1/4/3/8/6/7/5/,2/1/4/3/8/6/7/5/,I/U/U/U/U/U/U/U/,95,-1
girlsinc-2017-SteelShadow,dotogether-m,REFERENCE,2/1/4/3/8/6/7/5/,2/1/4/3/8/6/7/5/,I/U/U/U/U/U/U/U/,98,101
girlsinc-2017-SteelShadow,dotogether-m,PUZZLE,2/1/4/3/8/6/7/5/,2/1/4/3/8/5/7/6/,I/U/U/U/U/U/U/U/,107,111
girlsinc-2017-SteelShadow,dotogether-m,PUZZLE,2/1/4/3/8/5/7/6/,2/1/4/3/8/5/7/6/,I/U/U/U/U/U/U/U/,120,123
girlsinc-2017-SteelShadow,dotogether-m,REFERENCE,2/1/4/3/8/5/7/6/,2/1/4/3/6/5/7/8/,I/U/U/U/U/U/U/U/,125,133
girlsinc-2017-SteelShadow,dotogether-m,PUZZLE,2/1/4/3/6/5/7/8/,2/1/4/3/6/5/7/8/,I/U/U/U/U/U/U/U/,158,161
girlsinc-2017-SteelShadow,dotogether-m,REFERENCE,2/1/4/3/6/5/7/8/,2/1/4/5/6/3/7/8/,I/U/U/U/U/U/U/U/,164,169
girlsinc-2017-SteelShadow,dotogether-m,PUZZLE,2/1/4/5/6/3/7/8/,2/1/4/5/6/3/7/8/,I/U/U/U/U/U/U/U/,179,185
girlsinc-2017-SteelShadow,dotogether-m,REFERENCE,2/1/4/5/6/3/7/8/,2/1/4/5/6/3/7/8/,I/U/U/U/U/U/U/U/,186,194
girlsinc-2017-SteelShadow,dotogether-m,PUZZLE,2/1/4/5/6/3/7/8/,1/-1/3/4/5/2/6/7/,I/U/U/U/U/U/U/U/,197,200
girlsinc-2017-SteelShadow,dotogether-m,PUZZLE,1/-1/3/4/5/2/6/7/,1/6/3/4/5/2/7/8/,C/C/C/C/I/I/I/U/,215,220
girlsinc-2017-SteelShadow,dotogether-m,PUZZLE,1/6/3/4/5/2/7/8/,1/6/3/4/5/2/7/8/,C/C/C/C/I/I/U/U/,230,236
girlsinc-2017-SteelShadow,dotogether-m,PUZZLE,1/6/3/4/5/2/7/8/,1/6/3/4/5/2/7/8/,C/C/C/C/C/C/C/C/,246,260
girlsinc-2017-SteelShadow,dotogether-m,END,"    this.hare.say(1...2...3...JUMP!) /
    do together / {
      this.pig.jump() /
      this.hare.jump() /
    }
    this.caiman.snap jaws() /
    do together / {
      this.pig.say(UH OH!) /
      this.hare.say(UH OH!) /
    }",4,8,0,263
girlsinc-2017-SteelShadow,dotogether-o,REFERENCE,-1/-1/-1/-1/-1/-1/,1/-1/2/4/3/-1/,I/U/U/U/U/U/,8,14
girlsinc-2017-SteelShadow,dotogether-o,REFERENCE,1/-1/2/4/3/-1/,1/3/2/6/4/5/,C/I/U/U/U/U/,36,41
girlsinc-2017-SteelShadow,dotogether-o,PUZZLE,1/3/2/6/4/5/,2/1/3/6/4/5/,C/I/U/U/U/U/,62,66
girlsinc-2017-SteelShadow,dotogether-o,PUZZLE,2/1/3/6/4/5/,2/1/3/6/4/5/,I/U/U/U/U/U/,88,91
girlsinc-2017-SteelShadow,dotogether-o,REFERENCE,2/1/3/6/4/5/,2/1/3/6/4/5/,I/U/U/U/U/U/,92,96
girlsinc-2017-SteelShadow,dotogether-o,REFERENCE,2/1/3/6/4/5/,3/1/2/6/4/5/,I/U/U/U/U/U/,104,111
girlsinc-2017-SteelShadow,dotogether-o,PUZZLE,3/1/2/6/4/5/,2/1/3/6/4/5/,I/U/U/U/U/U/,118,121
girlsinc-2017-SteelShadow,dotogether-o,PUZZLE,2/1/3/6/4/5/,2/1/3/6/4/5/,I/U/U/U/U/U/,132,-1
girlsinc-2017-SteelShadow,dotogether-o,REFERENCE,2/1/3/6/4/5/,1/3/2/6/4/5/,I/U/U/U/U/U/,139,146
girlsinc-2017-SteelShadow,dotogether-o,PUZZLE,1/3/2/6/4/5/,1/4/2/6/3/5/,C/I/U/U/U/U/,159,163
girlsinc-2017-SteelShadow,dotogether-o,PUZZLE,1/4/2/6/3/5/,1/4/2/6/3/5/,C/I/U/U/U/U/,180,184
girlsinc-2017-SteelShadow,dotogether-o,REFERENCE,1/4/2/6/3/5/,1/4/2/6/3/5/,C/I/U/U/U/U/,196,199
