codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
girlsinc-2017-TygaJazzy,sequential-g,REFERENCE,-1/-1/-1/-1/-1/-1/-1/,-1/-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/,13,-1
girlsinc-2017-TygaJazzy,sequential-g,REFERENCE,-1/-1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/,27,31
girlsinc-2017-TygaJazzy,sequential-g,REFERENCE,1/-1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/-1/,C/I/U/U/U/U/U/,53,58
girlsinc-2017-TygaJazzy,sequential-g,REFERENCE,1/-1/-1/-1/-1/-1/-1/,1/2/-1/-1/-1/-1/-1/,C/I/U/U/U/U/U/,71,78
girlsinc-2017-TygaJazzy,sequential-g,REFERENCE,1/2/-1/-1/-1/-1/-1/,1/2/3/-1/-1/-1/-1/,C/C/I/U/U/U/U/,86,88
girlsinc-2017-TygaJazzy,sequential-g,REFERENCE,1/2/3/-1/-1/-1/-1/,1/2/4/3/5/7/6/,C/C/C/I/U/U/U/,94,102
girlsinc-2017-TygaJazzy,sequential-g,REFERENCE,1/2/4/3/5/7/6/,1/2/4/3/5/7/6/,C/C/I/U/U/U/U/,114,-1
girlsinc-2017-TygaJazzy,sequential-g,PUZZLE,1/2/4/3/5/7/6/,1/2/3/4/5/7/6/,C/C/I/U/U/U/U/,117,126
girlsinc-2017-TygaJazzy,sequential-g,REFERENCE,1/2/3/4/5/7/6/,1/2/3/4/5/7/6/,C/C/C/C/C/I/U/,134,-1
girlsinc-2017-TygaJazzy,sequential-g,PUZZLE,1/2/3/4/5/7/6/,1/2/3/4/5/6/7/,C/C/C/C/C/I/U/,136,149
girlsinc-2017-TygaJazzy,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,152,171
girlsinc-2017-TygaJazzy,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",4,7,0,178
girlsinc-2017-TygaJazzy,sequential-d,PUZZLE,1/-1/4/-1/2/-1/3/-1/,1/-1/5/-1/3/-1/4/2/,C/I/U/U/U/U/U/U/,47,52
girlsinc-2017-TygaJazzy,sequential-d,PUZZLE,1/-1/5/-1/3/-1/4/2/,1/2/3/-1/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/,58,62
girlsinc-2017-TygaJazzy,sequential-d,PUZZLE,1/2/3/-1/-1/-1/-1/-1/,1/2/3/-1/-1/-1/-1/-1/,C/C/C/I/U/U/U/U/,82,-1
girlsinc-2017-TygaJazzy,sequential-d,REFERENCE,1/2/3/-1/-1/-1/-1/-1/,1/2/3/5/-1/4/-1/6/,C/C/C/I/U/U/U/U/,93,106
girlsinc-2017-TygaJazzy,sequential-d,PUZZLE,1/2/3/5/-1/4/-1/6/,1/2/3/5/-1/4/-1/6/,C/C/C/I/U/U/U/U/,122,132
girlsinc-2017-TygaJazzy,sequential-d,REFERENCE,1/2/3/5/-1/4/-1/6/,1/2/3/4/-1/6/-1/5/,C/C/C/I/U/U/U/U/,140,150
girlsinc-2017-TygaJazzy,sequential-d,PUZZLE,1/2/3/4/-1/6/-1/5/,1/2/3/4/-1/5/-1/6/,C/C/C/C/I/U/U/U/,155,169
girlsinc-2017-TygaJazzy,sequential-d,PUZZLE,1/2/3/4/-1/5/-1/6/,1/2/3/4/6/5/-1/7/,C/C/C/C/I/U/U/U/,173,183
girlsinc-2017-TygaJazzy,sequential-d,PUZZLE,1/2/3/4/6/5/-1/7/,1/2/3/4/6/5/-1/7/,C/C/C/C/I/U/U/U/,190,-1
girlsinc-2017-TygaJazzy,sequential-d,REFERENCE,1/2/3/4/6/5/-1/7/,1/2/3/4/7/6/5/8/,C/C/C/C/I/U/U/U/,201,219
girlsinc-2017-TygaJazzy,sequential-d,PUZZLE,1/2/3/4/7/6/5/8/,1/2/3/4/7/5/6/8/,C/C/C/C/I/U/U/U/,224,249
girlsinc-2017-TygaJazzy,sequential-d,PUZZLE,1/2/3/4/7/5/6/8/,1/2/3/4/5/6/7/8/,C/C/C/C/I/U/U/U/,252,270
girlsinc-2017-TygaJazzy,sequential-d,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,274,283
