codename,puzzle,action,current_index,next_index,correctness,start_time,closed_time
girlsinc-2017-UltraBane,sequential-d,REFERENCE,1/-1/-1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/,78,-1
girlsinc-2017-UltraBane,sequential-d,REFERENCE,1/-1/-1/-1/-1/-1/-1/-1/,1/-1/-1/-1/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/,101,118
girlsinc-2017-UltraBane,sequential-d,REFERENCE,1/-1/-1/-1/-1/-1/-1/-1/,2/1/-1/-1/-1/-1/-1/-1/,C/I/U/U/U/U/U/U/,126,135
girlsinc-2017-UltraBane,sequential-d,PUZZLE,2/1/-1/-1/-1/-1/-1/-1/,1/2/-1/-1/-1/-1/-1/-1/,I/U/U/U/U/U/U/U/,172,179
girlsinc-2017-UltraBane,sequential-d,PUZZLE,1/2/-1/-1/-1/-1/-1/-1/,1/2/-1/-1/-1/-1/-1/-1/,C/C/I/U/U/U/U/U/,185,196
girlsinc-2017-UltraBane,sequential-d,REFERENCE,1/2/-1/-1/-1/-1/-1/-1/,1/2/3/-1/-1/5/-1/4/,C/C/I/U/U/U/U/U/,214,229
girlsinc-2017-UltraBane,sequential-d,PUZZLE,1/2/3/-1/-1/5/-1/4/,1/2/3/4/-1/5/-1/-1/,C/C/C/I/U/U/U/U/,263,278
girlsinc-2017-UltraBane,sequential-d,REFERENCE,1/2/3/4/-1/5/-1/-1/,1/2/3/4/-1/5/-1/-1/,C/C/C/C/I/U/U/U/,289,291
girlsinc-2017-UltraBane,sequential-d,PUZZLE,1/2/3/4/-1/5/-1/-1/,1/2/3/4/5/6/-1/-1/,C/C/C/C/I/U/U/U/,292,305
girlsinc-2017-UltraBane,sequential-d,REFERENCE,1/2/3/4/5/6/-1/-1/,1/2/3/4/5/6/-1/-1/,C/C/C/C/C/C/I/U/,316,321
girlsinc-2017-UltraBane,sequential-d,PUZZLE,1/2/3/4/5/6/-1/-1/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/I/U/,322,340
girlsinc-2017-UltraBane,sequential-d,PUZZLE,1/2/3/4/5/6/7/8/,1/2/3/4/5/6/7/8/,C/C/C/C/C/C/C/C/,348,364
girlsinc-2017-UltraBane,sequential-d,END,"    this.monkey.walk(1.5) /
    this.monkey.jump and spin() /
    this.monkey.walk up to(this.treasureChest) /
    this.monkey.raise arms() /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.0125) /
    this.monkey.bang on(this.treasureChest) /
    this.treasureChest.getChestLid().turn(TypeExpression.BACKWARD, 0.25) /
    this.treasureMonkey.raise arms() /",6,8,0,384
girlsinc-2017-UltraBane,sequential-c,PUZZLE,1/2/-1/-1/-1/-1/,1/2/3/5/4/6/,C/C/I/U/U/U/,47,52
girlsinc-2017-UltraBane,sequential-c,PUZZLE,1/2/3/5/4/6/,1/2/3/4/5/6/,C/C/C/I/U/U/,66,78
girlsinc-2017-UltraBane,sequential-c,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,81,91
girlsinc-2017-UltraBane,sequential-c,END,"    this.hare.swing arm() /
    this.volleyball.move(TypeExpression.DOWN, 0.6) /
    this.hare.look down() /
    this.hare.getRightHip().turn(TypeExpression.FORWARD, 0.25) /
    this.hare.kick(this.volleyball) /
    this.net.turn(TypeExpression.BACKWARD, 0.25) /",3,6,0,96
girlsinc-2017-UltraBane,sequential-g,REFERENCE,1/2/3/4/-1/-1/-1/,1/2/3/4/-1/-1/-1/,C/C/C/C/I/U/U/,76,89
girlsinc-2017-UltraBane,sequential-g,REFERENCE,1/2/3/4/-1/-1/-1/,1/2/3/4/5/6/7/,C/C/C/C/I/U/U/,92,103
girlsinc-2017-UltraBane,sequential-g,PUZZLE,1/2/3/4/5/6/7/,1/2/3/4/5/6/7/,C/C/C/C/C/C/C/,112,125
girlsinc-2017-UltraBane,sequential-g,END,"    this.blueTang.say(We can't let anyone find our treasure!) /
    this.clownFish.turnToFace(this.shark) /
    this.clownFish.think(Uh oh) /
    this.clownFish.turnToFace(this.blueTang) /
    this.clownFish.say(I think it's too late..) /
    this.shark.getMouth().turn(TypeExpression.FORWARD, 0.125) /
    this.shark.move(TypeExpression.FORWARD, 15.0) /",2,7,0,127
girlsinc-2017-UltraBane,dotogether-b,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,38,45
girlsinc-2017-UltraBane,dotogether-b,END,"    this.troll.say(Ahhhhhh) /
    do together / {
      this.troll.sneeze and raise arms() /
      this.boat.move(TypeExpression.BACKWARD, 5.0) /
    }
    this.manatee.move(TypeExpression.UP, 0.5) /
    this.manatee.say(Bless you!) /",1,6,0,51
girlsinc-2017-UltraBane,dotogether-n,PUZZLE,1/2/3/4/5/6/,1/2/3/4/5/6/,C/C/C/C/C/C/,37,47
girlsinc-2017-UltraBane,dotogether-n,END,"    this.playingCard.say(Alice was just here I promise!!) /
    this.queenOfHearts.say(We BETTER find her!) /
    do together / {
      this.queenOfHearts.walk forward() /
      this.playingCard.walk forward() /
    }
    this.alice.sneak away() /",1,6,0,50
