Codename,Puzzle,Points
carr-lane-1-AlmondSparkles,sequential-d,3
carr-lane-1-AlmondSparkles,sequential-c,4
carr-lane-1-AlmondSparkles,dotogether-a,8
carr-lane-1-AlmondSparkles,dotogether-b,0
carr-lane-1-AlmondSparkles,dotogether-m,0
carr-lane-1-AlmondSparkles,dotogether-n,0
carr-lane-1-AlmondSparkles,dotogether-o,0
carr-lane-1-AlmondSparkles,dotogether-d,0
carr-lane-1-AlmondSparkles,dotogether-l,6
carr-lane-1-AlmondSparkles,dotogether-e,5
carr-lane-1-AlmondSparkles,dotogether-c,5
carr-lane-1-AlmondSparkles,dotogether-i,5
carr-lane-1-AlmondSparkles,dotogether-f,7
carr-lane-1-AlmondSparkles,dotogether-g,9
carr-lane-1-AlmondSparkles,dotogether-h,8
carr-lane-1-AlmondSparkles,repeat-gg,0
carr-lane-1-AlmondSparkles,repeat-f,1
carr-lane-1-AlmondSparkles,repeat-ee,4
carr-lane-1-AlmondSparkles,repeat-e,4
carr-lane-1-AlmondSparkles,repeat-m,0
carr-lane-1-AlmondSparkles,repeat-b,10
carr-lane-1-AlmondSparkles,repeat-a,0
carr-lane-1-AlmondSparkles,repeat-dd,0
carr-lane-1-AlmondSparkles,repeat-g,0
carr-lane-1-AlmondSparkles,repeat-hh,0
carr-lane-1-AlmondSparkles,repeat-cc,1
carr-lane-1-AlmondSparkles,repeat-c,5
carr-lane-1-AlmondSparkles,repeat-ii,0
carr-lane-1-AlmondSparkles,repeat-ff,6
carr-lane-1-AlmondSparkles,repeat-o,8
carr-lane-1-AlmondSparkles,repeat-j,5
carr-lane-1-AlmondSparkles,repeat-i,1
carr-lane-1-AlmondSparkles,repeat-x,4
carr-lane-1-AlmondSparkles,repeat-n,5
carr-lane-1-AlmondSparkles,repeat-q,6
carr-lane-1-AlmondSparkles,repeat-l,4
carr-lane-1-AlmondSparkles,repeat-y,7
carr-lane-1-AlmondSparkles,repeat-r,0
carr-lane-1-AlmondSparkles,repeat-p,0
carr-lane-1-AlmondSparkles,repeat-z,11
carr-lane-1-AlmondSparkles,repeat-s,13
carr-lane-1-AlmondSparkles,repeat-aa,1
carr-lane-1-AlmondSparkles,doinorder-n,1
carr-lane-1-AlmondSparkles,doinorder-k,8
carr-lane-1-AlmondSparkles,doinorder-a,8
carr-lane-1-AlmondSparkles,doinorder-f,3
carr-lane-1-AlmondSparkles,doinorder-l,9
